Freq.	V(vo)
1.00000000000000e+002	(-1.94169319138466e-003dB,-1.23537230342494e+000°)
1.00023028502082e+002	(-1.94258742766211e-003dB,-1.23565672312953e+000°)
1.00046062307284e+002	(-1.94348207569965e-003dB,-1.23594120828472e+000°)
1.00069101416826e+002	(-1.94437713569707e-003dB,-1.23622575890555e+000°)
1.00092145831930e+002	(-1.94527260783872e-003dB,-1.23651037500707e+000°)
1.00115195553817e+002	(-1.94616849231476e-003dB,-1.23679505660431e+000°)
1.00138250583710e+002	(-1.94706478931338e-003dB,-1.23707980371234e+000°)
1.00161310922831e+002	(-1.94796149903053e-003dB,-1.23736461634620e+000°)
1.00184376572403e+002	(-1.94885862164573e-003dB,-1.23764949452096e+000°)
1.00207447533648e+002	(-1.94975615735684e-003dB,-1.23793443825166e+000°)
1.00230523807790e+002	(-1.95065410635498e-003dB,-1.23821944755339e+000°)
1.00253605396052e+002	(-1.95155246882449e-003dB,-1.23850452244119e+000°)
1.00276692299659e+002	(-1.95245124495553e-003dB,-1.23878966293016e+000°)
1.00299784519833e+002	(-1.95335043494883e-003dB,-1.23907486903535e+000°)
1.00322882057800e+002	(-1.95425003898588e-003dB,-1.23936014077184e+000°)
1.00345984914784e+002	(-1.95515005725777e-003dB,-1.23964547815473e+000°)
1.00369093092010e+002	(-1.95605048995562e-003dB,-1.23993088119908e+000°)
1.00392206590702e+002	(-1.95695133727150e-003dB,-1.24021634992000e+000°)
1.00415325412088e+002	(-1.95785259939747e-003dB,-1.24050188433257e+000°)
1.00438449557391e+002	(-1.95875427652369e-003dB,-1.24078748445189e+000°)
1.00461579027839e+002	(-1.95965636884127e-003dB,-1.24107315029305e+000°)
1.00484713824658e+002	(-1.96055887653842e-003dB,-1.24135888187116e+000°)
1.00507853949074e+002	(-1.96146179980625e-003dB,-1.24164467920132e+000°)
1.00530999402313e+002	(-1.96236513883779e-003dB,-1.24193054229865e+000°)
1.00554150185604e+002	(-1.96326889382803e-003dB,-1.24221647117824e+000°)
1.00577306300174e+002	(-1.96417306496516e-003dB,-1.24250246585523e+000°)
1.00600467747249e+002	(-1.96507765244128e-003dB,-1.24278852634473e+000°)
1.00623634528060e+002	(-1.96598265644941e-003dB,-1.24307465266185e+000°)
1.00646806643832e+002	(-1.96688807717295e-003dB,-1.24336084482174e+000°)
1.00669984095796e+002	(-1.96779391481941e-003dB,-1.24364710283951e+000°)
1.00693166885180e+002	(-1.96870016956543e-003dB,-1.24393342673030e+000°)
1.00716355013213e+002	(-1.96960684160790e-003dB,-1.24421981650925e+000°)
1.00739548481125e+002	(-1.97051393114374e-003dB,-1.24450627219149e+000°)
1.00762747290145e+002	(-1.97142143835922e-003dB,-1.24479279379218e+000°)
1.00785951441503e+002	(-1.97232936344738e-003dB,-1.24507938132645e+000°)
1.00809160936429e+002	(-1.97323770660513e-003dB,-1.24536603480945e+000°)
1.00832375776155e+002	(-1.97414646802068e-003dB,-1.24565275425635e+000°)
1.00855595961910e+002	(-1.97505564788611e-003dB,-1.24593953968230e+000°)
1.00878821494927e+002	(-1.97596524639831e-003dB,-1.24622639110245e+000°)
1.00902052376435e+002	(-1.97687526374840e-003dB,-1.24651330853198e+000°)
1.00925288607668e+002	(-1.97778570012460e-003dB,-1.24680029198605e+000°)
1.00948530189857e+002	(-1.97869655572284e-003dB,-1.24708734147983e+000°)
1.00971777124234e+002	(-1.97960783074098e-003dB,-1.24737445702850e+000°)
1.00995029412032e+002	(-1.98051952536436e-003dB,-1.24766163864723e+000°)
1.01018287054483e+002	(-1.98143163978986e-003dB,-1.24794888635121e+000°)
1.01041550052821e+002	(-1.98234417421343e-003dB,-1.24823620015562e+000°)
1.01064818408279e+002	(-1.98325712882039e-003dB,-1.24852358007564e+000°)
1.01088092122091e+002	(-1.98417050381054e-003dB,-1.24881102612648e+000°)
1.01111371195490e+002	(-1.98508429937595e-003dB,-1.24909853832333e+000°)
1.01134655629712e+002	(-1.98599851570870e-003dB,-1.24938611668138e+000°)
1.01157945425989e+002	(-1.98691315300762e-003dB,-1.24967376121584e+000°)
1.01181240585558e+002	(-1.98782821145997e-003dB,-1.24996147194192e+000°)
1.01204541109654e+002	(-1.98874369126553e-003dB,-1.25024924887482e+000°)
1.01227846999511e+002	(-1.98965959260482e-003dB,-1.25053709202975e+000°)
1.01251158256365e+002	(-1.99057591569017e-003dB,-1.25082500142194e+000°)
1.01274474881453e+002	(-1.99149266070980e-003dB,-1.25111297706660e+000°)
1.01297796876010e+002	(-1.99240982784999e-003dB,-1.25140101897896e+000°)
1.01321124241273e+002	(-1.99332741731634e-003dB,-1.25168912717424e+000°)
1.01344456978479e+002	(-1.99424542929417e-003dB,-1.25197730166767e+000°)
1.01367795088864e+002	(-1.99516386398713e-003dB,-1.25226554247449e+000°)
1.01391138573667e+002	(-1.99608272157863e-003dB,-1.25255384960993e+000°)
1.01414487434125e+002	(-1.99700200227038e-003dB,-1.25284222308924e+000°)
1.01437841671476e+002	(-1.99792170625061e-003dB,-1.25313066292766e+000°)
1.01461201286958e+002	(-1.99884183372683e-003dB,-1.25341916914043e+000°)
1.01484566281809e+002	(-1.99976238488340e-003dB,-1.25370774174281e+000°)
1.01507936657269e+002	(-2.00068335991723e-003dB,-1.25399638075005e+000°)
1.01531312414576e+002	(-2.00160475902812e-003dB,-1.25428508617741e+000°)
1.01554693554969e+002	(-2.00252658240621e-003dB,-1.25457385804016e+000°)
1.01578080079690e+002	(-2.00344883024069e-003dB,-1.25486269635355e+000°)
1.01601471989976e+002	(-2.00437150274486e-003dB,-1.25515160113286e+000°)
1.01624869287069e+002	(-2.00529460009924e-003dB,-1.25544057239335e+000°)
1.01648271972209e+002	(-2.00621812250264e-003dB,-1.25572961015031e+000°)
1.01671680046637e+002	(-2.00714207015391e-003dB,-1.25601871441901e+000°)
1.01695093511594e+002	(-2.00806644325285e-003dB,-1.25630788521474e+000°)
1.01718512368321e+002	(-2.00899124197898e-003dB,-1.25659712255278e+000°)
1.01741936618060e+002	(-2.00991646654370e-003dB,-1.25688642644842e+000°)
1.01765366262053e+002	(-2.01084211713328e-003dB,-1.25717579691695e+000°)
1.01788801301542e+002	(-2.01176819395719e-003dB,-1.25746523397367e+000°)
1.01812241737769e+002	(-2.01269469719784e-003dB,-1.25775473763388e+000°)
1.01835687571978e+002	(-2.01362162705504e-003dB,-1.25804430791289e+000°)
