time	V(vo)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000
1.000128953809672e-003	1.237095e-004	1.289538e-004
1.000196135334322e-003	1.857656e-004	1.961353e-004
1.000262546632767e-003	2.444391e-004	2.625466e-004
1.000395369229659e-003	3.544586e-004	3.953692e-004
1.000648193975270e-003	5.450134e-004	6.481940e-004
1.000960234797216e-003	7.495082e-004	9.602348e-004
1.001403080946299e-003	9.896574e-004	1.403081e-003
1.001936442704760e-003	1.217055e-003	1.936443e-003
1.002651594112409e-003	1.443028e-003	2.651594e-003
1.003521163789889e-003	1.636971e-003	3.521164e-003
1.004662799639941e-003	1.813926e-003	4.662800e-003
1.006082339022133e-003	1.984142e-003	6.082339e-003
1.007975851081813e-003	2.211096e-003	7.975851e-003
1.010471932894156e-003	2.602305e-003	1.047193e-002
1.014188677300619e-003	3.457036e-003	1.418868e-002
1.019855400394961e-003	5.290775e-003	1.985540e-002
1.025372779404944e-003	7.653391e-003	2.537278e-002
1.032281419195593e-003	1.136539e-002	3.228142e-002
1.041532591703544e-003	1.731272e-002	4.153259e-002
1.054152996240466e-003	2.671844e-002	5.415300e-002
1.070835383583830e-003	4.064358e-002	7.083538e-002
1.090366633583830e-003	5.826398e-002	9.036663e-002
1.109897883583830e-003	7.674619e-002	1.098979e-001
1.129429133583830e-003	9.572470e-002	1.294291e-001
1.168491633583830e-003	1.343425e-001	1.684916e-001
1.224295205012402e-003	1.900726e-001	2.242952e-001
1.280098776440973e-003	2.458190e-001	2.800988e-001
1.335902347869545e-003	3.015818e-001	3.359023e-001
1.391705919298116e-003	3.573610e-001	3.917059e-001
1.447509490726688e-003	4.131565e-001	4.475095e-001
1.503313062155259e-003	4.689684e-001	5.033131e-001
1.559116633583831e-003	5.247966e-001	5.591167e-001
2.000000000000000e-003	9.656800e-001	1.000000e+000
2.001953125000000e-003	9.667825e-001	1.000000e+000
2.005859375000000e-003	9.696118e-001	1.000000e+000
2.013671875000000e-003	9.754676e-001	1.000000e+000
2.029296875000000e-003	9.844872e-001	1.000000e+000
2.048828125000000e-003	9.916133e-001	1.000000e+000
2.068359375000000e-003	9.955807e-001	1.000000e+000
2.087890625000000e-003	9.976717e-001	1.000000e+000
2.107421875000000e-003	9.987731e-001	1.000000e+000
2.126953125000000e-003	9.993536e-001	1.000000e+000
2.146484375000000e-003	9.996594e-001	1.000000e+000
2.166015625000000e-003	9.998206e-001	1.000000e+000
2.185546875000000e-003	9.999055e-001	1.000000e+000
2.205078125000000e-003	9.999502e-001	1.000000e+000
2.224609375000000e-003	9.999738e-001	1.000000e+000
2.244140625000000e-003	9.999862e-001	1.000000e+000
2.283203125000000e-003	9.999962e-001	1.000000e+000
2.339006696428572e-003	9.999978e-001	1.000000e+000
2.394810267857143e-003	9.999991e-001	1.000000e+000
2.450613839285715e-003	1.000000e+000	1.000000e+000
2.506417410714286e-003	1.000001e+000	1.000000e+000
2.562220982142858e-003	1.000001e+000	1.000000e+000
2.618024553571429e-003	1.000001e+000	1.000000e+000
2.673828125000000e-003	1.000000e+000	1.000000e+000
1.923632812499968e-002	1.000000e+000	1.000000e+000
1.999804687499966e-002	1.000000e+000	1.000000e+000
2.000000000000000e-002	1.000000e+000	1.000000e+000
