Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
172.0000000000003,-38.37465675362683,-90.92243440451685
185.0510657323433,-37.70047644215669,-90.62811370315045
199.0924240039297,-37.03367127109889,-91.09897488342911
214.1992165183882,-36.40026981475238,-90.49734708802657
230.452286603259,-35.78760351079541,-90.62647507696192
247.9386118394676,-35.21659835235803,-91.57203332595537
266.751769517972,-34.50837020522938,-90.77868371571799
286.9924374144712,-33.86842464559372,-90.80971546681474
308.7689325620386,-33.20298432251538,-90.64093877524719
332.1977909049023,-32.46111163360018,-90.46320069201718
357.4043909353609,-31.90647883140641,-90.73845243168707
384.5236246512063,-31.17511228157283,-90.76302784034841
413.7006194242393,-30.61460796470696,-90.67752737976565
445.0915146429414,-29.92431542548107,-90.87720406078574
478.8642972854596,-29.28511348372982,-90.68154932324072
515.1997008944397,-28.60343953552891,-90.7735127057589
554.2921727645373,-27.92824701972809,-90.31994598209513
596.3509145184513,-27.26783687631234,-90.84225647880815
641.6010016400976,-26.59595816068914,-90.71301233138819
690.2845879560396,-25.90761054129837,-90.94836285304592
742.6622015109075,-25.22406341284408,-90.87749650890595
799.0141387716367,-24.54280201780417,-91.14372433138197
859.6419646215206,-23.81606583398094,-90.8549073373336
924.8701261712646,-23.12443022463121,-90.86926004444709
995.0476890232502,-22.48337671805158,-91.1288427030467
1070.550205280564,-21.75152318004938,-91.06785897952085
1151.781723297366,-21.09608714671456,-91.18812840918467
1239.176949925651,-20.41264177964517,-90.99051132447968
1333.203576829628,-19.76813231144473,-90.88304429392865
1434.364783316827,-19.14143853816885,-91.0481161880835
1543.201929079766,-18.56623319370918,-90.92502191038363
1660.297451258246,-17.81988506350595,-90.52556418050148
1786.277981325763,-17.18431967918178,-90.93333605858919
1921.817698479944,-16.54136053440967,-90.89459510348274
2067.641937482513,-15.89175180282437,-91.2119890661853
2224.531070255965,-15.16421329603146,-90.75680882681792
2393.324682009157,-14.49299912403573,-91.08713498823151
2574.926064240208,-13.77178509176334,-90.97034969564098
2770.307048660686,-13.03824876691465,-90.9989916493891
2980.513207909775,-12.28625188086161,-91.10749209027647
3206.669450889692,-11.50202105801441,-90.97231247882742
3449.986042665612,-10.70867408957437,-91.21351181799702
3711.765081145233,-9.859441759225945,-91.23311183114282
3993.407465197797,-9.035050596848928,-91.43177567784228
4296.420391502015,-8.208397755329491,-91.51750556208638
4622.425420241967,-7.256786238910276,-91.57854202332442
4973.167152814236,-6.166870075739725,-92.25154599960732
5350.522567984629,-4.933112531591749,-92.57361961035588
5756.511066456443,-3.555031832945647,-93.21014893292107
6193.30527760343,-2.343012201659214,-93.88915040464296
6663.242686199174,-0.9987251724330232,-94.13714422377517
