Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
172	-38.37465675	-90.9224344
185.0510657	-37.70047644	-90.6281137
199.092424	-37.03367127	-91.09897488
214.1992165	-36.40026981	-90.49734709
230.4522866	-35.78760351	-90.62647508
247.9386118	-35.21659835	-91.57203333
266.7517695	-34.50837021	-90.77868372
286.9924374	-33.86842465	-90.80971547
308.7689326	-33.20298432	-90.64093878
332.1977909	-32.46111163	-90.46320069
357.4043909	-31.90647883	-90.73845243
384.5236247	-31.17511228	-90.76302784
413.7006194	-30.61460796	-90.67752738
445.0915146	-29.92431543	-90.87720406
478.8642973	-29.28511348	-90.68154932
515.1997009	-28.60343954	-90.77351271
554.2921728	-27.92824702	-90.31994598
596.3509145	-27.26783688	-90.84225648
641.6010016	-26.59595816	-90.71301233
690.284588	-25.90761054	-90.94836285
742.6622015	-25.22406341	-90.87749651
799.0141388	-24.54280202	-91.14372433
859.6419646	-23.81606583	-90.85490734
924.8701262	-23.12443022	-90.86926004
995.047689	-22.48337672	-91.1288427
1070.550205	-21.75152318	-91.06785898
1151.781723	-21.09608715	-91.18812841
1239.17695	-20.41264178	-90.99051132
1333.203577	-19.76813231	-90.88304429
1434.364783	-19.14143854	-91.04811619
1543.201929	-18.56623319	-90.92502191
1660.297451	-17.81988506	-90.52556418
1786.277981	-17.18431968	-90.93333606
1921.817698	-16.54136053	-90.8945951
2067.641937	-15.8917518	-91.21198907
2224.53107	-15.1642133	-90.75680883
2393.324682	-14.49299912	-91.08713499
2574.926064	-13.77178509	-90.9703497
2770.307049	-13.03824877	-90.99899165
2980.513208	-12.28625188	-91.10749209
3206.669451	-11.50202106	-90.97231248
3449.986043	-10.70867409	-91.21351182
3711.765081	-9.859441759	-91.23311183
3993.407465	-9.035050597	-91.43177568
4296.420392	-8.208397755	-91.51750556
4622.42542	-7.256786239	-91.57854202
4973.167153	-6.166870076	-92.251546
5350.522568	-4.933112532	-92.57361961
5756.511066	-3.555031833	-93.21014893
6193.305278	-2.343012202	-93.8891504
6663.242686	-0.998725172	-94.13714422
7168.838141	0.109929853	-94.40372709
