Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
1000.000000000001	-33.0211283284418	-88.36493110509858
1047.128548050901	-32.30680055379822	-87.71777978718588
1096.478196143186	-31.98624779769969	-89.19996124091642
1148.153621496884	-31.76600870463837	-89.20442472892115
1202.264434617413	-31.06702356924023	-88.1557795653345
1258.925411794169	-30.88425142094023	-90.40499875536767
1318.256738556409	-30.4869010807769	-89.69209296734076
1380.384264602885	-30.08817212689856	-88.41122128720258
1445.43977074593	-29.71993455643533	-90.43844379933698
1513.56124843621	-29.88558983105362	-88.33223931170494
1584.893192461114	-28.84445721393441	-87.79487656780152
1659.586907437563	-28.35825332023774	-90.9648182405351
1737.800828749376	-28.14966742919728	-89.8041117502037
1819.700858609985	-27.6417968983926	-89.95892250073848
1905.46071796325	-27.2671706960216	-88.89270425291153
1995.262314968881	-27.02460393283795	-88.90255863186773
2089.296130854041	-26.57964210909575	-88.92756064367121
2187.761623949555	-26.11785549190341	-89.65573739460928
2290.867652767775	-25.72824913361086	-85.33362761819396
2398.832919019493	-25.26765323966876	-91.36744488610429
2511.886431509583	-25.06384743587579	-90.34777883931488
2630.267991895385	-24.51197228219447	-88.9647547731071
2754.228703338169	-24.10904323053236	-89.30084608131961
2884.031503126609	-23.60917692469453	-89.96985773511352
3019.951720402019	-23.43739633736392	-89.02039506858179
3162.277660168383	-22.93128554836268	-88.60422218705867
3311.311214825915	-22.584589816666	-90.20964811391346
3467.368504525317	-22.07009250892724	-89.13702711663805
3630.780547701018	-21.64922198489414	-89.16516493895415
3801.893963205617	-21.30566366038109	-89.8572713927784
3981.071705534974	-21.16243882567329	-85.49756052671796
4168.69383470336	-20.33215750881057	-85.42365867365719
4365.158322401666	-19.78233716737083	-86.2804407438291
4570.881896148752	-19.16629045660038	-87.77222620511705
4786.30092322639	-18.82094263834544	-90.7637731401214
5011.872336272731	-18.89237024646505	-87.91092387834647
5248.074602497729	-18.46693462734768	-89.59537101310644
5495.408738576255	-17.92683117607308	-90.08607923675429
5754.399373371579	-17.35139716418122	-90.29399280989706
6025.595860743581	-17.07793970105141	-89.06991885057509
6309.573444801938	-16.88294353639644	-89.78646448908347
6606.934480075965	-16.38739869952834	-90.25209133818213
6918.309709189371	-15.9816037841783	-90.42988008861619
7244.359600749907	-15.5687640080311	-88.99460071302467
7585.775750291845	-15.16641270825541	-90.00468360319317
7943.282347242822	-14.55255378986888	-89.83463813126451
8317.637711026719	-14.29632868590556	-89.40011439325765
8709.635899560815	-14.07159041451971	-89.57214320264397
9120.108393559107	-13.39503927588034	-88.95750090824593
9549.925860214371	-13.134466335006	-89.94993495313622
10000	-12.57735683444328	-90.72168701944759
10471.28548050901	-12.06083718930157	-89.2553826049292
10964.78196143186	-11.81517267861699	-88.27811144782416
11481.53621496883	-11.39675242588953	-90.09966325066972
12022.64434617414	-10.9629155078693	-90.03142554048722
12589.25411794168	-10.45973540001807	-88.70230802766832
13182.56738556408	-10.05413092822511	-89.44563332769759
13803.84264602886	-9.466670921871126	-89.14535815489677
14454.39770745929	-9.219496903029601	-90.1382729748068
15135.61248436209	-8.739206622854308	-90.37171729391827
15848.93192461115	-8.484560579909363	-89.84287992825557
16595.86907437562	-7.971925008005187	-88.24631537921893
17378.00828749377	-7.396054754600776	-88.49969227124984
18197.00858609984	-6.890812161883126	-89.04248227595576
19054.6071796325	-6.635669267007511	-90.60060990089036
19952.62314968881	-5.985197261843794	-89.55090797102233
20892.9613085404	-5.66156369670194	-88.46590683637869
21877.61623949554	-5.328954809622447	-88.72036769564585
22908.67652767775	-4.847050095484545	-87.9507930491561
23988.32919019491	-4.284313995546469	-90.82830264916329
25118.86431509582	-3.897910757438127	-89.13813769898007
26302.67991895385	-3.577621207081082	-88.7462325726365
27542.28703338168	-2.785545943117426	-89.64864392555987
28840.31503126609	-2.538155692717501	-89.57303546213552
30199.51720402019	-1.912802101335779	-90.91143240910583
31622.77660168381	-1.609610683599298	-90.24245062239895
33113.11214825913	-1.145925038668588	-87.75438505944624
34673.68504525317	-0.8690504431139143	-89.43413579713911
36307.80547701017	-0.1065144251012123	-89.02111327641043
38018.93963205613	0.419769324372653	-88.67469523700873
39810.71705534974	0.8449383207194998	-89.75011946620086
41686.93834703357	1.528460858821507	-89.7850196664474
43651.58322401662	2.020011466211801	-89.05650750349196
45708.81896148752	2.327717923363306	-90.21236202770768
47863.00923226389	2.730034090283722	-89.8300122508918
50118.72336272725	3.217182012226864	-90.26435245240009
52480.74602497729	3.744127986719096	-89.7316164196269
54954.08738576246	4.00344500309429	-87.53046448909402
57543.99373371573	5.039021408993034	-87.31095794093575
60255.95860743582	5.496137530003087	-88.78760268236573
63095.73444801934	6.302829785847608	-88.5933050851451
66069.34480075965	7.034374759170003	-88.75586530103242
