Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
1000.000000000001	-32.6609194137456	-89.53730965732055
1047.128548050901	-32.59968684018178	-92.13807889132812
1096.478196143186	-32.06436540168552	-87.10399562944423
1148.153621496884	-31.83220974178265	-90.81517085425766
1202.264434617413	-31.40869630817157	-89.69335840602933
1258.925411794169	-30.77020082260761	-87.78023809906216
1318.256738556409	-30.7035227945071	-90.61027143177132
1380.384264602885	-30.32583749084786	-90.22543444114092
1445.43977074593	-29.62934797998031	-89.19317045778098
1513.56124843621	-28.99904818050477	-93.50925143476775
1584.893192461114	-28.50706534325746	-88.85168677814488
1659.586907437563	-28.70752506867003	-91.10123659711149
1737.800828749376	-28.07608646291875	-86.80656751804524
1819.700858609985	-27.77506171306551	-88.67481215234156
1905.46071796325	-27.61570733440996	-89.62202283665877
1995.262314968881	-26.98290772360193	-89.65461456783282
2089.296130854041	-26.73044864856717	-90.98420470230019
2187.761623949555	-26.24066915072502	-89.09550987109216
2290.867652767775	-25.52499284465228	-87.07908914081156
2398.832919019493	-25.42363448489766	-89.59716662017121
2511.886431509583	-24.7476516412876	-88.71265531393493
2630.267991895385	-24.27065904419972	-90.59770002583736
2754.228703338169	-24.014854898491	-90.89860886384332
2884.031503126609	-23.74345054208521	-89.40216100789375
3019.951720402019	-23.33187609256584	-90.50045867384063
3162.277660168383	-23.10688565851712	-89.93346497031493
3311.311214825915	-22.59201108895139	-90.46089388494504
3467.368504525317	-22.1030980831003	-90.05334804173907
3630.780547701018	-21.7526057059698	-89.48950394172091
3801.893963205617	-21.33792891759537	-88.36115004495457
3981.071705534974	-21.1473399116201	-89.94934279007305
4168.69383470336	-20.76322142551566	-89.21311686613976
4365.158322401666	-20.56821397791543	-87.57378440782864
4570.881896148752	-20.0105483319123	-86.49400093878171
4786.30092322639	-19.05849499493681	-85.85741575817872
5011.872336272731	-18.58982366139289	-88.18931510791964
5248.074602497729	-18.02836894258428	-90.61829193627632
5495.408738576255	-17.64327348149729	-91.45735830818484
5754.399373371579	-17.48818196868066	-89.49899761250809
6025.595860743581	-16.97523056347428	-90.41523290666512
6309.573444801938	-16.75404567327229	-90.88768816576157
6606.934480075965	-16.31591207824028	-89.97746173993255
6918.309709189371	-15.95953321683772	-89.34067929272096
7244.359600749907	-15.60498690822257	-90.35435499869712
7585.775750291845	-15.13974557284385	-90.19468526528965
7943.282347242822	-14.65516558379979	-89.25514986103141
8317.637711026719	-14.25514657701513	-89.92762622804037
8709.635899560815	-13.86442360062082	-89.2651980642494
9120.108393559107	-13.52358839265304	-89.94526755646999
9549.925860214371	-12.98202066802516	-89.89826042649025
10000	-12.63159743117867	-89.17286051073324
10471.28548050901	-12.41573598287012	-88.70421754795856
10964.78196143186	-11.71489666199016	-87.56923819653753
11481.53621496883	-11.29422242407712	-89.13018844689591
12022.64434617414	-10.88653263587699	-90.3311878615971
12589.25411794168	-10.35266363896746	-89.36776798317311
13182.56738556408	-10.22235892741775	-88.46368277466871
13803.84264602886	-9.578949963197406	-90.95580410833603
14454.39770745929	-9.22610478370996	-88.20332523482034
15135.61248436209	-8.820464428316065	-90.19199637583948
15848.93192461115	-8.4463029125472	-89.17596623102636
16595.86907437562	-7.835255686741716	-90.42741418554428
17378.00828749377	-7.404848021701749	-87.85743208457254
18197.00858609984	-6.853515839013324	-88.69605504881727
19054.6071796325	-6.399176823913423	-89.25093204879656
19952.62314968881	-6.049342225952405	-89.22837281780701
20892.9613085404	-5.691663702830969	-89.70600905452184
21877.61623949554	-5.305414425297284	-90.81654040437073
22908.67652767775	-4.74471673751952	-88.6079343628263
23988.32919019491	-4.257090513754071	-87.83859622202374
25118.86431509582	-3.737353799355651	-88.09808979254956
26302.67991895385	-3.408083120851807	-90.21894294306117
27542.28703338168	-3.106376655108019	-90.89824507869832
28840.31503126609	-2.589710535567581	-90.04365394082078
30199.51720402019	-2.201868805637804	-91.47161750985335
31622.77660168381	-1.513863163562318	-89.18857122237429
33113.11214825913	-1.214358854188924	-90.48784086538507
34673.68504525317	-0.7583710656616702	-88.19826196723145
36307.80547701017	-0.4268301485909436	-89.66132306684403
38018.93963205613	0.2227782258053928	-87.85405336083443
39810.71705534974	0.9624574104644281	-88.89107229524491
41686.93834703357	1.078689227866873	-89.62273818222319
43651.58322401662	1.811007713733844	-90.74545162867082
45708.81896148752	2.277178979264382	-90.96697713435063
47863.00923226389	2.572260143048713	-89.05300670643265
50118.72336272725	3.285328762909609	-89.81954476238684
52480.74602497729	3.612363591871131	-89.07318294265599
54954.08738576246	4.014664035236834	-87.95529166116562
57543.99373371573	4.78425219408394	-88.75443229571285
60255.95860743582	5.624833449743872	-88.81174659145105
63095.73444801934	6.367258013252391	-87.90375717012853
66069.34480075965	7.046385975604194	-87.93392445048039
69183.09709189367	7.86802794550974	-89.08613319365077
72443.59600749904	8.487480868524527	-88.92985917561991
75857.75750291845	9.469955446093865	-88.420009876225
79432.82347242819	10.25511753423816	-88.22421145193641
83176.37711026713	11.07131759987579	-90.66284169415557
87096.35899560807	12.8889622344711	-84.18445516974852
91201.08393559101	13.28965437255669	-87.12604315565244
95499.25860214366	15.64529567836746	-88.92898617432716
100000	17.69335327783062	-87.71397930789732
104712.85480509	18.45182345376335	-86.82906405619127
109647.8196143186	19.77298448468023	-85.46534874885455
114815.3621496883	20.21560560806416	-85.49746885063259
120226.4434617413	20.40740584599388	-84.59991142524376
125892.5411794167	21.8698098615996	-179.5814396755603
131825.6738556408	21.52264674483133	163.526541986081
138038.4264602886	21.1157038167563	147.7955943438269
144543.9770745928	20.85005147355308	137.949575871987
151356.1248436209	20.585209880552	127.6495620782883
158489.3192461114	20.37467948595807	118.6859052654072
165958.6907437561	20.1428642893599	109.4031019577334
173780.0828749377	19.95145507690309	100.2087450268012
181970.0858609984	19.86259879960855	93.84152631133483
190546.0717963248	19.78591611997252	87.21575645943318
199526.2314968881	19.75894023017327	82.47644532641488
208929.613085404	19.77176255997888	78.18569703647972
218776.1623949554	19.80755216567763	78.39894266902525
229086.7652767773	19.73882017353166	78.7062022810282
239883.2919019491	19.53954115787411	79.03848577856101
251188.6431509582	19.19586966856577	79.41376811814547
263026.7991895382	18.14700403455845	79.98612337738966
275422.8703338168	16.500649609655	80.79944275499972
288403.1503126606	14.51381602732618	79.01181504590804
301995.1720402017	11.510717774301	105.7746649093179
316227.7660168381	8.427642541353565	84.35118863692134
331131.1214825911	8.307538124054755	84.61803291324578
346736.8504525318	8.194999422953705	77.07340638937444
363078.0547701016	7.378250706213153	83.21030548127482
380189.3963205612	5.325664688167326	69.44714839487816
398107.1705534974	6.829001803768763	79.04650578890005
416869.3834703354	10.3849353735362	73.69042348567019
436515.8322401661	10.57709654560351	35.95729680849104
457088.1896148753	10.51108377258737	9.977440441435284
478630.0923226384	10.49182402352369	-24.75326369268953
501187.2336272725	-0.5153462343426866	119.6009272482466
524807.4602497726	-4.319816839448327	81.47403206469207
549540.8738576247	-6.117769415984025	75.52347303230283
575439.9373371572	-4.34715343171229	56.44925765104531
602559.5860743577	-5.701368160114809	71.56253809836596
630957.3444801935	-3.223637645369812	101.8057268611664
660693.4480075958	-6.978755077737167	72.22580299718813
691830.9709189367	-8.657819278918254	69.24971135091079
724435.9600749903	-10.15839463533572	45.92559611334576
758577.5750291838	5.950625669434238	-112.0676084541042
794328.2347242817	1.507946767489805	44.94954427297155
831763.7711026714	-8.725494672070353	56.45233099387347
870963.5899560807	-6.587735202731693	79.54778812951307
912010.83935591	-8.594809295564639	59.03869030583991
954992.5860214358	-11.71529023955499	77.83876779077872
1000000	-12.51563810110019	78.94392530427935
