Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
500.000000000001	-28.48444301627663	-88.86395348680239
561.0246985157862	-42.69457867708908	-89.96622310073053
629.4974246894565	-51.07858909807236	-89.7318299823571
706.327205805731	-50.74999902843202	-90.17197697582043
792.5340153813144	-49.74599273168118	-90.09905512771273
889.2623140856131	-48.75305909156039	-90.18034802648748
997.796243322661	-47.79046424497024	-90.46661920116667
1119.576673180558	-46.76267997425073	-90.22716660460051
1256.220331072855	-45.77142369010638	-90.26825549149679
1409.541265019097	-43.43752301762329	-90.38233957236145
1581.574926505796	-39.78645106157848	-90.45159594435415
1774.605192646078	-36.34824577310221	-90.50987862916902
1991.194686377626	-32.87818777092667	-90.51019787292552
2234.218797222482	-29.44943888119154	-90.48022964972482
2506.903854260086	-25.92733932165658	-90.52249590359031
2812.869958088646	-22.82141729368817	-90.51769671598376
3156.179040401587	-18.59552949127579	-90.703670575557
3541.388789206282	-14.36764296696932	-90.36183275071608
3973.613155583271	-13.34186262191661	-90.68867325535635
4458.59024525892	-12.3886622042672	-90.82980850764372
5002.758496303613	-11.37072524464354	-90.45180227005469
5613.342154272033	-10.4065740183641	-90.53811229505827
6298.447179532838	-9.388603914361566	-90.4344156610166
7067.168860030016	-8.392657591700956	-90.63249930318568
7929.712558116969	-7.397295843764162	-90.78011482997918
8897.529194468816	-6.383711221836159	-90.7009415644399
9983.46726772452	-5.372936368042769	-90.80606737777617
11201.94342803472	-4.377251972318347	-90.85496412711143
12569.13386900813	-3.323984662921864	-90.94437409603293
14103.18907892964	-2.310643629560575	-91.14249213789901
15824.47480223523	-1.307999072830673	-91.31864562074207
17755.84241018932	-0.3011617752147828	-91.40321619602121
19922.93227014051	0.712501024859526	-91.27402034102752
22354.51414081197	1.74394365938594	-91.37123981318516
25082.86911263182	2.754533222238967	-91.37970588945916
28144.21816365033	3.790513153455981	-91.43247481025848
31579.20302044882	4.827785103340247	-91.50163782844572
35433.42570783211	5.906668524279018	-91.38532593467954
39758.05395023596	6.971511398164113	-91.4373947274272
44610.50046201086	8.061769587165474	-91.35418474646296
50055.18514467587	9.223251551975224	-91.29708260421654
56164.39030988724	10.34771270448968	-92.02289478827618
63019.22028185474	11.7064491966191	-91.69949312960102
70710.67811865482	13.26516317445102	-131.3805673752179
79340.8737467301	13.29300011511221	-150.8510135864503
89024.37954747645	13.29358081385917	-164.7823654758888
99889.75139235551	13.27245491715908	-176.4869296582229
112081.235319426	13.23960008322679	173.1271655728099
125760.6825087156	13.19535214604443	163.4261727531754
141109.6979791831	13.14312213059645	154.2058782538826
158332.0515328493	13.07131283041996	145.1795211594184
177656.3829532052	12.99268965458304	136.241495082969
199339.2373714535	12.88020008724969	127.2854834363726
223668.4710973724	12.74009657965643	118.0028777520781
250967.0731297801	12.56462317349622	108.4231256714762
281597.4530800477	12.31468396139516	99.54131793419276
315966.2524340935	12.00376619563392	93.16910845834985
354529.7430259992	11.56584349837594	86.89839074974523
397799.8843920801	10.77645804369878	80.42476465092525
446351.1204213619	9.618873104714458	77.5319313911229
500828.0055331552	8.417607082963199	76.333693126593
561953.7616250009	7.20809623477065	74.98036387699108
630539.8793909543	6.008974024985783	73.4956848214791
707496.8914749793	4.790288435356332	71.91219544488423
793846.4604812113	3.580121789109497	70.14929721192921
890734.9423185895	2.349940936295164	68.31043506131533
999448.6049435245	1.108318427975212	66.37177457938512
1121430.704540926	-0.1501007816263223	64.33396038958182
1258300.645842833	-1.417693532083471	62.18482565339325
1411875.480952387	-2.688565882804807	59.99803678114394
1584194.032086285	-3.93974343421059	57.68423172822781
1777543.958483428	-5.1918710766833	55.36572718804526
1994492.126813442	-6.469676308532028	52.7601536393268
2237918.688275234	-7.683680150016121	50.10465334268704
2511055.31478491	-8.901610296655297	47.15422175324949
2817528.101867329	-10.06371411853889	43.8249833311644
3161405.707819742	-11.16848810552647	39.91042308609747
3547253.368231306	-12.19040849893772	35.30944394109028
3980193.50294214	-13.11585324112732	29.37767650580449
4465973.720045203	-13.9541890022166	21.35540916851252
5011043.119735561	-14.74241594427505	10.03573823812091
5622637.910998486	-15.49584098224243	-7.629934039408454
6308877.4777627	-16.6878708850253	-29.4341223842799
7078872.169869693	-18.20222370344021	-49.94295636315883
7942844.249865846	-20.06247546203091	-69.07339714374112
8912263.601277649	-22.21328847468193	-85.81804155332308
10000000	-24.84226397660877	-100.7644403885222
