Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-23.26991194901075,-89.28971305406992
114.1487774168003,-44.2787817565988,-90.54685100360632
130.2994338575022,-43.33309470444774,-90.46038816241014
148.7352107293512,-42.10260729065816,-90.59145480245859
169.779424635856,-41.01704451858724,-90.61178458682187
193.8011375271075,-39.75470597931364,-91.19848543184494
221.221629107045,-38.63250398388046,-91.58580707628523
252.5217850072204,-37.60412216651189,-91.78480786236483
288.250530296823,-36.48300061135718,-90.42083262495578
329.0344562312671,-35.28097187968327,-90.60214520199317
375.5888090680076,-34.13763392938392,-90.47409719000603
428.7300336654512,-33.00846766409633,-90.67635781164515
489.3900918477499,-31.84326966669627,-90.65477840055104
558.6328066431627,-30.70342113376274,-90.84788383944453
637.6725190323283,-29.53137578552323,-90.12777832559725
727.8953843983146,-28.44210103453696,-90.87551927772307
830.8836821639952,-27.35509828703808,-90.87969198570929
948.4435649458936,-26.21590518762493,-90.94415302335746
1082.636733874054,-25.21923783382254,-90.84147556600686
1235.816595582412,-23.4965179999181,-91.05126825686705
1410.669534971246,-20.13795514790353,-91.15166995668898
1610.262027560939,-16.86646175234917,-91.36442191613453
1838.094417667792,-13.46419180495252,-90.87714994382675
2098.162305534241,-10.13472372788414,-90.97145402920167
2395.026619987486,-6.847218275836292,-91.13730585189798
2733.893605522631,-3.351484956937964,-90.8703059755485
3120.706126580166,-0.1270625939343658,-91.03830578678226
3562.247890262441,4.66342594229419,-90.75180822330104
4066.262415290343,7.884245036825353,-90.78317589272682
4641.588833612773,9.016466971448054,-90.78317783897816
5298.316906283712,10.16639140268933,-90.79359136605662
6047.96397219049,11.31172419104223,-90.79677983510038
6903.676932863998,12.45768889494907,-90.77780809138089
7880.462815669912,13.60289237524931,-90.80117574980534
8995.451958872754,14.75573585434921,-90.81110774988734
10268.19843416889,15.89569553757834,-90.75929089949619
11721.02297533479,17.04936551142917,-90.74133149942563
13379.40442708695,18.20097729193094,-90.6619464367644
15272.42657916902,19.32677804919174,-91.54893049065846
17433.28822199987,20.18113451739767,-96.38454984646509
19899.8853689599,20.75983517112608,-103.007632727888
22715.47585601245,21.09877712039639,-118.8901147953492
25929.43797404669,21.10296409160794,-133.1663908319448
29598.13643842183,21.11041616291931,-143.5499005769567
33785.910882615,21.09205126153802,-152.1553469266906
38566.20421163472,21.09981338326585,-159.3748895044874
44022.85060364759,21.08767288420754,-166.0009004973851
50251.54574808823,21.09519429286174,-171.9514621757604
57361.52510448681,21.08015381696031,-177.675535135318
65477.47961440262,21.05787918930836,176.9184802578892
74741.74246317525,21.04526997042442,171.6723242726099
85316.78524172805,21.00573063725968,166.3523738230493
97388.06728474981,20.96487763509884,160.9153225124662
111167.2881553927,20.92141182816995,155.3662156203012
126896.1003167922,20.85095911916937,149.3616940415451
144850.3471012148,20.77090860748096,142.9804760426518
165344.9003000284,20.66215565778045,136.1097437189897
188739.1822135097,20.49966149716089,128.5720343619342
215443.4690031882,20.31695082671725,120.2109932424947
245926.0858914825,20.07712465704006,110.831647075753
280721.6203941178,19.74832224383564,100.4424654943274
320440.2976245167,19.3136584600581,88.61498369581636
365778.6820891419,18.62918321039951,79.56534995023044
417531.89365604,17.53723311691173,78.07879737896315
476607.5519335846,16.2799298242814,76.74506002207873
544041.6936083285,15.02056070763884,75.32014821971522
621016.9418915613,13.68008828972457,73.7775023639616
708883.2467204181,12.3092959339344,72.15436512269878
809181.5594438784,10.81026183135842,70.532417244957
923670.8571873865,9.419288486072976,68.92739498555657
1054358.990834681,7.921499226094487,67.38523635948678
1203537.897621902,6.432838813372108,65.93508331546097
1373823.795883263,4.911942249952626,64.50824685320281
1568203.066861823,3.358578041423672,62.95065088345912
1790084.628235537,1.83010393224928,61.35879335903995
2043359.717856941,0.4382068439692532,60.19125589452028
2332470.136161081,-0.004344792157149945,59.68491068565215
2662486.144039851,-20.47200673960661,61.13155923244683
3039195.382313198,-18.33922280709722,61.17449813207467
3469204.372218365,-16.31392871967322,61.19274721675519
3960054.376977446,-14.33713054350327,61.23392101590144
4520353.656360242,-12.23121559576579,60.43057452947377
5159928.433650846,-11.13990382845519,60.10412911572442
5889995.222594294,-7.726821441284083,58.30891712889133
6723357.53649934,-6.851877585942666,52.29891460540108
7674630.429274299,-7.289517364965023,49.73323076679748
8760496.806274345,-10.3866265198425,45.55062587093998
10000000,-12.43557744288305,32.92422990431217
