Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-19.99572409522742,-104.0455234200018
114.3245590242695,-43.32597653399048,-79.55219691510212
130.7010479609369,-48.10538829717344,-92.20821693814734
149.4233967214398,-42.65167883376562,-85.84552277183361
170.8276393808709,-40.7144105960172,-95.03582948242955
195.29794541375,-40.7135162930028,-91.20196404106605
223.2735148777283,-41.81326589761159,-102.1988268777153
255.2564613019497,-38.29253290666225,-101.4862487710001
291.8208237644092,-35.50728457245849,-97.93513370568115
333.6228699096516,-33.91555207709443,-95.3007454951783
381.4128748283215,-33.8009453674151,-91.92969166559227
436.0485872092677,-33.11034900003609,-91.3968919828385
498.5106244585526,-31.21692147759467,-90.94267797980308
569.9200731013726,-30.44951239379951,-93.13746999249432
651.5586103639387,-28.29776929273879,-86.99096082112766
744.89150808323,-29.09951085758031,-95.18218006529492
851.5939318253837,-26.6886989453417,-89.19939922211256
973.5810072368083,-26.35873321085359,-88.58315722400965
1113.042193267523,-24.56934586725975,-92.71571858054503
1272.480579207152,-23.61092989705323,-91.8161695995708
1454.757810848047,-21.49175796481096,-89.17737302208197
1663.145452123147,-16.6574120433893,-90.95879214157823
1901.383704071981,-13.31576872031224,-90.21820797497914
2173.748535039615,-9.988275039981387,-89.9815519962039
2485.128426980559,-6.253037758006825,-91.22365644595278
2841.11211533229,-2.669001979824519,-91.45239026072421
3248.088897238732,0.8503901047479528,-90.62490868288845
3713.36330848444,5.085734756685234,-90.75995459871199
4245.286227393861,8.04416213529954,-89.58357541154896
4853.40475878607,9.300461409406291,-91.74296707545409
5548.633588145087,10.47176794421937,-89.69868524542709
6343.450881519374,11.56322714347217,-89.71576077415997
7252.122247218163,12.67947567717837,-92.57723516372161
8290.956779033111,13.64988446146833,-92.40995259299757
9478.599776522384,14.74780489822892,-90.3103298736728
10836.36739618461,15.99953137793554,-91.15252484799885
12388.62923993778,17.50019924336355,-91.43269442656549
14163.24574771056,18.71237241151633,-91.38346133367071
16192.06824459371,19.7889886918561,-90.56193154584737
18511.51061754051,21.13871973433803,-90.02631468946819
21163.20288223403,22.33888978696586,-89.54056305002891
24194.73837052555,23.07928988558255,-92.35415235018593
27660.52794917907,24.6778097781838,-92.86343064457711
31622.77660168379,25.76872035697028,-91.73621998454487
36152.59990110488,27.53280673427903,-96.02056742325476
41331.30041274666,28.15418581305733,-98.75727914675238
47251.82693586867,29.74879440862409,-95.8834628628955
54020.44277534285,31.67769312219679,-100.8775155569199
61758.63298586859,32.82000220133056,-100.5180683179817
70605.28482051133,34.65250429144795,-100.3823527127123
80719.18051887907,35.65045773158579,-104.9566177350715
92281.84717621258,38.53185986251775,-102.6551535395466
105500.8148436552,41.06786982535166,-102.8566830781385
120613.3413370199,44.10223027377641,-101.9221214831787
137890.670607985,48.86678762724831,-97.49850677356763
157642.9011081869,57.06135417905024,151.2545846231126
180224.551525,52.99326322555232,67.84506320474637
206040.9237844233,46.58438222446076,72.46979874891204
235555.3775260732,39.81394487048897,78.98569872966597
269297.6466146365,35.94128816576175,84.48846359880284
307873.3469549188,32.43926609671164,87.68198531617492
351974.8462594703,31.24103709495905,88.03896244344024
402393.6908624896,29.87713952290413,95.68435274177124
460034.8126200236,30.47653290597158,87.92763575959593
525932.7708859666,26.48232620368499,73.14245375490617
601270.3210795032,23.75725398438757,68.38847253802852
687399.6431179515,23.24498275554102,72.8409765182012
785866.6107290005,21.91108272980554,84.06111462915715
898438.5372349017,19.85608572841516,70.58294448090859
1027135.895797899,18.8920438792675,65.15154627929365
1174268.583450928,15.91136814803427,64.78644346238363
1342477.37979081,15.25330891393272,62.08885019370103
1534781.344446412,13.71624121659831,62.55822616146375
1754632.004025114,12.06337665066903,60.60670688825709
2005975.301100414,10.21685649434439,58.60474050672531
2293322.417118811,8.482595384412381,65.19445855186896
2621830.7403758,6.78423578980551,52.88836712518967
2997396.432297374,5.920820085401469,55.68627270327342
3426760.253433156,4.391150611731263,53.82387529391186
3917628.548556397,2.780394157710781,52.14451020138119
4478811.562345991,1.595838440490776,50.83395382272293
5120381.568180052,0.2103893223019268,49.68302766766269
5853853.64818182,-1.080812328314519,51.19197631183009
6692392.36920998,-2.258315069421084,44.46685653362601
7651048.064273164,-4.361971668769422,39.79257785764013
8747026.960215203,-6.554331867292019,35.69456393999343
10000000,-8.403965265563105,36.33977531823932
