Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	-19.9957241	-89.28971305
114.324559	-43.32597653	-90.546851
130.701048	-48.1053883	-90.46038816
149.4233967	-42.65167883	-90.5914548
170.8276394	-40.7144106	-90.61178459
195.2979454	-40.71351629	-91.19848543
223.2735149	-41.8132659	-91.58580708
255.2564613	-38.29253291	-91.78480786
291.8208238	-35.50728457	-90.42083262
333.6228699	-33.91555208	-90.6021452
381.4128748	-33.80094537	-90.47409719
436.0485872	-33.110349	-90.67635781
498.5106245	-31.21692148	-90.6547784
569.9200731	-30.44951239	-90.84788384
651.5586104	-28.29776929	-90.12777833
744.8915081	-29.09951086	-90.87551928
851.5939318	-26.68869895	-90.87969199
973.5810072	-26.35873321	-90.94415302
1113.042193	-24.56934587	-90.84147557
1272.480579	-23.6109299	-91.05126826
1454.757811	-21.49175796	-91.15166996
1663.145452	-16.65741204	-91.36442192
1901.383704	-13.31576872	-90.87714994
2173.748535	-9.98827504	-90.97145403
2485.128427	-6.253037758	-91.13730585
2841.112115	-2.66900198	-90.87030598
3248.088897	0.850390105	-91.03830579
3713.363308	5.085734757	-90.75180822
4245.286227	8.044162135	-90.78317589
4853.404759	9.300461409	-90.78317784
5548.633588	10.47176794	-90.79359137
6343.450882	11.56322714	-90.79677984
7252.122247	12.67947568	-90.77780809
8290.956779	13.64988446	-90.80117575
9478.599777	14.7478049	-90.81110775
10836.3674	15.99953138	-90.7592909
12388.62924	17.50019924	-90.7413315
14163.24575	18.71237241	-90.66194644
16192.06824	19.78898869	-91.54893049
18511.51062	21.13871973	-96.38454985
21163.20288	22.33888979	-103.0076327
24194.73837	23.07928989	-118.8901148
27660.52795	24.67780978	-133.1663908
31622.7766	25.76872036	-143.5499006
36152.5999	27.53280673	-152.1553469
41331.30041	28.15418581	-159.3748895
47251.82694	29.74879441	-166.0009005
54020.44278	31.67769312	-171.9514622
61758.63299	32.8200022	-177.6755351
70605.28482	34.65250429	176.9184803
80719.18052	35.65045773	171.6723243
92281.84718	38.53185986	166.3523738
105500.8148	41.06786983	160.9153225
120613.3413	44.10223027	155.3662156
137890.6706	48.86678763	149.361694
157642.9011	57.06135418	142.980476
180224.5515	52.99326323	136.1097437
206040.9238	46.58438222	120.2109932
235555.3775	39.81394487	120.2109932
269297.6466	35.94128817	110.8316471
307873.347	32.4392661	100.4424655
351974.8463	31.24103709	88.6149837
402393.6909	29.87713952	79.56534995
460034.8126	30.47653291	78.07879738
525932.7709	26.4823262	76.74506002
601270.3211	23.75725398	75.32014822
687399.6431	23.24498276	73.77750236
785866.6107	21.91108273	72.15436512
898438.5372	19.85608573	70.53241724
1027135.896	18.89204388	68.92739499
1174268.583	15.91136815	67.38523636
1342477.38	15.25330891	65.93508332
1534781.344	13.71624122	65.93508332
1754632.004	12.06337665	65.93508332
2005975.301	10.21685649	65.93508332
2293322.417	8.482595384	65.93508332
2621830.74	6.78423579	65.93508332
2997396.432	5.920820085	65.93508332
3426760.253	4.391150612	65.93508332
3917628.549	2.780394158	65.93508332
4478811.562	1.59583844	65.93508332
5120381.568	0.210389322	65.93508332
5853853.648	-1.080812328	65.93508332
6692392.369	-2.258315069	65.93508332
7651048.064	-4.361971669	65.93508332
8747026.96	-6.554331867	65.93508332
10000000	-8.403965266	65.93508332
