Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	-22.80600335	-89.88919487
102.3292992	-22.62000335	-89.88919487
104.7128548	-22.43400335	-89.88919487
107.1519305	-22.24800335	-89.88919487
109.6478196	-22.06200335	-89.88919487
112.2018454	-21.87600335	-89.88919487
114.8153621	-21.69000335	-89.88919487
117.4897555	-21.50400335	-89.88919487
120.2264435	-21.31800335	-89.88919487
123.0268771	-21.13200335	-89.88919487
125.8925412	-20.94600335	-89.88919487
128.8249552	-20.76000335	-89.88919487
131.8256739	-20.57400335	-89.88919487
134.8962883	-20.38800335	-89.88919487
138.0384265	-20.20200335	-89.88919487
141.2537545	-20.01600335	-89.88919487
144.5439771	-19.83000335	-89.88919487
147.9108388	-19.64400335	-89.88919487
151.3561248	-19.45800335	-89.88919487
154.8816619	-19.27200335	-89.88919487
158.4893192	-19.08600335	-89.88919487
162.1810097	-18.90000335	-89.88919487
165.9586907	-18.71400335	-89.88919487
169.8243652	-18.52800335	-89.88919487
173.7800829	-18.34200335	-89.88919487
177.827941	-18.15600335	-91.22729523
181.9700859	-17.97000335	-96.89365226
186.2087137	-17.78400335	-92.94015737
190.5460718	-17.59800335	-85.70844328
194.98446	-17.41200335	-88.84611453
199.5262315	-17.22600335	-83.81744886
204.1737945	-17.04000335	-82.2136058
208.9296131	-16.85400335	-92.01196467
213.796209	-16.66800335	-72.56325329
218.7761624	-16.48200335	-93.08505207
223.8721139	-16.29600335	-81.2396691
229.0867653	-16.11000335	-87.81543966
234.4228815	-15.92400335	-85.16369404
239.8832919	-15.73800335	-88.70979763
245.4708916	-15.55200335	-87.47524986
251.1886432	-15.36600335	-84.82185835
257.0395783	-15.18000335	-83.55164087
263.0267992	-14.99400335	-86.12549169
269.1534804	-14.80800335	-83.41757283
275.4228703	-14.62200335	-79.11627429
281.8382931	-14.43600335	-98.59429785
288.4031503	-14.25000335	-90.58343731
295.1209227	-14.06400335	-84.56826893
301.995172	-13.87800335	-97.73015891
309.0295433	-13.69200335	-92.6480219
316.227766	-13.50600335	-86.48712261
323.5936569	-13.32000335	-97.47062345
331.1311215	-13.13400335	-98.94913006
338.8441561	-12.94800335	-87.39228093
346.7368505	-12.76200335	-90.94229646
354.8133892	-12.57600335	-84.23058604
363.0780548	-12.39000335	-88.13468435
371.5352291	-12.20400335	-87.26267319
380.1893963	-12.01800335	-87.86401605
389.045145	-11.83200335	-86.21348912
398.1071706	-11.64600335	-84.04482244
407.3802778	-11.46000335	-80.4375158
416.8693835	-11.27400335	-81.1897487
426.5795188	-11.08800335	-84.97569487
436.5158322	-10.90200335	-84.66014784
446.6835922	-10.71600335	-84.98481466
457.0881896	-10.53000335	-86.28736102
467.7351413	-10.34400335	-78.777709
478.6300923	-10.15800335	-82.6527972
489.7788194	-9.972003347	-82.04362804
501.1872336	-9.786003347	-81.37976364
512.861384	-9.600003347	-79.30355374
524.8074602	-9.414003347	-85.11620276
537.0317964	-9.228003347	-81.38202938
549.5408739	-9.042003347	-80.59166742
562.3413252	-8.856003347	-78.72410118
575.4399373	-8.670003347	-77.27666536
588.8436554	-8.484003347	-84.36905806
602.5595861	-8.298003347	-79.13609205
616.5950019	-8.112003347	-79.93226092
630.9573445	-7.926003347	-80.01470552
645.654229	-7.740003347	-77.53984754
660.693448	-7.554003347	-78.77395041
676.0829754	-7.368003347	-79.38549034
