Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	-24.48483275043623	-115.3642819988083
107.9775162327709	-46.74638288193827	-40.77635698197389
116.5914401179831	-45.29997574755124	-58.59916833919422
125.8925411794166	-52.22663705237956	-60.47396306103659
135.9356390878524	-56.00595824049947	-61.37269296196642
146.7799267622071	-43.15257545053666	-65.74690847620668
158.4893192461114	-46.6090395317183	-112.9529646610635
171.1328304161781	-39.2783563720247	-86.46207456799375
184.7849797422291	-43.82515409496105	-83.33946387636252
199.5262314968883	-42.76296611145872	-87.05219495225833
215.4434690031882	-49.66192664778407	-56.29474119636339
232.6305067153629	-45.21079403756544	-140.7442373437878
251.1886431509577	-44.64381369533867	-49.04160930382429
271.227257933203	-40.9127482641281	-71.22148873406233
292.8644564625237	-40.26581142316137	-125.1137726045177
316.227766016838	-44.23302525094157	-0.4533019418632307
341.4548873833601	-50.59008406680384	-100.0661773230653
368.6945064519574	-40.14398156621853	-101.2487397019991
398.1071705534969	-38.68470104446751	-112.1142230029393
429.8662347082281	-38.06170628515084	-96.73647028701785
464.1588833612772	-36.0111760519546	-88.15932925562211
501.1872336272725	-36.1109558109039	-98.69152904157345
541.1695265464638	-32.558926549143	-90.45534584172289
584.3414133735175	-31.3662307237449	-76.05761063792684
630.9573444801929	-26.46569383419569	-107.6480068802078
681.2920690579608	-26.10500234739468	-95.8884174034299
735.6422544596421	-19.10926382263321	-90.24346632293759
794.3282347242806	-18.21495765017772	-77.16135379122444
857.6958985908946	-16.08941263989197	-76.37975388932752
926.1187281287937	-15.1472341276942	-76.66344399596335
1000	-9.071499729652142	-90.05308345124865
1079.775162327709	-6.211893596691912	-89.2167832959605
1165.914401179832	-3.622323221279423	-94.06864611810377
1258.925411794166	-2.894794077725779	-93.67631292207399
1359.356390878525	-2.391959495078736	-94.14363405011096
1467.799267622071	-2.071863678021008	-91.43127790366165
1584.893192461114	-1.345191590336029	-90.40611780671442
1711.328304161781	-0.3284025580589457	-92.19724341504374
1847.849797422293	0.3394075857950538	-94.24502128536189
1995.262314968879	0.9618563076888573	-92.54010384587366
2154.434690031882	1.515754119966099	-91.19883242591061
2326.305067153626	2.485016781136198	-91.72791637800427
2511.886431509582	2.80760683005988	-90.68436343192525
2712.272579332027	3.73011975780579	-92.2112434499564
