Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	-21.88624173	-94.74501333
107.9775162	-21.41905731	-94.74501333
116.5914401	-20.1458263	-94.74501333
125.8925412	-22.23932085	-94.74501333
135.9356391	-20.58284896	-94.74501333
146.7799268	-21.12074668	-94.74501333
158.4893192	-20.56691967	-94.74501333
171.1328304	-19.61349566	-94.74501333
184.7849797	-18.87409468	-94.74501333
199.5262315	-18.38864073	-94.74501333
215.443469	-16.71827163	-94.74501333
232.6305067	-16.79166854	-94.74501333
251.1886432	-15.83788542	-94.74501333
271.2272579	-15.39417926	-94.74501333
292.8644565	-15.18459393	-94.74501333
316.227766	-14.20033622	-94.74501333
341.4548874	-14.98735785	-94.74501333
368.6945065	-13.44107532	-94.74501333
398.1071706	-11.94380443	-94.74501333
429.8662347	-12.22361441	-94.74501333
464.1588834	-11.50997684	-94.74501333
501.1872336	-10.50854685	-94.74501333
541.1695265	-10.07306396	-94.74501333
584.3414134	-9.349975139	-94.74501333
630.9573445	-9.226631881	-94.74501333
681.2920691	-8.575304663	-94.74501333
735.6422545	-7.797761308	-94.74501333
794.3282347	-6.593880152	-94.74501333
857.6958986	-6.520995457	-94.74501333
926.1187281	-5.938747034	-94.74501333
1000	-5.078599522	-94.74501333
1079.775162	-4.573193659	-94.74501333
1165.914401	-3.444972985	-94.74501333
1258.925412	-3.11528304	-94.74501333
1359.356391	-2.553200831	-94.74501333
1467.799268	-1.685451622	-94.74501333
1584.893192	-1.336901191	-94.74501333
1711.328304	-0.39889212	-94.74501333
1847.849797	0.248436848	-94.74501333
1995.262315	0.891275168	-94.74501333
2154.43469	1.67970147	-94.74501333
2326.305067	2.199220295	-94.74501333
2511.886432	2.762284873	-94.74501333
2712.272579	3.681419227	-94.74501333
2928.644565	4.448275215	-94.74501333
3162.27766	4.951757929	-96.04252375
3414.548874	5.354649194	-92.31886471
3686.945065	5.927518157	-94.3127175
3981.071706	6.907353734	-95.16396639
4298.662347	7.771372252	-95.32057421
4641.588834	7.930328584	-95.24344404
5011.872336	8.928859647	-92.05419427
5411.695265	9.285256877	-98.92387628
5843.414134	10.05895233	-97.07934402
6309.573445	10.83962802	-97.44343413
6812.920691	11.17425461	-94.95889587
7356.422545	12.29555034	-95.53526022
7943.282347	13.06345461	-95.29535292
8576.958986	13.37553829	-93.65978695
9261.187281	14.07610588	-93.10037725
10000	15.72719138	-99.18518405
10797.75162	15.8494014	-100.6087405
11659.14401	16.14338381	-102.9230236
12589.25412	16.4719959	-97.29845673
13593.56391	16.99138463	-96.33917006
14677.99268	17.64431345	-96.8971741
15848.93192	18.39832059	-100.7036294
17113.28304	19.7550916	-104.2008231
18478.49797	20.33945617	-106.9568015
19952.62315	19.80054139	-101.7477572
21544.3469	21.3774206	-98.67886867
23263.05067	21.71644379	-99.87738894
25118.86432	21.69646198	-110.7068823
27122.72579	22.63865246	-110.8207866
29286.44565	25.21141478	-103.0202679
31622.7766	24.5576327	-115.3861119
34145.48874	25.77331807	-108.8146338
36869.45065	25.58022843	-116.0370459
39810.71706	27.26276493	-110.2246748
42986.62347	27.5034069	-113.6712031
46415.88834	29.21619959	-120.6101591
50118.72336	28.53334087	-124.6360377
54116.95265	28.32307149	-123.8327288
58434.14134	29.61783621	-126.0298485
63095.73445	29.7525937	-128.9591864
68129.20691	30.4778296	-135.9386962
73564.22545	31.28922938	-134.7953171
79432.82347	31.23592843	-136.3536138
85769.58986	31.91389082	-139.9357353
92611.87281	32.35808618	-141.7687311
100000	33.14310274	-150.6399335
107977.5162	33.35336508	-152.7117416
116591.4401	33.22091323	-159.1017637
125892.5412	34.04950741	-165.403477
135935.6391	33.67987812	-169.3642368
146779.9268	34.29396205	-174.6911689
158489.3192	34.15992806	179.0776274
171132.8304	34.36599667	175.2448251
184784.9797	34.25262421	168.1731704
199526.2315	34.32382574	162.8615639
2089296.131	10.02308343	60.88109514
2137962.09	10.8491941	53.08215295
2187761.624	9.531699344	57.86688457
2238721.139	9.216087604	57.48372851
2290867.653	7.423352788	65.92770437
2344228.815	8.609152278	57.16374872
2398832.919	8.189305896	56.82171632
2454708.916	6.267602093	56.82171632
2511886.432	7.772877187	56.16476436
2570395.783	7.5833315	56.36258706
2630267.992	5.81355744	51.29717422
2691534.804	7.077385292	56.17685182
2754228.703	6.773029097	55.62775979
2818382.931	6.501257299	55.26496663
2884031.503	6.358618522	55.06177367
2951209.227	4.551558938	50.69808676
3019951.72	5.709200469	54.29912983
3090295.433	5.653238852	54.18175639
3162277.66	5.351389107	54.32788044
3235936.569	4.995878204	54.53943687
3311311.215	4.820471512	53.57991584
3388441.561	4.535597362	54.1571203
3467368.505	4.516745252	55.42019411
3548133.892	4.22033215	52.814376
3630780.548	3.582387532	52.14838564
3715352.291	3.317401702	51.9729535
3801893.963	3.228755332	53.27918495
3890451.45	2.876107228	51.49511387
3981071.706	2.74379709	53.15572375
4073802.778	2.541402487	52.58781615
4168693.835	2.317007234	50.42105085
4265795.188	2.258591679	46.57880351
4365158.322	1.666811025	50.5005712
4466835.922	1.557838734	51.05898681
4570881.896	1.483169819	50.54321979
4677351.413	0.948842895	49.76801484
4786300.923	0.938909323	52.50073
4897788.194	0.949136725	48.90106341
5011872.336	0.467119565	50.22071816
5128613.84	0.159298509	50.99536898
5248074.602	-0.195070429	48.43546374
5370317.964	-0.074286816	50.25055163
5495408.739	-1.037453738	50.51298849
5623413.252	-0.844154241	48.94620463
5754399.373	-0.370530081	46.70985722
5888436.554	-1.290157291	48.60584167
6025595.861	-1.558820042	47.96287017
6165950.019	-1.545089318	48.07327264
