Time (s),Channel 1 (V),Channel 2 (V)
-0.0025597314453125,-0.566439561749299,-0.7179769284860433
-0.0025591064453125,-0.5519316614217675,-0.8218459812512814
-0.0025584814453125,-0.5519316614217631,-0.7699114548687191
-0.0025578564453125,-0.5422597278700799,-0.8945543181869481
-0.0025572314453125,-0.5374237610942362,-0.9309084866547814
-0.0025566064453125,-0.5374237610942362,-0.8737805076339005
-0.0025559814453125,-0.5229158607667047,-0.9153281287399957
-0.0025553564453125,-0.5229158607667047,-0.9049412234634766
-0.0025547314453125,-0.5180798939908609,-0.8062656233364957
-0.0025541064453125,-0.5084079604391732,-0.8374263391660317
-0.0025534814453125,-0.5084079604391732,-0.7595245495921386
-0.0025528564453125,-0.4987360268874855,-0.7699114548686601
-0.0025522314453125,-0.4987360268874855,-0.7647180022304004
-0.0025516064453125,-0.4842281265599541,-0.6920096652947338
-0.0025509814453125,-0.4842281265599541,-0.7751049075069243
-0.0025503564453125,-0.4842281265599541,-0.79068526542171
-0.0025497314453125,-0.4697202262324292,-0.7127834758478169
-0.0025491064453125,-0.4697202262324226,-0.847813244442591
-0.0025484814453125,-0.4648842594565744,-0.8582001497190817
-0.0025478564453125,-0.4552123259048911,-0.785491812783448
-0.0025472314453125,-0.4552123259048867,-0.9516822972078102
-0.0025466064453125,-0.4455403923532035,-0.9101346761017338
-0.0025459814453125,-0.4407044255773597,-0.8685870549956386
-0.0025453564453125,-0.4310324920256765,-0.9984233709521271
-0.0025447314453125,-0.4261965252498282,-0.9309084866547814
-0.0025441064453125,-0.4261965252498282,-0.9049412234634836
-0.0025434814453125,-0.4116886249222967,-0.9724561077608767
-0.0025428564453125,-0.4165245916981362,-0.8997477708251674
-0.0025422314453125,-0.406852658146453,-0.8062656233364957
-0.0025416064453125,-0.3971807245947653,-0.8270394338895433
-0.0025409814453125,-0.4020166913706091,-0.8166525286130195
-0.0025403564453125,-0.3826728242672338,-0.7127834758477815
-0.0025397314453125,-0.3826728242672338,-0.8062656233364531
-0.0025391064453125,-0.3778368574913901,-0.8010721706982338
-0.0025384814453125,-0.3681649239397067,-0.7387507390391193
