time	V(buff)	V(n009)
0.000000000000000e+000	-5.517770e-008	-1.000000e+000
2.441406278530511e-011	-9.091391e-006	-1.000000e+000
2.476613811405112e-011	-9.221365e-006	-1.000000e+000
3.110349403147919e-011	-1.144861e-005	-1.000000e+000
3.744084994890727e-011	-1.355381e-005	-1.000000e+000
4.377820586633534e-011	-1.553696e-005	-1.000000e+000
5.011556178376341e-011	-1.739806e-005	-1.000000e+000
5.645291770119149e-011	-1.913711e-005	-1.000000e+000
6.279027361861955e-011	-2.075411e-005	-1.000000e+000
6.912762953604762e-011	-2.224906e-005	-1.000000e+000
9.743488869393443e-011	-2.805805e-005	-1.000000e+000
1.364246951108239e-010	-3.370597e-005	-1.000000e+000
1.848515405310753e-010	-3.811655e-005	-1.000000e+000
2.533960681856382e-010	-4.147928e-005	-1.000000e+000
3.467635368130876e-010	-4.357010e-005	-1.000000e+000
4.913984370474615e-010	-4.487057e-005	-1.000000e+000
7.269130767201225e-010	-4.591819e-005	-1.000000e+000
1.197942356065445e-009	-4.745497e-005	-1.000000e+000
1.796356303806405e-009	-4.902854e-005	-1.000000e+000
2.598127924905348e-009	-5.060960e-005	-1.000000e+000
3.487448229033829e-009	-5.184083e-005	-1.000000e+000
4.750644653918292e-009	-5.300612e-005	-1.000000e+000
6.205064671668344e-009	-5.388383e-005	-1.000000e+000
8.467602815462879e-009	-5.479643e-005	-1.000000e+000
1.156112618111170e-008	-5.576214e-005	-1.000000e+000
1.696999843984498e-008	-5.731407e-005	-1.000000e+000
2.664154092793540e-008	-6.024124e-005	-1.000000e+000
4.598462590411625e-008	-6.685949e-005	-1.000000e+000
7.102580182978824e-008	-7.727448e-005	-1.000000e+000
1.077938362706081e-007	-9.744192e-005	-1.000000e+000
1.537483003009383e-007	-1.345620e-004	-1.000000e+000
2.173210232832155e-007	-2.210857e-004	-1.000000e+000
2.981601697239618e-007	-3.899217e-004	-1.000000e+000
3.213264282212594e-007	-4.596595e-004	-1.000000e+000
3.380753989190986e-007	-5.258486e-004	-1.000000e+000
3.590854913953868e-007	-6.232662e-004	-1.000000e+000
3.746664068071550e-007	-7.069653e-004	-1.000000e+000
3.909540990386387e-007	-8.082493e-004	-1.000000e+000
4.080819583639702e-007	-9.304085e-004	-1.000000e+000
4.245128637052047e-007	-1.065332e-003	-1.000000e+000
4.421606051576022e-007	-1.234895e-003	-1.000000e+000
4.659988360335278e-007	-1.508791e-003	-1.000000e+000
4.937991918718493e-007	-1.898184e-003	-1.000000e+000
5.210549421721573e-007	-2.372520e-003	-1.000000e+000
5.503234714950017e-007	-3.013164e-003	-1.000000e+000
5.828744489019512e-007	-3.923390e-003	-1.000000e+000
6.212387850175070e-007	-5.326300e-003	-1.000000e+000
6.659510980876857e-007	-7.545334e-003	-1.000000e+000
7.240485306743043e-007	-1.163640e-002	-1.000000e+000
8.016057435880231e-007	-1.964994e-002	-1.000000e+000
9.051751668168724e-007	-3.546770e-002	-1.000000e+000
1.053869713669205e-006	-6.710515e-002	-1.000000e+000
1.250880133778377e-006	-1.167987e-001	-1.000000e+000
1.378182323844415e-006	-1.454737e-001	-1.000000e+000
1.506466728032037e-006	-1.650662e-001	-1.000000e+000
1.640657989112604e-006	-1.806083e-001	-1.000000e+000
1.795521677881910e-006	-2.030969e-001	-1.000000e+000
1.944216928607188e-006	-2.357326e-001	-1.000000e+000
2.115077903017442e-006	-2.812028e-001	-1.000000e+000
2.210821039505844e-006	-2.991907e-001	-1.000000e+000
2.268864645313225e-006	-2.935864e-001	-1.000000e+000
2.315409856979349e-006	-2.632003e-001	-1.000000e+000
2.352083730055370e-006	-2.107256e-001	-1.000000e+000
2.391089198238311e-006	-1.231386e-001	-1.000000e+000
2.435763338460569e-006	7.740752e-003	-1.000000e+000
2.477347728675228e-006	1.392410e-001	-1.000000e+000
2.531100941592127e-006	2.919095e-001	-1.000000e+000
2.586297101490315e-006	4.113677e-001	-1.000000e+000
2.647551797281608e-006	4.967875e-001	-1.000000e+000
2.703796675013695e-006	5.501615e-001	-1.000000e+000
2.764676042152160e-006	5.999097e-001	-1.000000e+000
2.850924374487920e-006	6.625800e-001	-1.000000e+000
2.967706284328016e-006	7.361928e-001	-1.000000e+000
3.158873118294194e-006	8.421410e-001	-1.000000e+000
3.339928846064998e-006	9.326485e-001	-1.000000e+000
3.587532430182663e-006	1.048198e+000	-1.000000e+000
3.851211637198922e-006	1.167257e+000	-1.000000e+000
4.267115652169406e-006	1.352333e+000	-1.000000e+000
4.316408029660727e-006	1.374257e+000	-1.000000e+000
4.414992784643369e-006	1.418197e+000	-1.000000e+000
4.424610280197642e-006	1.422490e+000	-1.000000e+000
4.443845271306186e-006	1.431132e+000	-1.000000e+000
4.471472830367531e-006	1.443683e+000	-1.000000e+000
4.504397312526186e-006	1.458857e+000	-1.000000e+000
4.540965488530733e-006	1.475887e+000	-1.000000e+000
4.554193229832206e-006	1.482044e+000	-1.000000e+000
4.562307204347288e-006	1.485781e+000	-1.000000e+000
4.568314937163130e-006	1.488511e+000	-1.000000e+000
4.574357654461807e-006	1.491227e+000	-1.000000e+000
4.579771029340435e-006	1.493644e+000	-1.000000e+000
4.584403585960556e-006	1.495704e+000	-1.000000e+000
4.589022420100736e-006	1.497752e+000	-1.000000e+000
4.594366801820578e-006	1.500121e+000	-1.000000e+000
4.599426005481902e-006	1.502363e+000	-1.000000e+000
4.604805834500946e-006	1.504750e+000	-1.000000e+000
4.609936108829769e-006	1.507029e+000	-1.000000e+000
4.615276426139746e-006	1.509403e+000	-1.000000e+000
4.620436345908300e-006	1.511701e+000	-1.000000e+000
4.626935016253922e-006	1.514596e+000	-1.000000e+000
4.632079089428987e-006	1.516890e+000	-1.000000e+000
4.637636950172010e-006	1.519368e+000	-1.000000e+000
4.644470048972180e-006	1.522416e+000	-1.000000e+000
4.650874543387353e-006	1.525273e+000	-1.000000e+000
4.666504503890397e-006	1.532242e+000	-1.000000e+000
4.678026089857879e-006	1.537379e+000	-1.000000e+000
4.692219817724865e-006	1.543706e+000	-1.000000e+000
4.727004527821000e-006	1.559213e+000	-1.000000e+000
4.832089601420441e-006	1.606066e+000	-1.000000e+000
4.914041675886173e-006	1.642607e+000	-1.000000e+000
5.007574336638776e-006	1.684313e+000	-1.000000e+000
5.125567428997453e-006	1.736926e+000	-1.000000e+000
5.267952151321528e-006	1.800416e+000	-1.000000e+000
5.461456154040911e-006	1.886701e+000	-1.000000e+000
5.695902771418284e-006	1.991245e+000	-1.000000e+000
6.108856252124543e-006	2.175393e+000	-1.000000e+000
6.643540180537187e-006	2.413833e+000	-1.000000e+000
7.204582347750888e-006	2.664037e+000	-1.000000e+000
7.799206681436129e-006	2.929231e+000	-1.000000e+000
8.446203685122037e-006	3.217797e+000	-1.000000e+000
9.265489588763646e-006	3.583227e+000	-1.000000e+000
1.024214386257049e-005	4.018880e+000	-1.000000e+000
1.132483697434703e-005	4.501871e+000	-1.000000e+000
1.238266964849468e-005	4.973810e+000	-1.000000e+000
1.351339465039657e-005	5.478314e+000	-1.000000e+000
1.495142250920480e-005	6.119983e+000	-1.000000e+000
1.673351692420892e-005	6.914673e+000	-1.000000e+000
1.836359075895301e-005	7.640087e+000	-1.000000e+000
1.856814191408388e-005	7.729996e+000	-1.000000e+000
1.897724422434563e-005	7.906727e+000	-1.000000e+000
1.907951980191107e-005	7.949595e+000	-1.000000e+000
1.928407095704194e-005	8.028159e+000	-1.000000e+000
1.957300372849093e-005	8.113384e+000	-1.000000e+000
1.975033053535202e-005	8.113022e+000	-1.000000e+000
1.987888381364930e-005	8.028944e+000	-1.000000e+000
2.000000000000000e-005	7.872397e+000	-1.000000e+000
2.000067730969667e-005	7.871367e+000	-1.000000e+000
2.000203192908999e-005	7.869289e+000	-1.000000e+000
2.000474116787665e-005	7.865084e+000	-1.000000e+000
2.000874066191545e-005	7.858738e+000	-1.000000e+000
2.001332795808169e-005	7.851204e+000	-1.000000e+000
2.001831678435982e-005	7.842661e+000	-1.000000e+000
2.002328876025540e-005	7.833778e+000	-1.000000e+000
2.002832292360615e-005	7.824433e+000	-1.000000e+000
2.003329162171760e-005	7.814905e+000	-1.000000e+000
2.003886421940960e-005	7.803949e+000	-1.000000e+000
2.004325789714086e-005	7.795151e+000	-1.000000e+000
