Freq.	V(n002)
1.00000000000000e+001	(-4.41170527797131e+001dB,-9.00000457196802e+001°)
1.02329299228075e+001	(-4.39170527777152e+001dB,-9.00000467846283e+001°)
1.04712854805090e+001	(-4.37170527756230e+001dB,-9.00000478743823e+001°)
1.07151930523761e+001	(-4.35170527734323e+001dB,-9.00000489895199e+001°)
1.09647819614319e+001	(-4.33170527711383e+001dB,-9.00000501306324e+001°)
1.12201845430196e+001	(-4.31170527687363e+001dB,-9.00000512983249e+001°)
1.14815362149688e+001	(-4.29170527662210e+001dB,-9.00000524932164e+001°)
1.17489755493953e+001	(-4.27170527635871e+001dB,-9.00000537159405e+001°)
1.20226443461741e+001	(-4.25170527608292e+001dB,-9.00000549671454e+001°)
1.23026877081238e+001	(-4.23170527579412e+001dB,-9.00000562474947e+001°)
1.25892541179417e+001	(-4.21170527549172e+001dB,-9.00000575576672e+001°)
1.28824955169313e+001	(-4.19170527517506e+001dB,-9.00000588983575e+001°)
1.31825673855641e+001	(-4.17170527484348e+001dB,-9.00000602702765e+001°)
1.34896288259165e+001	(-4.15170527449628e+001dB,-9.00000616741516e+001°)
1.38038426460288e+001	(-4.13170527413271e+001dB,-9.00000631107271e+001°)
1.41253754462275e+001	(-4.11170527375200e+001dB,-9.00000645807648e+001°)
1.44543977074593e+001	(-4.09170527335336e+001dB,-9.00000660850440e+001°)
1.47910838816821e+001	(-4.07170527293592e+001dB,-9.00000676243624e+001°)
1.51356124843621e+001	(-4.05170527249881e+001dB,-9.00000691995362e+001°)
1.54881661891248e+001	(-4.03170527204111e+001dB,-9.00000708114005e+001°)
1.58489319246111e+001	(-4.01170527156183e+001dB,-9.00000724608099e+001°)
1.62181009735893e+001	(-3.99170527105996e+001dB,-9.00000741486390e+001°)
1.65958690743756e+001	(-3.97170527053444e+001dB,-9.00000758757826e+001°)
1.69824365246174e+001	(-3.95170526998416e+001dB,-9.00000776431567e+001°)
1.73780082874937e+001	(-3.93170526940794e+001dB,-9.00000794516981e+001°)
1.77827941003892e+001	(-3.91170526880456e+001dB,-9.00000813023659e+001°)
1.81970085860998e+001	(-3.89170526817275e+001dB,-9.00000831961413e+001°)
1.86208713666287e+001	(-3.87170526751116e+001dB,-9.00000851340284e+001°)
1.90546071796325e+001	(-3.85170526681839e+001dB,-9.00000871170546e+001°)
1.94984459975804e+001	(-3.83170526609298e+001dB,-9.00000891462715e+001°)
1.99526231496888e+001	(-3.81170526533337e+001dB,-9.00000912227549e+001°)
2.04173794466953e+001	(-3.79170526453797e+001dB,-9.00000933476059e+001°)
2.08929613085404e+001	(-3.77170526370507e+001dB,-9.00000955219509e+001°)
2.13796208950223e+001	(-3.75170526283293e+001dB,-9.00000977469430e+001°)
2.18776162394955e+001	(-3.73170526191968e+001dB,-9.00001000237618e+001°)
2.23872113856834e+001	(-3.71170526096340e+001dB,-9.00001023536145e+001°)
2.29086765276777e+001	(-3.69170525996204e+001dB,-9.00001047377365e+001°)
2.34422881531992e+001	(-3.67170525891350e+001dB,-9.00001071773917e+001°)
2.39883291901949e+001	(-3.65170525781553e+001dB,-9.00001096738739e+001°)
2.45470891568503e+001	(-3.63170525666582e+001dB,-9.00001122285066e+001°)
2.51188643150958e+001	(-3.61170525546193e+001dB,-9.00001148426443e+001°)
2.57039578276886e+001	(-3.59170525420130e+001dB,-9.00001175176732e+001°)
2.63026799189538e+001	(-3.57170525288126e+001dB,-9.00001202550114e+001°)
2.69153480392691e+001	(-3.55170525149900e+001dB,-9.00001230561105e+001°)
2.75422870333816e+001	(-3.53170525005160e+001dB,-9.00001259224555e+001°)
2.81838293126445e+001	(-3.51170524853599e+001dB,-9.00001288555663e+001°)
2.88403150312660e+001	(-3.49170524694895e+001dB,-9.00001318569980e+001°)
2.95120922666638e+001	(-3.47170524528711e+001dB,-9.00001349283421e+001°)
3.01995172040201e+001	(-3.45170524354696e+001dB,-9.00001380712269e+001°)
3.09029543251359e+001	(-3.43170524172479e+001dB,-9.00001412873189e+001°)
3.16227766016838e+001	(-3.41170523981675e+001dB,-9.00001445783234e+001°)
3.23593656929628e+001	(-3.39170523781878e+001dB,-9.00001479459852e+001°)
3.31131121482591e+001	(-3.37170523572666e+001dB,-9.00001513920898e+001°)
3.38844156139202e+001	(-3.35170523353593e+001dB,-9.00001549184646e+001°)
