Freq.	V(att)
1.00000000000000e+001	(-6.49450090679894e+001dB,-9.00061956177374e+001°)
1.02329299228075e+001	(-6.47450090686923e+001dB,-9.00063399322135e+001°)
1.04712854805090e+001	(-6.45450090694284e+001dB,-9.00064876082056e+001°)
1.07151930523761e+001	(-6.43450090701992e+001dB,-9.00066387240134e+001°)
1.09647819614319e+001	(-6.41450090710063e+001dB,-9.00067933597606e+001°)
1.12201845430196e+001	(-6.39450090718515e+001dB,-9.00069515974371e+001°)
1.14815362149688e+001	(-6.37450090727365e+001dB,-9.00071135209425e+001°)
1.17489755493953e+001	(-6.35450090736632e+001dB,-9.00072792161309e+001°)
1.20226443461741e+001	(-6.33450090746336e+001dB,-9.00074487708560e+001°)
1.23026877081238e+001	(-6.31450090756497e+001dB,-9.00076222750181e+001°)
1.25892541179417e+001	(-6.29450090767137e+001dB,-9.00077998206112e+001°)
1.28824955169313e+001	(-6.27450090778278e+001dB,-9.00079815017725e+001°)
1.31825673855641e+001	(-6.25450090789944e+001dB,-9.00081674148316e+001°)
1.34896288259165e+001	(-6.23450090802161e+001dB,-9.00083576583622e+001°)
1.38038426460288e+001	(-6.21450090814953e+001dB,-9.00085523332339e+001°)
1.41253754462275e+001	(-6.19450090828348e+001dB,-9.00087515426659e+001°)
1.44543977074593e+001	(-6.17450090842374e+001dB,-9.00089553922816e+001°)
1.47910838816821e+001	(-6.15450090857061e+001dB,-9.00091639901649e+001°)
1.51356124843621e+001	(-6.13450090872440e+001dB,-9.00093774469171e+001°)
1.54881661891248e+001	(-6.11450090888545e+001dB,-9.00095958757157e+001°)
1.58489319246111e+001	(-6.09450090905408e+001dB,-9.00098193923746e+001°)
1.62181009735893e+001	(-6.07450090923065e+001dB,-9.00100481154054e+001°)
1.65958690743756e+001	(-6.05450090941556e+001dB,-9.00102821660799e+001°)
1.69824365246174e+001	(-6.03450090960917e+001dB,-9.00105216684950e+001°)
1.73780082874937e+001	(-6.01450090981191e+001dB,-9.00107667496380e+001°)
1.77827941003892e+001	(-5.99450091002420e+001dB,-9.00110175394541e+001°)
1.81970085860998e+001	(-5.97450091024650e+001dB,-9.00112741709156e+001°)
1.86208713666287e+001	(-5.95450091047928e+001dB,-9.00115367800916e+001°)
1.90546071796325e+001	(-5.93450091072303e+001dB,-9.00118055062212e+001°)
1.94984459975804e+001	(-5.91450091097826e+001dB,-9.00120804917864e+001°)
1.99526231496888e+001	(-5.89450091124552e+001dB,-9.00123618825883e+001°)
2.04173794466953e+001	(-5.87450091152538e+001dB,-9.00126498278239e+001°)
2.08929613085404e+001	(-5.85450091181843e+001dB,-9.00129444801657e+001°)
2.13796208950223e+001	(-5.83450091212529e+001dB,-9.00132459958422e+001°)
2.18776162394955e+001	(-5.81450091244661e+001dB,-9.00135545347210e+001°)
2.23872113856834e+001	(-5.79450091278307e+001dB,-9.00138702603935e+001°)
2.29086765276777e+001	(-5.77450091313539e+001dB,-9.00141933402617e+001°)
2.34422881531992e+001	(-5.75450091350432e+001dB,-9.00145239456267e+001°)
2.39883291901949e+001	(-5.73450091389063e+001dB,-9.00148622517800e+001°)
2.45470891568503e+001	(-5.71450091429515e+001dB,-9.00152084380959e+001°)
2.51188643150958e+001	(-5.69450091471873e+001dB,-9.00155626881269e+001°)
2.57039578276886e+001	(-5.67450091516228e+001dB,-9.00159251897012e+001°)
2.63026799189538e+001	(-5.65450091562673e+001dB,-9.00162961350218e+001°)
2.69153480392691e+001	(-5.63450091611306e+001dB,-9.00166757207689e+001°)
2.75422870333816e+001	(-5.61450091662232e+001dB,-9.00170641482039e+001°)
2.81838293126445e+001	(-5.59450091715558e+001dB,-9.00174616232761e+001°)
2.88403150312660e+001	(-5.57450091771397e+001dB,-9.00178683567321e+001°)
2.95120922666638e+001	(-5.55450091829868e+001dB,-9.00182845642273e+001°)
3.01995172040201e+001	(-5.53450091891094e+001dB,-9.00187104664405e+001°)
3.09029543251359e+001	(-5.51450091955206e+001dB,-9.00191462891906e+001°)
3.16227766016838e+001	(-5.49450092022340e+001dB,-9.00195922635567e+001°)
3.23593656929628e+001	(-5.47450092092637e+001dB,-9.00200486260002e+001°)
3.31131121482591e+001	(-5.45450092166247e+001dB,-9.00205156184905e+001°)
3.38844156139202e+001	(-5.43450092243327e+001dB,-9.00209934886334e+001°)
3.46736850452531e+001	(-5.41450092324039e+001dB,-9.00214824898017e+001°)
3.54813389233575e+001	(-5.39450092408554e+001dB,-9.00219828812705e+001°)
3.63078054770101e+001	(-5.37450092497053e+001dB,-9.00224949283538e+001°)
3.71535229097172e+001	(-5.35450092589723e+001dB,-9.00230189025459e+001°)
3.80189396320561e+001	(-5.33450092686761e+001dB,-9.00235550816647e+001°)
3.89045144994280e+001	(-5.31450092788371e+001dB,-9.00241037499996e+001°)
3.98107170553497e+001	(-5.29450092894770e+001dB,-9.00246651984618e+001°)
4.07380277804112e+001	(-5.27450093006184e+001dB,-9.00252397247386e+001°)
4.16869383470335e+001	(-5.25450093122848e+001dB,-9.00258276334515e+001°)
4.26579518801592e+001	(-5.23450093245011e+001dB,-9.00264292363175e+001°)
4.36515832240165e+001	(-5.21450093372931e+001dB,-9.00270448523144e+001°)
4.46683592150962e+001	(-5.19450093506880e+001dB,-9.00276748078498e+001°)
4.57088189614874e+001	(-5.17450093647141e+001dB,-9.00283194369347e+001°)
4.67735141287197e+001	(-5.15450093794013e+001dB,-9.00289790813597e+001°)
4.78630092322638e+001	(-5.13450093947806e+001dB,-9.00296540908773e+001°)
4.89778819368445e+001	(-5.11450094108848e+001dB,-9.00303448233862e+001°)
5.01187233627271e+001	(-5.09450094277479e+001dB,-9.00310516451220e+001°)
5.12861383991364e+001	(-5.07450094454058e+001dB,-9.00317749308511e+001°)
5.24807460249772e+001	(-5.05450094638959e+001dB,-9.00325150640689e+001°)
5.37031796370252e+001	(-5.03450094832574e+001dB,-9.00332724372040e+001°)
5.49540873857624e+001	(-5.01450095035313e+001dB,-9.00340474518256e+001°)
5.62341325190348e+001	(-4.99450095247607e+001dB,-9.00348405188567e+001°)
5.75439937337156e+001	(-4.97450095469907e+001dB,-9.00356520587920e+001°)
5.88843655355588e+001	(-4.95450095702683e+001dB,-9.00364825019205e+001°)
6.02559586074357e+001	(-4.93450095946430e+001dB,-9.00373322885543e+001°)
6.16595001861481e+001	(-4.91450096201663e+001dB,-9.00382018692615e+001°)
6.30957344480192e+001	(-4.89450096468926e+001dB,-9.00390917051053e+001°)
6.45654229034654e+001	(-4.87450096748785e+001dB,-9.00400022678883e+001°)
6.60693448007595e+001	(-4.85450097041832e+001dB,-9.00409340404031e+001°)
6.76082975391980e+001	(-4.83450097348691e+001dB,-9.00418875166877e+001°)
6.91830970918935e+001	(-4.81450097670012e+001dB,-9.00428632022879e+001°)
7.07945784384136e+001	(-4.79450098006475e+001dB,-9.00438616145250e+001°)
7.24435960074988e+001	(-4.77450098358796e+001dB,-9.00448832827704e+001°)
7.41310241300916e+001	(-4.75450098727722e+001dB,-9.00459287487262e+001°)
7.58577575029182e+001	(-4.73450099114034e+001dB,-9.00469985667122e+001°)
7.76247116628690e+001	(-4.71450099518552e+001dB,-9.00480933039599e+001°)
7.94328234724279e+001	(-4.69450099942135e+001dB,-9.00492135409137e+001°)
8.12830516164097e+001	(-4.67450100385681e+001dB,-9.00503598715380e+001°)
8.31763771102669e+001	(-4.65450100850131e+001dB,-9.00515329036322e+001°)
8.51138038202374e+001	(-4.63450101336469e+001dB,-9.00527332591537e+001°)
8.70963589956078e+001	(-4.61450101845727e+001dB,-9.00539615745467e+001°)
8.91250938133743e+001	(-4.59450102378987e+001dB,-9.00552185010802e+001°)
9.12010839355907e+001	(-4.57450102937378e+001dB,-9.00565047051934e+001°)
9.33254300796988e+001	(-4.55450103522085e+001dB,-9.00578208688487e+001°)
9.54992586021433e+001	(-4.53450104134349e+001dB,-9.00591676898933e+001°)
9.77237220955808e+001	(-4.51450104775467e+001dB,-9.00605458824296e+001°)
9.99999999999997e+001	(-4.49450105446801e+001dB,-9.00619561771935e+001°)
1.02329299228075e+002	(-4.47450106149774e+001dB,-9.00633993219418e+001°)
1.04712854805090e+002	(-4.45450106885877e+001dB,-9.00648760818490e+001°)
