Freq.	V(buff)
1.00000000000000e+001	(-6.49451267807465e+001dB,-9.00000838197800e+001°)
1.02329299228075e+001	(-6.47451267790688e+001dB,-9.00000857721934e+001°)
1.04712854805090e+001	(-6.45451267773121e+001dB,-9.00000877700844e+001°)
1.07151930523761e+001	(-6.43451267754726e+001dB,-9.00000898145122e+001°)
1.09647819614319e+001	(-6.41451267735463e+001dB,-9.00000919065608e+001°)
1.12201845430196e+001	(-6.39451267715293e+001dB,-9.00000940473396e+001°)
1.14815362149688e+001	(-6.37451267694172e+001dB,-9.00000962379834e+001°)
1.17489755493953e+001	(-6.35451267672056e+001dB,-9.00000984796539e+001°)
1.20226443461741e+001	(-6.33451267648898e+001dB,-9.00001007735396e+001°)
1.23026877081238e+001	(-6.31451267624648e+001dB,-9.00001031208568e+001°)
1.25892541179417e+001	(-6.29451267599256e+001dB,-9.00001055228500e+001°)
1.28824955169313e+001	(-6.27451267572666e+001dB,-9.00001079807928e+001°)
1.31825673855641e+001	(-6.25451267544824e+001dB,-9.00001104959884e+001°)
1.34896288259165e+001	(-6.23451267515669e+001dB,-9.00001130697705e+001°)
1.38038426460288e+001	(-6.21451267485140e+001dB,-9.00001157035036e+001°)
1.41253754462275e+001	(-6.19451267453173e+001dB,-9.00001183985842e+001°)
1.44543977074593e+001	(-6.17451267419699e+001dB,-9.00001211564413e+001°)
1.47910838816821e+001	(-6.15451267384647e+001dB,-9.00001239785372e+001°)
1.51356124843621e+001	(-6.13451267347943e+001dB,-9.00001268663681e+001°)
1.54881661891248e+001	(-6.11451267309510e+001dB,-9.00001298214652e+001°)
1.58489319246111e+001	(-6.09451267269265e+001dB,-9.00001328453953e+001°)
1.62181009735893e+001	(-6.07451267227124e+001dB,-9.00001359397618e+001°)
1.65958690743756e+001	(-6.05451267182997e+001dB,-9.00001391062053e+001°)
1.69824365246174e+001	(-6.03451267136790e+001dB,-9.00001423464048e+001°)
1.73780082874937e+001	(-6.01451267088405e+001dB,-9.00001456620781e+001°)
1.77827941003892e+001	(-5.99451267037740e+001dB,-9.00001490549835e+001°)
1.81970085860998e+001	(-5.97451266984687e+001dB,-9.00001525269196e+001°)
1.86208713666287e+001	(-5.95451266929134e+001dB,-9.00001560797276e+001°)
1.90546071796325e+001	(-5.93451266870963e+001dB,-9.00001597152910e+001°)
1.94984459975804e+001	(-5.91451266810050e+001dB,-9.00001634355376e+001°)
1.99526231496888e+001	(-5.89451266746266e+001dB,-9.00001672424398e+001°)
2.04173794466953e+001	(-5.87451266679477e+001dB,-9.00001711380162e+001°)
2.08929613085404e+001	(-5.85451266609539e+001dB,-9.00001751243321e+001°)
2.13796208950223e+001	(-5.83451266536306e+001dB,-9.00001792035012e+001°)
2.18776162394955e+001	(-5.81451266459622e+001dB,-9.00001833776863e+001°)
2.23872113856834e+001	(-5.79451266379323e+001dB,-9.00001876491006e+001°)
2.29086765276777e+001	(-5.77451266295240e+001dB,-9.00001920200089e+001°)
2.34422881531992e+001	(-5.75451266207194e+001dB,-9.00001964927286e+001°)
2.39883291901949e+001	(-5.73451266114999e+001dB,-9.00002010696314e+001°)
2.45470891568503e+001	(-5.71451266018459e+001dB,-9.00002057531438e+001°)
2.51188643150958e+001	(-5.69451265917369e+001dB,-9.00002105457492e+001°)
2.57039578276886e+001	(-5.67451265811514e+001dB,-9.00002154499886e+001°)
2.63026799189538e+001	(-5.65451265700671e+001dB,-9.00002204684624e+001°)
2.69153480392691e+001	(-5.63451265584604e+001dB,-9.00002256038314e+001°)
2.75422870333816e+001	(-5.61451265463067e+001dB,-9.00002308588183e+001°)
2.81838293126445e+001	(-5.59451265335803e+001dB,-9.00002362362096e+001°)
2.88403150312660e+001	(-5.57451265202540e+001dB,-9.00002417388563e+001°)
2.95120922666638e+001	(-5.55451265062997e+001dB,-9.00002473696760e+001°)
3.01995172040201e+001	(-5.53451264916877e+001dB,-9.00002531316542e+001°)
3.09029543251359e+001	(-5.51451264763871e+001dB,-9.00002590278460e+001°)
3.16227766016838e+001	(-5.49451264603654e+001dB,-9.00002650613776e+001°)
3.23593656929628e+001	(-5.47451264435886e+001dB,-9.00002712354480e+001°)
3.31131121482591e+001	(-5.45451264260212e+001dB,-9.00002775533309e+001°)
3.38844156139202e+001	(-5.43451264076258e+001dB,-9.00002840183761e+001°)
3.46736850452531e+001	(-5.41451263883635e+001dB,-9.00002906340113e+001°)
3.54813389233575e+001	(-5.39451263681934e+001dB,-9.00002974037442e+001°)
3.63078054770101e+001	(-5.37451263470727e+001dB,-9.00003043311643e+001°)
3.71535229097172e+001	(-5.35451263249566e+001dB,-9.00003114199445e+001°)
3.80189396320561e+001	(-5.33451263017982e+001dB,-9.00003186738434e+001°)
3.89045144994280e+001	(-5.31451262775484e+001dB,-9.00003260967070e+001°)
3.98107170553497e+001	(-5.29451262521557e+001dB,-9.00003336924711e+001°)
4.07380277804112e+001	(-5.27451262255663e+001dB,-9.00003414651629e+001°)
4.16869383470335e+001	(-5.25451261977238e+001dB,-9.00003494189038e+001°)
4.26579518801592e+001	(-5.23451261685691e+001dB,-9.00003575579107e+001°)
4.36515832240165e+001	(-5.21451261380404e+001dB,-9.00003658864990e+001°)
4.46683592150962e+001	(-5.19451261060729e+001dB,-9.00003744090848e+001°)
4.57088189614874e+001	(-5.17451260725988e+001dB,-9.00003831301866e+001°)
4.67735141287197e+001	(-5.15451260375472e+001dB,-9.00003920544286e+001°)
4.78630092322638e+001	(-5.13451260008436e+001dB,-9.00004011865424e+001°)
4.89778819368445e+001	(-5.11451259624102e+001dB,-9.00004105313701e+001°)
5.01187233627271e+001	(-5.09451259221655e+001dB,-9.00004200938661e+001°)
5.12861383991364e+001	(-5.07451258800242e+001dB,-9.00004298791007e+001°)
5.24807460249772e+001	(-5.05451258358968e+001dB,-9.00004398922621e+001°)
5.37031796370252e+001	(-5.03451257896897e+001dB,-9.00004501386594e+001°)
5.49540873857624e+001	(-5.01451257413050e+001dB,-9.00004606237252e+001°)
5.62341325190348e+001	(-4.99451256906399e+001dB,-9.00004713530188e+001°)
5.75439937337156e+001	(-4.97451256375871e+001dB,-9.00004823322289e+001°)
5.88843655355588e+001	(-4.95451255820339e+001dB,-9.00004935671768e+001°)
6.02559586074357e+001	(-4.93451255238627e+001dB,-9.00005050638194e+001°)
6.16595001861481e+001	(-4.91451254629499e+001dB,-9.00005168282522e+001°)
6.30957344480192e+001	(-4.89451253991664e+001dB,-9.00005288667127e+001°)
6.45654229034654e+001	(-4.87451253323768e+001dB,-9.00005411855839e+001°)
6.60693448007595e+001	(-4.85451252624396e+001dB,-9.00005537913973e+001°)
6.76082975391980e+001	(-4.83451251892063e+001dB,-9.00005666908364e+001°)
6.91830970918935e+001	(-4.81451251125216e+001dB,-9.00005798907407e+001°)
7.07945784384136e+001	(-4.79451250322229e+001dB,-9.00005933981087e+001°)
7.24435960074988e+001	(-4.77451249481398e+001dB,-9.00006072201022e+001°)
7.41310241300916e+001	(-4.75451248600940e+001dB,-9.00006213640495e+001°)
7.58577575029182e+001	(-4.73451247678988e+001dB,-9.00006358374498e+001°)
7.76247116628690e+001	(-4.71451246713585e+001dB,-9.00006506479769e+001°)
7.94328234724279e+001	(-4.69451245702684e+001dB,-9.00006658034835e+001°)
8.12830516164097e+001	(-4.67451244644141e+001dB,-9.00006813120048e+001°)
8.31763771102669e+001	(-4.65451243535711e+001dB,-9.00006971817635e+001°)
8.51138038202374e+001	(-4.63451242375041e+001dB,-9.00007134211739e+001°)
8.70963589956078e+001	(-4.61451241159671e+001dB,-9.00007300388459e+001°)
8.91250938133743e+001	(-4.59451239887022e+001dB,-9.00007470435902e+001°)
9.12010839355907e+001	(-4.57451238554395e+001dB,-9.00007644444227e+001°)
9.33254300796988e+001	(-4.55451237158963e+001dB,-9.00007822505691e+001°)
9.54992586021433e+001	(-4.53451235697767e+001dB,-9.00008004714703e+001°)
9.77237220955808e+001	(-4.51451234167706e+001dB,-9.00008191167869e+001°)
9.99999999999997e+001	(-4.49451232565536e+001dB,-9.00008381964045e+001°)
1.02329299228075e+002	(-4.47451230887858e+001dB,-9.00008577204389e+001°)
1.04712854805090e+002	(-4.45451229131113e+001dB,-9.00008776992416e+001°)
1.07151930523760e+002	(-4.43451227291576e+001dB,-9.00008981434053e+001°)
1.09647819614318e+002	(-4.41451225365344e+001dB,-9.00009190637691e+001°)
1.12201845430196e+002	(-4.39451223348331e+001dB,-9.00009404714247e+001°)
1.14815362149688e+002	(-4.37451221236259e+001dB,-9.00009623777224e+001°)
1.17489755493953e+002	(-4.35451219024648e+001dB,-9.00009847942764e+001°)
1.20226443461741e+002	(-4.33451216708807e+001dB,-9.00010077329716e+001°)
1.23026877081238e+002	(-4.31451214283824e+001dB,-9.00010312059699e+001°)
1.25892541179416e+002	(-4.29451211744555e+001dB,-9.00010552257160e+001°)
1.28824955169313e+002	(-4.27451209085614e+001dB,-9.00010798049448e+001°)
1.31825673855640e+002	(-4.25451206301360e+001dB,-9.00011049566878e+001°)
1.34896288259165e+002	(-4.23451203385889e+001dB,-9.00011306942797e+001°)
1.38038426460288e+002	(-4.21451200333016e+001dB,-9.00011570313660e+001°)
1.41253754462275e+002	(-4.19451197136264e+001dB,-9.00011839819099e+001°)
1.44543977074592e+002	(-4.17451193788855e+001dB,-9.00012115601998e+001°)
1.47910838816820e+002	(-4.15451190283687e+001dB,-9.00012397808569e+001°)
1.51356124843620e+002	(-4.13451186613325e+001dB,-9.00012686588429e+001°)
1.54881661891248e+002	(-4.11451182769985e+001dB,-9.00012982094679e+001°)
1.58489319246111e+002	(-4.09451178745513e+001dB,-9.00013284483985e+001°)
1.62181009735892e+002	(-4.07451174531373e+001dB,-9.00013593916663e+001°)
1.65958690743755e+002	(-4.05451170118627e+001dB,-9.00013910556759e+001°)
1.69824365246174e+002	(-4.03451165497915e+001dB,-9.00014234572144e+001°)
1.73780082874937e+002	(-4.01451160659434e+001dB,-9.00014566134594e+001°)
1.77827941003892e+002	(-3.99451155592923e+001dB,-9.00014905419888e+001°)
1.81970085860998e+002	(-3.97451150287634e+001dB,-9.00015252607896e+001°)
1.86208713666286e+002	(-3.95451144732314e+001dB,-9.00015607882679e+001°)
1.90546071796324e+002	(-3.93451138915180e+001dB,-9.00015971432582e+001°)
1.94984459975804e+002	(-3.91451132823892e+001dB,-9.00016343450335e+001°)
1.99526231496887e+002	(-3.89451126445530e+001dB,-9.00016724133159e+001°)
2.04173794466952e+002	(-3.87451119766564e+001dB,-9.00017113682866e+001°)
2.08929613085403e+002	(-3.85451112772828e+001dB,-9.00017512305964e+001°)
2.13796208950222e+002	(-3.83451105449487e+001dB,-9.00017920213773e+001°)
2.18776162394954e+002	(-3.81451097781007e+001dB,-9.00018337622532e+001°)
2.23872113856833e+002	(-3.79451089751122e+001dB,-9.00018764753516e+001°)
2.29086765276776e+002	(-3.77451081342799e+001dB,-9.00019201833148e+001°)
2.34422881531991e+002	(-3.75451072538203e+001dB,-9.00019649093129e+001°)
2.39883291901948e+002	(-3.73451063318658e+001dB,-9.00020106770548e+001°)
2.45470891568502e+002	(-3.71451053664608e+001dB,-9.00020575108017e+001°)
2.51188643150957e+002	(-3.69451043555576e+001dB,-9.00021054353797e+001°)
2.57039578276885e+002	(-3.67451032970119e+001dB,-9.00021544761925e+001°)
2.63026799189537e+002	(-3.65451021885782e+001dB,-9.00022046592357e+001°)
2.69153480392690e+002	(-3.63451010279056e+001dB,-9.00022560111095e+001°)
2.75422870333816e+002	(-3.61450998125320e+001dB,-9.00023085590336e+001°)
2.81838293126444e+002	(-3.59450985398794e+001dB,-9.00023623308613e+001°)
2.88403150312659e+002	(-3.57450972072483e+001dB,-9.00024173550943e+001°)
2.95120922666637e+002	(-3.55450958118120e+001dB,-9.00024736608975e+001°)
3.01995172040200e+002	(-3.53450943506106e+001dB,-9.00025312781147e+001°)
3.09029543251358e+002	(-3.51450928205447e+001dB,-9.00025902372844e+001°)
3.16227766016837e+002	(-3.49450912183686e+001dB,-9.00026505696557e+001°)
3.23593656929627e+002	(-3.47450895406840e+001dB,-9.00027123072050e+001°)
3.31131121482590e+002	(-3.45450877839322e+001dB,-9.00027754826528e+001°)
3.38844156139201e+002	(-3.43450859443868e+001dB,-9.00028401294812e+001°)
3.46736850452530e+002	(-3.41450840181459e+001dB,-9.00029062819511e+001°)
3.54813389233574e+002	(-3.39450820011236e+001dB,-9.00029739751209e+001°)
3.63078054770100e+002	(-3.37450798890414e+001dB,-9.00030432448645e+001°)
3.71535229097171e+002	(-3.35450776774194e+001dB,-9.00031141278906e+001°)
3.80189396320559e+002	(-3.33450753615661e+001dB,-9.00031866617618e+001°)
3.89045144994279e+002	(-3.31450729365694e+001dB,-9.00032608849147e+001°)
3.98107170553495e+002	(-3.29450703972853e+001dB,-9.00033368366798e+001°)
4.07380277804111e+002	(-3.27450677383277e+001dB,-9.00034145573025e+001°)
4.16869383470333e+002	(-3.25450649540564e+001dB,-9.00034940879643e+001°)
4.26579518801591e+002	(-3.23450620385654e+001dB,-9.00035754708046e+001°)
4.36515832240164e+002	(-3.21450589856705e+001dB,-9.00036587489427e+001°)
4.46683592150961e+002	(-3.19450557888958e+001dB,-9.00037439665004e+001°)
4.57088189614873e+002	(-3.17450524414606e+001dB,-9.00038311686258e+001°)
4.67735141287196e+002	(-3.15450489362641e+001dB,-9.00039204015163e+001°)
4.78630092322636e+002	(-3.13450452658713e+001dB,-9.00040117124437e+001°)
4.89778819368444e+002	(-3.11450414224965e+001dB,-9.00041051497784e+001°)
5.01187233627270e+002	(-3.09450373979872e+001dB,-9.00042007630152e+001°)
5.12861383991362e+002	(-3.07450331838064e+001dB,-9.00042986027993e+001°)
5.24807460249770e+002	(-3.05450287710153e+001dB,-9.00043987209528e+001°)
5.37031796370250e+002	(-3.03450241502532e+001dB,-9.00045011705019e+001°)
5.49540873857622e+002	(-3.01450193117186e+001dB,-9.00046060057049e+001°)
5.62341325190346e+002	(-2.99450142451479e+001dB,-9.00047132820807e+001°)
5.75439937337154e+002	(-2.97450089397939e+001dB,-9.00048230564375e+001°)
5.88843655355586e+002	(-2.95450033844026e+001dB,-9.00049353869031e+001°)
6.02559586074355e+002	(-2.93449975671899e+001dB,-9.00050503329552e+001°)
6.16595001861479e+002	(-2.91449914758162e+001dB,-9.00051679554523e+001°)
6.30957344480190e+002	(-2.89449850973601e+001dB,-9.00052883166658e+001°)
