Freq.	V(clean)
1.00000000000000e+001	(-4.41171553146636e+001dB,-9.00000428904634e+001°)
1.02329299228075e+001	(-4.39171553130026e+001dB,-9.00000438895106e+001°)
1.04712854805090e+001	(-4.37171553112632e+001dB,-9.00000449118286e+001°)
1.07151930523761e+001	(-4.35171553094419e+001dB,-9.00000459579594e+001°)
1.09647819614319e+001	(-4.33171553075348e+001dB,-9.00000470284577e+001°)
1.12201845430196e+001	(-4.31171553055377e+001dB,-9.00000481238911e+001°)
1.14815362149688e+001	(-4.29171553034466e+001dB,-9.00000492448404e+001°)
1.17489755493953e+001	(-4.27171553012569e+001dB,-9.00000503919000e+001°)
1.20226443461741e+001	(-4.25171552989640e+001dB,-9.00000515656780e+001°)
1.23026877081238e+001	(-4.23171552965630e+001dB,-9.00000527667968e+001°)
1.25892541179417e+001	(-4.21171552940489e+001dB,-9.00000539958933e+001°)
1.28824955169313e+001	(-4.19171552914163e+001dB,-9.00000552536191e+001°)
1.31825673855641e+001	(-4.17171552886597e+001dB,-9.00000565406411e+001°)
1.34896288259165e+001	(-4.15171552857731e+001dB,-9.00000578576416e+001°)
1.38038426460288e+001	(-4.13171552827505e+001dB,-9.00000592053191e+001°)
1.41253754462275e+001	(-4.11171552795854e+001dB,-9.00000605843879e+001°)
1.44543977074593e+001	(-4.09171552762712e+001dB,-9.00000619955794e+001°)
1.47910838816821e+001	(-4.07171552728007e+001dB,-9.00000634396418e+001°)
1.51356124843621e+001	(-4.05171552691667e+001dB,-9.00000649173406e+001°)
1.54881661891248e+001	(-4.03171552653615e+001dB,-9.00000664294595e+001°)
1.58489319246111e+001	(-4.01171552613769e+001dB,-9.00000679768002e+001°)
1.62181009735893e+001	(-3.99171552572045e+001dB,-9.00000695601830e+001°)
1.65958690743756e+001	(-3.97171552528355e+001dB,-9.00000711804475e+001°)
1.69824365246174e+001	(-3.95171552482606e+001dB,-9.00000728384528e+001°)
1.73780082874937e+001	(-3.93171552434700e+001dB,-9.00000745350780e+001°)
1.77827941003892e+001	(-3.91171552384537e+001dB,-9.00000762712226e+001°)
1.81970085860998e+001	(-3.89171552332010e+001dB,-9.00000780478073e+001°)
1.86208713666287e+001	(-3.87171552277007e+001dB,-9.00000798657738e+001°)
1.90546071796325e+001	(-3.85171552219413e+001dB,-9.00000817260862e+001°)
1.94984459975804e+001	(-3.83171552159103e+001dB,-9.00000836297309e+001°)
1.99526231496888e+001	(-3.81171552095952e+001dB,-9.00000855777170e+001°)
2.04173794466953e+001	(-3.79171552029824e+001dB,-9.00000875710776e+001°)
2.08929613085404e+001	(-3.77171551960580e+001dB,-9.00000896108695e+001°)
2.13796208950223e+001	(-3.75171551888072e+001dB,-9.00000916981741e+001°)
2.18776162394955e+001	(-3.73171551812147e+001dB,-9.00000938340983e+001°)
2.23872113856834e+001	(-3.71171551732644e+001dB,-9.00000960197746e+001°)
2.29086765276777e+001	(-3.69171551649394e+001dB,-9.00000982563617e+001°)
2.34422881531992e+001	(-3.67171551562221e+001dB,-9.00001005450455e+001°)
2.39883291901949e+001	(-3.65171551470939e+001dB,-9.00001028870396e+001°)
2.45470891568503e+001	(-3.63171551375355e+001dB,-9.00001052835857e+001°)
2.51188643150958e+001	(-3.61171551275267e+001dB,-9.00001077359545e+001°)
2.57039578276886e+001	(-3.59171551170462e+001dB,-9.00001102454462e+001°)
2.63026799189538e+001	(-3.57171551060717e+001dB,-9.00001128133913e+001°)
2.69153480392691e+001	(-3.55171550945800e+001dB,-9.00001154411516e+001°)
2.75422870333816e+001	(-3.53171550825467e+001dB,-9.00001181301201e+001°)
2.81838293126445e+001	(-3.51171550699463e+001dB,-9.00001208817227e+001°)
2.88403150312660e+001	(-3.49171550567521e+001dB,-9.00001236974182e+001°)
2.95120922666638e+001	(-3.47171550429360e+001dB,-9.00001265786996e+001°)
3.01995172040201e+001	(-3.45171550284689e+001dB,-9.00001295270945e+001°)
3.09029543251359e+001	(-3.43171550133199e+001dB,-9.00001325441663e+001°)
3.16227766016838e+001	(-3.41171549974569e+001dB,-9.00001356315145e+001°)
3.23593656929628e+001	(-3.39171549808464e+001dB,-9.00001387907762e+001°)
3.31131121482591e+001	(-3.37171549634530e+001dB,-9.00001420236264e+001°)
3.38844156139202e+001	(-3.35171549452399e+001dB,-9.00001453317792e+001°)
3.46736850452531e+001	(-3.33171549261684e+001dB,-9.00001487169886e+001°)
3.54813389233575e+001	(-3.31171549061982e+001dB,-9.00001521810494e+001°)
3.63078054770101e+001	(-3.29171548852867e+001dB,-9.00001557257984e+001°)
3.71535229097172e+001	(-3.27171548633898e+001dB,-9.00001593531150e+001°)
3.80189396320561e+001	(-3.25171548404608e+001dB,-9.00001630649224e+001°)
3.89045144994280e+001	(-3.23171548164513e+001dB,-9.00001668631887e+001°)
3.98107170553497e+001	(-3.21171547913102e+001dB,-9.00001707499277e+001°)
4.07380277804112e+001	(-3.19171547649843e+001dB,-9.00001747272002e+001°)
4.16869383470335e+001	(-3.17171547374176e+001dB,-9.00001787971149e+001°)
4.26579518801592e+001	(-3.15171547085518e+001dB,-9.00001829618299e+001°)
4.36515832240165e+001	(-3.13171546783256e+001dB,-9.00001872235531e+001°)
4.46683592150962e+001	(-3.11171546466748e+001dB,-9.00001915845443e+001°)
4.57088189614874e+001	(-3.09171546135325e+001dB,-9.00001960471156e+001°)
4.67735141287197e+001	(-3.07171545788281e+001dB,-9.00002006136331e+001°)
4.78630092322638e+001	(-3.05171545424882e+001dB,-9.00002052865180e+001°)
