Freq.	V(n005)/I(C2)
1.00000000000000e-001	(1.58553245647561e+002dB,9.00000000491992e+001°)
1.02329299228075e-001	(1.58353245647560e+002dB,9.00000000503452e+001°)
1.04712854805090e-001	(1.58153245647560e+002dB,9.00000000515179e+001°)
1.07151930523761e-001	(1.57953245647560e+002dB,9.00000000527179e+001°)
1.09647819614319e-001	(1.57753245647560e+002dB,9.00000000539458e+001°)
1.12201845430196e-001	(1.57553245647560e+002dB,9.00000000552024e+001°)
1.14815362149688e-001	(1.57353245647559e+002dB,9.00000000564882e+001°)
1.17489755493953e-001	(1.57153245647559e+002dB,9.00000000578040e+001°)
1.20226443461741e-001	(1.56953245647559e+002dB,9.00000000591504e+001°)
1.23026877081238e-001	(1.56753245647559e+002dB,9.00000000605282e+001°)
1.25892541179417e-001	(1.56553245647559e+002dB,9.00000000619381e+001°)
1.28824955169313e-001	(1.56353245647558e+002dB,9.00000000633808e+001°)
1.31825673855641e-001	(1.56153245647558e+002dB,9.00000000648572e+001°)
1.34896288259165e-001	(1.55953245647558e+002dB,9.00000000663679e+001°)
1.38038426460288e-001	(1.55753245647557e+002dB,9.00000000679138e+001°)
1.41253754462275e-001	(1.55553245647557e+002dB,9.00000000694957e+001°)
1.44543977074593e-001	(1.55353245647557e+002dB,9.00000000711145e+001°)
1.47910838816821e-001	(1.55153245647556e+002dB,9.00000000727709e+001°)
1.51356124843621e-001	(1.54953245647556e+002dB,9.00000000744660e+001°)
1.54881661891248e-001	(1.54753245647556e+002dB,9.00000000762005e+001°)
1.58489319246111e-001	(1.54553245647555e+002dB,9.00000000779755e+001°)
1.62181009735893e-001	(1.54353245647555e+002dB,9.00000000797917e+001°)
1.65958690743756e-001	(1.54153245647554e+002dB,9.00000000816503e+001°)
1.69824365246174e-001	(1.53953245647554e+002dB,9.00000000835522e+001°)
1.73780082874937e-001	(1.53753245647553e+002dB,9.00000000854984e+001°)
1.77827941003892e-001	(1.53553245647553e+002dB,9.00000000874899e+001°)
1.81970085860998e-001	(1.53353245647552e+002dB,9.00000000895278e+001°)
1.86208713666287e-001	(1.53153245647552e+002dB,9.00000000916132e+001°)
1.90546071796325e-001	(1.52953245647551e+002dB,9.00000000937471e+001°)
1.94984459975804e-001	(1.52753245647551e+002dB,9.00000000959308e+001°)
1.99526231496888e-001	(1.52553245647550e+002dB,9.00000000981653e+001°)
2.04173794466953e-001	(1.52353245647549e+002dB,9.00000001004519e+001°)
2.08929613085404e-001	(1.52153245647549e+002dB,9.00000001027917e+001°)
2.13796208950223e-001	(1.51953245647548e+002dB,9.00000001051860e+001°)
2.18776162394955e-001	(1.51753245647547e+002dB,9.00000001076361e+001°)
2.23872113856834e-001	(1.51553245647546e+002dB,9.00000001101433e+001°)
2.29086765276777e-001	(1.51353245647546e+002dB,9.00000001127088e+001°)
2.34422881531992e-001	(1.51153245647545e+002dB,9.00000001153341e+001°)
2.39883291901949e-001	(1.50953245647544e+002dB,9.00000001180206e+001°)
2.45470891568503e-001	(1.50753245647543e+002dB,9.00000001207697e+001°)
2.51188643150958e-001	(1.50553245647542e+002dB,9.00000001235828e+001°)
2.57039578276886e-001	(1.50353245647541e+002dB,9.00000001264614e+001°)
2.63026799189538e-001	(1.50153245647540e+002dB,9.00000001294071e+001°)
2.69153480392691e-001	(1.49953245647539e+002dB,9.00000001324213e+001°)
2.75422870333816e-001	(1.49753245647537e+002dB,9.00000001355058e+001°)
2.81838293126445e-001	(1.49553245647536e+002dB,9.00000001386622e+001°)
2.88403150312660e-001	(1.49353245647535e+002dB,9.00000001418920e+001°)
