time	V(buff)	V(n009)
4.688169469747837e-003	-1.322911e-003	-9.998915e-001
4.688311557976007e-003	-1.340742e-003	-9.998006e-001
4.688452383230973e-003	-1.382742e-003	-9.997105e-001
4.688649973093506e-003	-1.495352e-003	-9.995840e-001
4.688847720139180e-003	-1.690948e-003	-9.994575e-001
4.689142508235057e-003	-2.147160e-003	-9.992688e-001
4.689455647350228e-003	-2.854250e-003	-9.990684e-001
4.689929828389905e-003	-4.310812e-003	-9.987649e-001
4.690517226019190e-003	-6.569207e-003	-9.983889e-001
4.691363175436433e-003	-1.030356e-002	-9.978476e-001
4.692188982046604e-003	-1.413780e-002	-9.973190e-001
4.693128623134358e-003	-1.843912e-002	-9.967177e-001
4.694104043819011e-003	-2.261877e-002	-9.960934e-001
4.695421315725052e-003	-2.769613e-002	-9.952503e-001
4.697139894904085e-003	-3.335018e-002	-9.941505e-001
4.700012511286370e-003	-4.071182e-002	-9.923120e-001
4.705106392485237e-003	-5.011027e-002	-9.890519e-001
4.709328173373353e-003	-5.528177e-002	-9.863499e-001
4.714041401510080e-003	-5.892729e-002	-9.833335e-001
4.717254891684063e-003	-6.057498e-002	-9.812769e-001
4.721220090013656e-003	-6.191337e-002	-9.787391e-001
4.725567774023228e-003	-6.289729e-002	-9.759566e-001
4.735986046529700e-003	-6.406867e-002	-9.692889e-001
4.749972415876190e-003	-6.455398e-002	-9.603376e-001
4.781634010083732e-003	-6.463046e-002	-9.400742e-001
4.813295604291273e-003	-6.468949e-002	-9.198108e-001
4.844957198498814e-003	-6.473109e-002	-8.995474e-001
4.876618792706356e-003	-6.475525e-002	-8.792840e-001
4.908280386913898e-003	-6.476197e-002	-8.590206e-001
4.939941981121439e-003	-6.475126e-002	-8.387571e-001
4.971603575328980e-003	-6.472310e-002	-8.184937e-001
5.034382593186124e-003	-6.472310e-002	-7.783152e-001
5.097161611043268e-003	-6.472310e-002	-7.381366e-001
5.159940628900412e-003	-6.472310e-002	-6.979580e-001
5.222719646757555e-003	-6.472310e-002	-6.577794e-001
5.285498664614700e-003	-6.472309e-002	-6.176009e-001
5.348277682471843e-003	-6.472309e-002	-5.774223e-001
5.411056700328987e-003	-6.472309e-002	-5.372437e-001
5.480811164614702e-003	-6.472309e-002	-4.926009e-001
5.550565628900417e-003	-6.472308e-002	-4.479580e-001
5.620320093186132e-003	-6.472306e-002	-4.033152e-001
5.690074557471848e-003	-6.472304e-002	-3.586723e-001
5.759829021757563e-003	-6.472301e-002	-3.140294e-001
5.829583486043279e-003	-6.472297e-002	-2.693866e-001
5.899337950328994e-003	-6.472293e-002	-2.247437e-001
5.941190628900423e-003	-6.472270e-002	-1.979580e-001
5.983043307471852e-003	-6.472265e-002	-1.711723e-001
6.024895986043282e-003	-6.472275e-002	-1.443866e-001
6.066748664614711e-003	-6.472302e-002	-1.176009e-001
6.108601343186139e-003	-6.472346e-002	-9.081514e-002
6.150454021757569e-003	-6.472405e-002	-6.402943e-002
6.192306700328998e-003	-6.472482e-002	-3.724371e-002
6.213233039614712e-003	-6.472445e-002	-2.385086e-002
6.234159378900427e-003	-6.472409e-002	-1.045800e-002
6.255085718186141e-003	-6.472376e-002	2.934860e-003
6.276012057471856e-003	-6.472344e-002	1.632772e-002
6.296938396757571e-003	-6.472314e-002	2.972057e-002
6.317864736043286e-003	-6.472285e-002	4.311343e-002
6.338791075329000e-003	-6.472258e-002	5.650629e-002
6.391106923543287e-003	-6.472341e-002	8.998843e-002
6.443422771757573e-003	-6.472405e-002	1.234706e-001
6.495738619971860e-003	-6.472450e-002	1.569527e-001
6.548054468186145e-003	-6.472476e-002	1.904349e-001
6.600370316400432e-003	-6.472483e-002	2.239170e-001
6.652686164614719e-003	-6.472471e-002	2.573991e-001
6.705002012829005e-003	-6.472441e-002	2.908813e-001
