time	V(buff)	V(n009)
5.043011898398884e-004	-6.130509e-001	-7.727924e-001
5.116254085898882e-004	-6.246712e-001	-7.259174e-001
5.186008550184595e-004	-6.285031e-001	-6.812745e-001
5.255763014470308e-004	-6.315633e-001	-6.366317e-001
5.325517478756021e-004	-6.338520e-001	-5.919888e-001
5.395271943041734e-004	-6.353690e-001	-5.473460e-001
5.465026407327446e-004	-6.361145e-001	-5.027031e-001
5.534780871613159e-004	-6.360883e-001	-4.580603e-001
5.604535335898872e-004	-6.352906e-001	-4.134174e-001
5.698703862684584e-004	-6.352938e-001	-3.531495e-001
5.792872389470296e-004	-6.353060e-001	-2.928817e-001
5.887040916256009e-004	-6.353271e-001	-2.326138e-001
5.981209443041721e-004	-6.353570e-001	-1.723460e-001
6.075377969827433e-004	-6.353959e-001	-1.120781e-001
6.169546496613145e-004	-6.354436e-001	-5.181024e-002
6.263715023398858e-004	-6.355002e-001	8.457615e-003
6.361371273398855e-004	-6.354462e-001	7.095762e-002
6.459027523398853e-004	-6.354051e-001	1.334576e-001
6.556683773398851e-004	-6.353770e-001	1.959576e-001
6.654340023398849e-004	-6.353618e-001	2.584576e-001
6.751996273398847e-004	-6.353596e-001	3.209576e-001
6.849652523398845e-004	-6.353703e-001	3.834576e-001
6.947308773398843e-004	-6.353940e-001	4.459576e-001
7.037989576970270e-004	-6.353924e-001	5.039933e-001
7.128670380541696e-004	-6.353910e-001	5.620290e-001
7.219351184113123e-004	-6.353899e-001	6.200647e-001
7.310031987684550e-004	-6.353891e-001	6.781005e-001
7.400712791255977e-004	-6.353885e-001	7.361362e-001
7.491393594827402e-004	-6.353881e-001	7.941719e-001
7.582074398398829e-004	-6.353880e-001	8.522076e-001
7.615079018866250e-004	-6.353879e-001	8.733617e-001
7.648083639333670e-004	-6.353878e-001	8.944990e-001
7.681088259801091e-004	-6.353878e-001	9.156193e-001
7.714092880268511e-004	-6.353877e-001	9.367228e-001
7.747097500735931e-004	-6.353876e-001	9.578093e-001
7.780102121203352e-004	-6.353876e-001	9.788789e-001
7.813106741670772e-004	-6.353875e-001	9.999317e-001
7.814330582027000e-004	-6.355834e-001	9.991484e-001
7.815554422383229e-004	-6.353511e-001	9.983652e-001
7.816778262739457e-004	-6.346906e-001	9.975819e-001
7.818002103095684e-004	-6.336020e-001	9.967987e-001
7.819225943451912e-004	-6.320853e-001	9.960154e-001
7.820449783808141e-004	-6.301404e-001	9.952322e-001
7.821673624164369e-004	-6.277674e-001	9.944489e-001
7.824385570749584e-004	-6.194466e-001	9.927132e-001
7.827746188275547e-004	-6.044481e-001	9.905624e-001
7.832141497117049e-004	-5.777500e-001	9.877495e-001
7.838268281430809e-004	-5.307861e-001	9.838283e-001
7.847064015084747e-004	-4.531941e-001	9.781990e-001
7.855344543886630e-004	-3.762231e-001	9.728995e-001
7.865033293687688e-004	-2.875957e-001	9.666987e-001
7.874514312455550e-004	-2.066183e-001	9.606308e-001
7.886267572484181e-004	-1.143694e-001	9.531087e-001
7.895419599891753e-004	-4.744969e-002	9.472514e-001
7.906615484315202e-004	2.903008e-002	9.400861e-001
7.910977471982988e-004	5.532163e-002	9.372944e-001
7.914074687440101e-004	7.169466e-002	9.353122e-001
7.917128053437250e-004	8.716963e-002	9.333580e-001
7.920181419434398e-004	1.025416e-001	9.314039e-001
7.923234785431546e-004	1.178107e-001	9.294497e-001
7.926288151428693e-004	1.329767e-001	9.274956e-001
7.929341517425841e-004	1.480398e-001	9.255414e-001
7.932394883422989e-004	1.630000e-001	9.235873e-001
7.935448249420138e-004	1.778571e-001	9.216331e-001
7.942937708217756e-004	2.117094e-001	9.168398e-001
7.952779888684095e-004	2.516861e-001	9.105409e-001
7.963250410106783e-004	2.893345e-001	9.038398e-001
7.970994065517007e-004	3.144963e-001	8.988838e-001
7.981676839503367e-004	3.460023e-001	8.920468e-001
7.996880093113117e-004	3.852706e-001	8.823168e-001
8.018971080271874e-004	4.332822e-001	8.681785e-001
8.043385142771874e-004	4.763348e-001	8.525535e-001
8.067799205271873e-004	5.103122e-001	8.369285e-001
8.092213267771873e-004	5.369154e-001	8.213035e-001
8.116627330271872e-004	5.577421e-001	8.056785e-001
8.141041392771872e-004	5.740449e-001	7.900535e-001
8.165455455271871e-004	5.868053e-001	7.744285e-001
8.214283580271870e-004	6.046100e-001	7.431785e-001
8.287525767771869e-004	6.192647e-001	6.963035e-001
8.339841615986153e-004	6.235637e-001	6.628213e-001
8.392157464200438e-004	6.270560e-001	6.293392e-001
8.444473312414722e-004	6.297416e-001	5.958571e-001
8.496789160629008e-004	6.316206e-001	5.623749e-001
8.549105008843292e-004	6.326929e-001	5.288928e-001
8.601420857057576e-004	6.329585e-001	4.954106e-001
8.653736705271861e-004	6.324174e-001	4.619285e-001
8.789757910629001e-004	6.325738e-001	3.748749e-001
8.925779115986141e-004	6.326901e-001	2.878214e-001
9.061800321343281e-004	6.327665e-001	2.007678e-001
