Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000004,-0.03586080010339291,-6.633312703975641
528.425464231416,-0.03685996962885031,-7.041017378229355
558.4669424963738,-0.04198306656521111,-7.483186896652597
590.2163066930912,-0.04356124843414057,-7.982346702134834
623.7706517224958,-0.04596549613269435,-8.478520979285797
659.2325924207848,-0.04651974277160575,-9.029177438152502
696.7105773728656,-0.04633192138829796,-9.643447315467796
736.3192205663872,-0.05309226788485337,-10.26934583680958
778.1796519006143,-0.05275069333785135,-10.99051551990893
822.419887622047,-0.0577146848918715,-11.75219001391861
869.1752218196565,-0.06905005886057738,-12.60480116284238
918.5886401769911,-0.07537400826386793,-13.55443620648779
970.8112572464613,-0.07731278165015518,-14.62303229370152
1026.002778583091,-0.07966675913993755,-15.76442131656145
1084.331989150984,-0.08646174407368082,-17.10838400086706
1145.977269496165,-0.09641807080405725,-18.62685605541472
1211.127141264322,-0.1070561697605105,-20.35957611460773
1279.980843731731,-0.1227286622984725,-22.40609645823459
1352.748943112518,-0.1338379541667019,-24.80936153323276
1429.653976505578,-0.1483383845784899,-27.71183215562308
1510.931132450497,-0.1726633529716167,-31.28258370849612
1596.828970173704,-0.2078423753420043,-35.83369849775448
1687.610179724426,-0.2483363675215686,-41.65353339309691
1783.552385325082,-0.3059331911176615,-49.47584902768514
1884.94899439291,-0.4215638738927576,-60.65097052730293
1992.110094829225,-0.6110716749137297,-77.24052005119107
2105.363403320444,-0.9412093746493257,-103.1389477199741
2225.055267550876,-1.376149342555739,-142.8304015421587
2351.551725392256,-1.553075249524295,166.8372116557847
2485.239624309178,-1.236591359382528,121.7033266608855
2626.527804403769,-0.8603956356351833,90.17417470847235
2775.848348717564,-0.6158141802567808,69.49751925601652
2933.657904614174,-0.4690510031038461,55.70364280089248
3100.439080283809,-0.3745896302322526,46.03677898818071
3276.70192064039,-0.3211017308741138,39.0097611651957
3462.985467124737,-0.2829128152600167,33.68277661561191
3659.859406184066,-0.2542691585914094,29.50964618062757
3867.925811469055,-0.2443674078425217,26.19119651439279
4087.82098507642,-0.2259348574382214,23.38911223755557
4320.217403467855,-0.2167499098559446,21.17326709046545
4565.825774016278,-0.2108910335078229,19.24546923648948
4825.397208468627,-0.2055783370847571,17.55662716011649
5099.725519972021,-0.2037776110349408,16.15551535921136
5389.649650688018,-0.1980312908754013,14.85144197244429
5696.056237419006,-0.1961709201665642,13.74033354905004
6019.882323092776,-0.1885568322065404,12.76461846014877
6362.118222397577,-0.1862577747366598,11.82740656387764
6723.810550331175,-0.1887173869296878,11.05845739706382
7106.065422925682,-0.1914903696348877,10.30924822808532
7510.051839936618,-0.1917258929598628,9.658387590227518
7937.005259840999,-0.1870637065444849,9.029830089533107
8388.231378077342,-0.1884198041743294,8.493955510276976
8865.110120082081,-0.1913681440638852,7.971541009467217
9369.099861333978,-0.1903827617595753,7.488321153083459
9901.741887311797,-0.1852965661227974,7.023055274193212
10464.66510700478,-0.1807824484653668,6.666527893818085
11059.59103439058,-0.1823542079427285,6.26615103508351
11688.33905311488,-0.1872745805094929,5.90923942404082
12352.83198047283,-0.1811490716876883,5.589370125562354
13055.10194770805,-0.183739547284504,5.264618227032898
13797.29661461217,-0.1767945117522847,5.004743897323635
14581.68573742994,-0.1867051397996375,4.729895967162165
15410.66811015604,-0.1853792062717499,4.495337496124549
16286.77890045093,-0.1762232977293965,4.247771491826953
17212.69740261041,-0.1865103517048389,4.036870227336465
18191.25523129858,-0.1857536187579445,3.826858569152421
19225.44498110221,-0.1761041011762332,3.663046201986063
20318.42937838894,-0.1843644642774165,3.476724389705488
21473.55095345681,-0.1788810023113975,3.306345650700294
22694.34226255472,-0.1746763052864754,3.140062601124271
23984.53669103422,-0.179033821091274,3.007270292953478
25348.07987067035,-0.1840341881826313,2.859372937531901
26789.14174606793,-0.1771069820019522,2.755121593149198
28312.12932705427,-0.1752292301910173,2.589185270605739
29921.70016605705,-0.1800842216231864,2.475114981709254
31622.77660168381,-0.179211285144671,2.408338511945118
33420.56081206222,-0.1844197881781217,2.313553308732082
35320.55072397643,-0.1803230139986747,2.226296811401852
37328.55682645301,-0.1760793664530759,2.167926712928534
39450.71994021437,-0.1818571803089943,2.074913438918998
41693.52999734267,-0.1703986430978313,2.003151154909304
44063.8458885845,-0.1690902196183356,1.958761655496986
46568.91643899358,-0.1708942168099995,1.866466141239172
49216.40257605835,-0.1691177365714954,1.837553074190964
52014.40075810774,-0.1698908137785976,1.797282235064039
54971.46773464389,-0.1623682073905941,1.752193370649707
58096.64671432295,-0.1662421180448154,1.68658228171978
61399.49502060923,-0.1616047355338957,1.716253157720615
64890.11331967983,-0.1589252611173402,1.655304251216393
68579.17650996195,-0.159842349525587,1.637075379495187
72477.96636776958,-0.1594493684941293,1.655556931171592
