Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
480.0000000000006,-0.03698262813078194,-6.465077232513176
507.5592161714986,-0.04172503665284566,-6.829628985519207
536.7007456679703,-0.04462185327437237,-7.271193151229156
567.5154370622781,-0.04329435440589107,-7.725351544946278
600.0993550011556,-0.04511540689032791,-8.236506032612882
634.5540796862674,-0.04931502110200643,-8.763378919319649
670.9870235499753,-0.05178633500636702,-9.339613014944575
709.5117661130658,-0.05538757368415601,-9.960602327871484
750.2484080683402,-0.06130129362525785,-10.6404588566491
793.3239456939185,-0.06760652329401971,-11.4109438310197
838.8726667635102,-0.07056361771851767,-12.19933090651114
887.036569187879,-0.07910362340198825,-13.08974198845192
937.9658036926128,-0.07929382325294569,-14.12858166462036
991.8191419122745,-0.09085859446374461,-15.22153744826275
1048.764471360171,-0.09670841063254987,-16.49551508767075
1108.979318816841,-0.1031319335752341,-17.90160240765017
1172.651403768911,-0.113777702397924,-19.5828882120958
1239.979223623657,-0.1222643740932858,-21.43764940629296
1311.172672523679,-0.1401738972504047,-23.69385710709087
1386.453695690848,-0.1546472370056483,-26.37724993149592
1466.056981339423,-0.1751165794893396,-29.61479915155146
1550.230692315396,-0.2049404525376712,-33.69293140388404
1639.237239742919,-0.2465813120468069,-38.93510451225212
1733.354101089679,-0.2991504270890011,-45.83920719781537
1832.874685201519,-0.3861039270033848,-55.45287807808195
1938.109247003048,-0.5417147712968072,-69.37632894957193
2049.385854715832,-0.8066871468580181,-90.92964004217293
2167.051412609423,-1.235067363279496,-124.8314395138451
2291.472742473701,-1.581922977141805,-172.6828078769004
2423.037727183967,-1.42754084391031,137.8548115031636
2562.15651992388,-1.030741280524164,100.6215276747361
2709.262822835954,-0.7199129476950573,76.17180019177277
2864.815239085826,-0.5381955332219447,60.0397271708384
3029.298702555343,-0.4300855614586763,48.99390162855236
3203.225989621512,-0.359090926600636,41.14192638105467
3387.139317734303,-0.3123640848468343,35.24399838951484
3581.612035776845,-0.2881319116487049,30.71447300392956
3787.250411477705,-0.2668193066510062,27.11940202664651
4004.695521447515,-0.2629739267232485,24.19586539984718
4234.625249732103,-0.2507137185841046,21.77583533781042
4477.756401112621,-0.2376315805216014,19.70637764313128
4734.846935740895,-0.2290624267812648,17.96235859067063
5006.698332076397,-0.2204201777821645,16.45806503293983
5294.158085491332,-0.2241826191694441,15.12628723341788
5598.122350333289,-0.2216064231313858,13.99131793942944
5919.538733681899,-0.2214106287942486,12.95693451489141
6259.409249509174,-0.2173720899976302,12.0270778773511
6618.793442453126,-0.2186766741573268,11.17204047922549
6998.811690942839,-0.2185341114790887,10.42943192710536
7400.648699972626,-0.2135739390104019,9.776281877908053
7825.557194413996,-0.2164941200133597,9.097165729953844
8274.861824379172,-0.2134354872162699,8.55667879654343
8749.963294811127,-0.210637885575153,8.019878362178446
9252.342732174391,-0.2109916465767379,7.552320033681256
9783.566301859366,-0.2117826948044867,7.084284811314063
10345.29009069505,-0.210159355006251,6.69205468138523
10939.26526979153,-0.2131153813489727,6.311784504324294
11567.34355380726,-0.2173110279024525,5.935891926524359
12231.4829736601,-0.2094762215821184,5.602580375237977
12933.75398067903,-0.2069788845342716,5.289631421252864
13676.34590122593,-0.2055740287371486,5.014368191479413
14461.5737619094,-0.2080827385342728,4.772313606926019
15291.88550666882,-0.2128176616595046,4.474841743237882
16169.86962822732,-0.2070514821476269,4.233010739097523
17098.26323770496,-0.2135048221700467,4.042253339521366
18079.96059754887,-0.2096819180334746,3.822428835710411
19118.02214438223,-0.2113558382916626,3.612786729288821
20215.68402989998,-0.2041400037600058,3.446110987190819
21376.36820955563,-0.2032913181345211,3.284197905607925
22603.69311049037,-0.2077734292373113,3.119144172163871
23901.48491196164,-0.2051912266700155,2.984607752090639
25273.78947343778,-0.2047523309701841,2.853223850787494
26724.88494754486,-0.2053251181404077,2.710021092504974
28259.29511718613,-0.2079006691928983,2.607901031329931
29881.80349841256,-0.2015772207807626,2.478103978553662
31597.46825301042,-0.1995888002006154,2.388034921219742
33411.63795729534,-0.2053969076732285,2.281317787960916
35329.96827627225,-0.204134051996304,2.175867908640242
37358.43959514301,-0.1971045022582225,2.143281594808727
39503.37566312714,-0.2078180952815591,2.052002049498583
41771.46330771884,-0.1965886861243843,1.960099894771545
44169.77328083807,-0.198379260479409,1.912454198059734
46705.78230186445,-0.1912510085153747,1.871379861547155
49387.39636627281,-0.1952582173637865,1.796704329433254
52222.97539253442,-0.1962508613147169,1.806152528256717
55221.35928412122,-0.1960902273517647,1.731187881325198
58391.89548786091,-0.1907176378911753,1.687974657099305
61744.46813455563,-0.1893398214638913,1.681934433567662
65289.5288527106,-0.1884668028904455,1.625133091170957
69038.12935143377,-0.1894356715049771,1.623764081992903
73001.95587408375,-0.186053633569521,1.63930375600404
77193.36563007548,-0.1833839436869776,1.620475020238729
81625.42531841864,-0.1760865936635921,1.623789316480806
86311.95186308694,-0.1755635666941883,1.635794100702924
91267.55548720933,-0.1670399351271002,1.604390932283025
96507.685260368,-0.1730317059561939,1.640086388751897
102048.6772609959,-0.1601212378945737,1.633437877235465
107907.8055040192,-0.1600699917982542,1.698148516462794
114103.3357925134,-0.1507537064419029,1.741258371255587
120654.5826612529,-0.1434854500965371,1.748867487623841
127581.9695896764,-0.137920363504648,1.79698457612605
134907.0926719835,-0.1240438581783275,1.818476377494916
142652.7879428492,-0.1203142709982005,1.859488103682139
150843.2025686487,-0.1079619619391866,1.916540352911817
159503.8701261289,-0.09553187237173807,1.993078637801304
168661.7902032049,-0.08335565708594728,2.03019713436754
178345.5125700424,-0.07174915550254315,2.12298368252751
188585.2261828225,-0.05320202692814256,2.175725327443089
199412.8532976625,-0.03666906391470084,2.235810443795629
210862.1489880906,-0.01142456915077062,2.325252068094215
222968.8063763184,0.008865786051442321,2.35279235811214
235770.5679063723,0.03318337152643012,2.491573715539658
249307.3430059736,0.05985043088540866,2.578551544705341
263621.3325039805,0.08516100404044567,2.669597780631022
278757.160191263,0.1235082847265504,2.791425345016126
294762.0119351462,0.1673774339431643,2.872473605199076
311685.7827811177,0.2035014471525446,2.925532493544154
329581.2325003832,0.2469347443388284,3.057752923589163
348504.1500681887,0.2970276914579105,3.083346412502195
368513.527585675,0.3527377705408618,3.196969516407748
389671.7441874563,0.4151592594198603,3.325690915695475
412044.7605082617,0.486704666126711,3.474878304656968
435702.3243148875,0.5649256222270196,3.582435217237105
460718.1879445083,0.6579324523258698,3.631599729494816
487170.3382272242,0.7195703248098766,3.680203168152502
515141.2396096115,0.8712747300290606,3.744777514825245
544718.0912372252,0.9864972127203961,3.767167827087571
575993.0987975014,1.129698182646511,3.718731432890678
609063.7619705251,1.280987541957197,3.640676149748977
644033.1783837988,1.452521363299986,3.44085258539431
681010.3650185823,1.63844560791804,3.297899103111945
720110.5980697859,1.853270852942728,3.13102436014735
761455.772318936,2.074474438166746,2.628738268787934
805174.7811405455,2.33496236474307,2.207619961397107
851403.9183265676,2.616178041372668,1.470599251362131
900287.3029816144,2.928134817174229,0.6742148058975177
951977.3288135413,3.276763752846923,-0.2212382466925931
1006635.139220078,3.643157325934234,-1.684148822930212
1064431.129652562,4.048031969761899,-3.28680254977278
1125545.478822909,4.494739319198271,-5.023610652289904
1190168.710409853,4.967809157606072,-7.751473119217287
1258502.287015556,5.463428813028899,-10.87943768168451
1330759.238224278,5.958701811844239,-14.61903676366898
1407164.82472103,6.34190681490745,-19.47375250869808
1487957.240540644,6.617367437615943,-25.34214574937704
1573388.355636489,6.830667615147265,-32.12006241600628
1663724.501083788,6.957934506758185,-40.09808501615673
1759247.299365425,7.042240672834568,-48.74832654477017
1860254.542328625,7.014868948126941,-58.13154236970485
1967061.119549552,6.870871557783001,-67.0892983803035
2080000,6.626660045594478,-75.55306817211266
