Freq.,Vvout
1.00000000000000e+000,-5.71671808291250e-004,-1.51734703676377e-002
1.00230523807790e+000,-5.71671788761369e-004,-1.52084488427374e-002
1.00461579027840e+000,-5.71671769149515e-004,-1.52435079516431e-002
1.00693166885180e+000,-5.71671749439293e-004,-1.52786478802351e-002
1.00925288607668e+000,-5.71671729643240e-004,-1.53138688148230e-002
1.01157945425990e+000,-5.71671709749784e-004,-1.53491709421456e-002
1.01391138573668e+000,-5.71671689780141e-004,-1.53845544493723e-002
1.01624869287070e+000,-5.71671669696700e-004,-1.54200195241031e-002
1.01859138805412e+000,-5.71671649545751e-004,-1.54555663543720e-002
1.02093948370768e+000,-5.71671629275218e-004,-1.54911951286452e-002
1.02329299228075e+000,-5.71671608917889e-004,-1.55269060358241e-002
1.02565192625141e+000,-5.71671588485339e-004,-1.55626992652449e-002
1.02801629812647e+000,-5.71671567934168e-004,-1.55985750066811e-002
1.03038612044162e+000,-5.71671547301988e-004,-1.56345334503428e-002
1.03276140576140e+000,-5.71671526569512e-004,-1.56705747868793e-002
1.03514216667934e+000,-5.71671505748311e-004,-1.57066992073790e-002
1.03752841581801e+000,-5.71671484829708e-004,-1.57429069033709e-002
1.03992016582906e+000,-5.71671463807914e-004,-1.57791980668259e-002
1.04231742939330e+000,-5.71671442692574e-004,-1.58155728901567e-002
1.04472021922080e+000,-5.71671421488511e-004,-1.58520315662197e-002
1.04712854805090e+000,-5.71671400169685e-004,-1.58885742883168e-002
1.04954242865232e+000,-5.71671378756348e-004,-1.59252012501944e-002
1.05196187382322e+000,-5.71671357249466e-004,-1.59619126460463e-002
1.05438689639126e+000,-5.71671335639394e-004,-1.59987086705133e-002
1.05681750921366e+000,-5.71671313931918e-004,-1.60355895186853e-002
1.05925372517729e+000,-5.71671292133790e-004,-1.60725553861021e-002
1.06169555719872e+000,-5.71671270220899e-004,-1.61096064687542e-002
1.06414301822431e+000,-5.71671248219284e-004,-1.61467429630832e-002
1.06659612123026e+000,-5.71671226097121e-004,-1.61839650659848e-002
1.06905487922266e+000,-5.71671203877553e-004,-1.62212729748073e-002
1.07151930523761e+000,-5.71671181578906e-004,-1.62586668873549e-002
1.07398941234124e+000,-5.71671159152959e-004,-1.62961470018875e-002
1.07646521362983e+000,-5.71671136620930e-004,-1.63337135171215e-002
