Time (s),Channel 1 (V),Channel 2 (V)
-0.01023844795209751,-0.494209769167336,-0.4787041321179365
-0.01023594795209751,-0.4960874115262017,-0.4822208642804325
-0.0102334479520975,-0.4942097691673368,-0.4787041321179381
-0.01023094795209751,-0.4960874115262017,-0.4822208642804325
-0.0102284479520975,-0.494209769167336,-0.4787041321179365
-0.01022594795209751,-0.494209769167336,-0.4787041321179365
-0.01022344795209751,-0.4960874115262017,-0.4822208642804325
-0.01022094795209751,-0.4960874115262017,-0.4804624981991853
-0.01021844795209751,-0.494209769167336,-0.4804624981991845
-0.0102159479520975,-0.4960874115262009,-0.4804624981991837
-0.01021344795209751,-0.494209769167336,-0.4787041321179365
-0.0102109479520975,-0.4960874115262,-0.4822208642804309
-0.01020844795209751,-0.4923321268084703,-0.4787041321179365
-0.0102059479520975,-0.4960874115262017,-0.4804624981991845
-0.01020344795209751,-0.4960874115262017,-0.4822208642804325
-0.01020094795209751,-0.4960874115262017,-0.4804624981991845
-0.01019844795209751,-0.4960874115262017,-0.4804624981991845
-0.01019594795209751,-0.494209769167336,-0.4787041321179365
-0.0101934479520975,-0.4960874115262017,-0.4804624981991845
-0.01019094795209751,-0.4960874115262017,-0.4804624981991845
-0.0101884479520975,-0.492332126808472,-0.4769457660366909
-0.01018594795209751,-0.4960874115262017,-0.4822208642804325
-0.0101834479520975,-0.494209769167336,-0.4804624981991845
-0.01018094795209751,-0.4979650538850657,-0.4822208642804318
-0.01017844795209751,-0.4960874115262017,-0.4822208642804325
-0.01017594795209751,-0.4960874115262017,-0.4804624981991853
-0.01017344795209751,-0.4979650538850675,-0.4839792303616806
-0.0101709479520975,-0.4960874115262009,-0.4822208642804309
-0.01016844795209751,-0.494209769167336,-0.4787041321179365
-0.0101659479520975,-0.494209769167336,-0.4787041321179365
-0.01016344795209751,-0.494209769167336,-0.4787041321179365
-0.01016094795209751,-0.4960874115262017,-0.4822208642804325
-0.01015844795209751,-0.4942097691673368,-0.4787041321179381
-0.01015594795209751,-0.4960874115262017,-0.4804624981991845
-0.01015344795209751,-0.4979650538850666,-0.4839792303616789
-0.01015094795209751,-0.4979650538850675,-0.4822208642804325
-0.0101484479520975,-0.4979650538850666,-0.4822208642804318
-0.01014594795209751,-0.4960874115262017,-0.4804624981991845
-0.0101434479520975,-0.494209769167336,-0.4787041321179365
