time,Vvout
0.000000000000000e+000,2.205794e-005
2.641384999563414e-009,3.100926e-005
5.282769999126829e-009,4.167945e-005
7.924154998690242e-009,5.406851e-005
1.056553999825366e-008,6.817643e-005
1.320692499781707e-008,8.400322e-005
1.584830999738049e-008,1.015489e-004
1.848969499694389e-008,1.208134e-004
2.754536972517707e-008,2.271871e-004
4.403722338287253e-008,5.347531e-004
5.983524182977108e-008,9.913709e-004
8.247321509729363e-008,1.916739e-003
1.048713674489767e-007,3.103630e-003
1.416270074821998e-007,5.423170e-003
1.790950723488392e-007,7.973500e-003
2.199222662395626e-007,1.073746e-002
2.604849309868229e-007,1.327644e-002
3.045356308020830e-007,1.573193e-002
3.481647182195483e-007,1.789669e-002
4.039906340773501e-007,2.046498e-002
4.668758410733993e-007,2.332983e-002
5.264433087346854e-007,2.614749e-002
5.955194277565230e-007,2.956759e-002
6.692444352212498e-007,3.329848e-002
7.780658435107129e-007,3.878041e-002
8.896993862466867e-007,4.432112e-002
1.009292247251656e-006,5.021918e-002
1.351153592423130e-006,6.712395e-002
1.651609317989901e-006,8.193834e-002
1.940285402103581e-006,9.612973e-002
2.517637570330942e-006,1.244083e-001
3.188591363558387e-006,1.570935e-001
4.161710180162319e-006,2.041512e-001
5.389419419046740e-006,2.629758e-001
6.816367540821645e-006,3.306258e-001
8.114751887575578e-006,3.915829e-001
8.669760345906862e-006,4.174436e-001
8.889983083337434e-006,4.276485e-001
9.330428558198578e-006,4.479740e-001
1.000000000000000e-005,4.787862e-001
1.000798795941077e-005,4.791295e-001
1.001863857195845e-005,4.795518e-001
1.003228198629092e-005,4.800101e-001
1.004943713199331e-005,4.804299e-001
1.006709512261840e-005,4.806585e-001
1.008935311756745e-005,4.806698e-001
1.011548936707713e-005,4.803764e-001
1.015422467729537e-005,4.796079e-001
1.019710755798821e-005,4.786235e-001
1.023397393274810e-005,4.778605e-001
1.027201692904690e-005,4.772938e-001
1.031228127064087e-005,4.769605e-001
1.035857996597222e-005,4.768306e-001
1.041629349504118e-005,4.768292e-001
1.048500970954184e-005,4.768089e-001
1.055495446697205e-005,4.766405e-001
1.062053326699135e-005,4.763475e-001
1.070770749090673e-005,4.758989e-001
1.080867244800773e-005,4.754333e-001
1.091709056643975e-005,4.750025e-001
1.105037649063206e-005,4.744838e-001
1.122134657670979e-005,4.737835e-001
1.171360348382543e-005,4.717701e-001
1.266147622665957e-005,4.679195e-001
1.350139052708160e-005,4.645270e-001
1.476259041632162e-005,4.594669e-001
1.661133646750927e-005,4.521290e-001
1.935097252091125e-005,4.414427e-001
2.362839826326477e-005,4.252439e-001
3.020145580253567e-005,4.016469e-001
4.063476941969523e-005,3.679343e-001
5.766750346876057e-005,3.232108e-001
8.073391253505565e-005,2.831987e-001
1.070721048922747e-004,2.678726e-001
1.376176552178647e-004,2.882147e-001
1.713893105291096e-004,3.458621e-001
1.962682078390392e-004,4.050996e-001
2.152157300157358e-004,4.558019e-001
2.335616933239745e-004,5.045698e-001
2.521646883297175e-004,5.499409e-001
2.720880525216686e-004,5.898905e-001
3.003721334725274e-004,6.277719e-001
3.339680433369016e-004,6.440877e-001
3.693838522611375e-004,6.293519e-001
4.033008948839124e-004,5.910559e-001
4.267474249228487e-004,5.547660e-001
4.448956165876685e-004,5.238507e-001
4.632950175052572e-004,4.931045e-001
4.819133560991600e-004,4.649251e-001
5.031892155067324e-004,4.389850e-001
5.319439856277878e-004,4.167884e-001
5.673435692043927e-004,4.105946e-001
6.139035598902348e-004,4.293475e-001
6.429422663043475e-004,4.531979e-001
6.627361751999257e-004,4.739033e-001
6.807810676124113e-004,4.933964e-001
7.017607518294841e-004,5.147631e-001
7.207066108323171e-004,5.312080e-001
7.473558542492410e-004,5.479234e-001
7.779945445779018e-004,5.564731e-001
8.229033119995679e-004,5.521880e-001
8.537120005855381e-004,5.397871e-001
8.753771857948793e-004,5.266649e-001
8.941583409005531e-004,5.138822e-001
9.125487741739417e-004,5.013390e-001
9.318784071951797e-004,4.890724e-001
9.511360740318310e-004,4.788148e-001
9.784746541065437e-004,4.686191e-001
1.010488212364947e-003,4.640264e-001
1.057742481187106e-003,4.682624e-001
1.083167817002797e-003,4.752363e-001
1.103167579709191e-003,4.831147e-001
1.122019088583493e-003,4.912708e-001
1.140530312691399e-003,4.992696e-001
1.159861198121088e-003,5.070323e-001
1.179136965849711e-003,5.135163e-001
1.206573544696071e-003,5.199520e-001
1.238687708683350e-003,5.227928e-001
1.286289038985611e-003,5.200414e-001
1.309617416775503e-003,5.159822e-001
1.330614683876730e-003,5.107359e-001
1.350026392774631e-003,5.054218e-001
1.368561692176770e-003,5.003476e-001
1.387692575333050e-003,4.954831e-001
1.406931187922145e-003,4.913891e-001
1.434449477877177e-003,4.873126e-001
1.466656214881703e-003,4.855323e-001
1.514468949442005e-003,4.873333e-001
1.537988961074234e-003,4.899490e-001
1.558788891037733e-003,4.932555e-001
1.578075880983153e-003,4.966072e-001
1.596620649194802e-003,4.998243e-001
1.615627498310627e-003,5.028833e-001
1.634894451511339e-003,5.054749e-001
1.662438643661799e-003,5.080468e-001
1.694751241670787e-003,5.091563e-001
1.742754248986233e-003,5.079693e-001
1.766610502065218e-003,5.062701e-001
1.787059103879621e-003,5.042004e-001
1.806103015920738e-003,5.020988e-001
1.824653913371073e-003,5.000590e-001
1.843553205657462e-003,4.981333e-001
1.862859509994230e-003,4.964918e-001
1.890539605080003e-003,4.948643e-001
1.923003255969876e-003,4.941766e-001
1.971374981027608e-003,4.949715e-001
1.995694780681711e-003,4.960860e-001
2.015751065241723e-003,4.973813e-001
2.034551489862046e-003,4.986998e-001
2.053122532148924e-003,4.999929e-001
2.072032442053532e-003,5.012096e-001
2.091385232908636e-003,5.022441e-001
2.119250281553126e-003,5.032649e-001
2.151896834405298e-003,5.036756e-001
2.201026654810701e-003,5.031139e-001
2.226270920253244e-003,5.023586e-001
2.245715073822618e-003,5.015521e-001
2.263884927847762e-003,5.007406e-001
2.282477502203783e-003,4.999222e-001
2.301374095395399e-003,4.991592e-001
2.321421732822793e-003,4.984948e-001
2.349815302479457e-003,4.978688e-001
2.383489082210584e-003,4.976558e-001
2.435003192018759e-003,4.981268e-001
2.462476545628020e-003,4.986922e-001
2.481795154051150e-003,4.992180e-001
2.499755817129857e-003,4.997288e-001
2.518632392288568e-003,5.002428e-001
2.537665310553312e-003,5.006989e-001
2.561282098818602e-003,5.011325e-001
2.591275862943851e-003,5.014348e-001
2.630477205810823e-003,5.014712e-001
2.657110328708723e-003,5.012738e-001
2.680742557742767e-003,5.009526e-001
2.702051154825673e-003,5.005963e-001
2.720807523622295e-003,5.002604e-001
2.739439952520344e-003,4.999324e-001
