Freq,ch1p2p,ch2p2p,ch3amp,mathp2p,mathamp,phase1,phase2,zin,phazin
10422.09484,1.040213867,0.510236935,0.219902728,6.27024E-05,2.70508E-05,14.27288466,11.54117784,8129.256091,154.1859375
13307.16258,1.040213867,0.516497511,0.216381154,6.22019E-05,2.69531E-05,13.29348305,11.03340487,8028.05442,155.6731121
15033.59973,1.043969152,0.511019507,0.219120156,6.1607E-05,2.66602E-05,13.22893005,11.06238691,8219.012454,155.708683
17488.71735,1.040213867,0.519627799,0.22851102,6.11375E-05,2.62695E-05,12.67271772,10.70010575,8698.709464,156.6271765
20675.57439,1.036458582,0.507889219,0.22851102,6.05739E-05,2.60742E-05,12.41472469,10.52961266,8763.868336,157.0556627
22334.09952,1.057112648,0.59475471,0.229293592,6.90572E-05,2.57813E-05,13.73568486,11.72119578,8893.812056,154.5431194
23690.41701,1.074011429,0.59084185,0.211294436,6.75084E-05,2.63672E-05,13.96143092,11.92045051,8013.537143,154.1181186
24832.02814,1.051479721,0.582233558,0.230076164,6.67728E-05,2.67578E-05,14.08448119,12.03169436,8598.466861,153.8838245
26286.00635,1.051479721,0.580668414,0.222250444,6.3845E-05,2.63672E-05,13.84656847,11.840695,8429.053884,154.3127365
28527.03701,1.053357363,0.572060122,0.212077008,6.61777E-05,2.58789E-05,13.67494786,11.68596513,8194.97572,154.639087
30586.15499,1.057112648,0.584581274,0.22655459,6.65383E-05,2.61719E-05,13.94029109,11.94437866,8656.41419,154.1153302
31789.13209,1.055235006,0.57127755,0.221859158,6.46588E-05,2.60742E-05,13.86681514,11.85109299,8508.75573,154.2820919
32832.13034,1.057112648,0.568929834,0.22264173,6.52707E-05,2.63672E-05,13.90557687,11.89006693,8443.893767,154.2043562
34037.72515,1.047724436,0.588494134,0.2206853,6.57079E-05,2.59766E-05,13.96316706,11.91530611,8495.554415,154.1215268
36199.09502,1.057112648,0.580668414,0.225772018,6.60527E-05,2.64648E-05,14.42260478,12.32851293,8531.016479,153.2488823
37885.96325,1.053357363,0.582233558,0.223424302,6.73361E-05,2.58789E-05,14.45892688,12.32558558,8633.45228,153.2154875
39870.42113,1.064623217,0.580668414,0.22851102,6.43613E-05,2.62695E-05,14.45318415,12.30140481,8698.709464,153.245411
41876.86892,1.060867933,0.565016974,0.21677244,6.58327E-05,2.64648E-05,14.39650401,12.30529146,8190.958629,153.2982045
42834.19597,1.053357363,0.576755554,0.227337162,6.5756E-05,2.59766E-05,14.33179268,12.24992825,8751.62609,153.4182791
43879.02796,1.049602079,0.582233558,0.219120156,6.41903E-05,2.62695E-05,14.29768156,12.18257883,8341.228253,153.5197396
