Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
480.0000000000006,-0.06485826056029195,-6.44427847276476
507.5592161714986,-0.06346633600293589,-6.827760614948955
536.7007456679703,-0.06767545222367888,-7.278536190132485
567.5154370622781,-0.06440674569047727,-7.704283906740315
600.0993550011556,-0.07203039739686438,-8.21422820545537
634.5540796862674,-0.07419915347872791,-8.721961686903171
670.9870235499753,-0.07816601913720997,-9.328029373014047
709.5117661130658,-0.08131116948351019,-9.94903467508486
750.2484080683402,-0.08765230661774581,-10.64250696562299
793.3239456939185,-0.09050706326476621,-11.35592148023007
838.8726667635102,-0.09524513545032787,-12.18677053299598
887.036569187879,-0.1020231206924725,-13.07167230382689
937.9658036926128,-0.1072415585057697,-14.10244245286174
991.8191419122745,-0.1125477108982423,-15.22151868590457
1048.764471360171,-0.1235354610402092,-16.46816130390206
1108.979318816841,-0.128661835748065,-17.85726697089197
1172.651403768911,-0.134742156034129,-19.50123660289853
1239.979223623657,-0.146768598248022,-21.41938391169913
1311.172672523679,-0.1619334528327593,-23.64789573540955
1386.453695690848,-0.1792175049990382,-26.30948575220917
1466.056981339423,-0.1994402994063814,-29.56540424746814
1550.230692315396,-0.2218791329282073,-33.5696183771537
1639.237239742919,-0.2650336490334921,-38.72457085473752
1733.354101089679,-0.3174881132723069,-45.61160848208714
1832.874685201519,-0.4004487817125137,-55.15184025325366
1938.109247003048,-0.5424243408617129,-69.02333204528099
2049.385854715832,-0.8019723851031173,-90.36533362460443
2167.051412609423,-1.203743443557637,-123.942952267342
2291.472742473701,-1.547025668785642,-171.4478275981407
2423.037727183967,-1.435111738256787,138.8434060660415
2562.15651992388,-1.050395105911707,101.2850549556704
2709.262822835954,-0.7489206005164929,76.58863156525274
2864.815239085826,-0.5708212996331521,60.34614788514371
3029.298702555343,-0.4532667975906239,49.18362729177375
3203.225989621512,-0.3881662993447499,41.26239468204496
3387.139317734303,-0.3446091068097542,35.31487191092484
3581.612035776845,-0.3211323449265787,30.73843023322101
3787.250411477705,-0.3000983405912003,27.14422545755832
4004.695521447515,-0.281182222709042,24.18790463653755
4234.625249732103,-0.2817502196891742,21.79692371413631
4477.756401112621,-0.2742396580612593,19.7201330554584
4734.846935740895,-0.2607407575763099,17.97768645083491
5006.698332076397,-0.2518195510702446,16.45285103162257
5294.158085491332,-0.2585845776430217,15.14137382715496
5598.122350333289,-0.2541403152838365,13.97249632633487
5919.538733681899,-0.2483146928910219,12.91972356063593
6259.409249509174,-0.2483092830410627,12.00371078877865
6618.793442453126,-0.2480683100253872,11.16514478394391
6998.811690942839,-0.2469576016766034,10.38820437581189
7400.648699972626,-0.2459302711790063,9.657352915422592
7825.557194413996,-0.2452571025809109,9.069562041642911
8274.861824379172,-0.2478497081351388,8.488102319467203
8749.963294811127,-0.2484064062141297,7.962743722748911
9252.342732174391,-0.2413816622142753,7.480229422328783
9783.566301859366,-0.2424823600127054,7.035395661432602
10345.29009069505,-0.2453674413668788,6.565721705794147
10939.26526979153,-0.23928660293961,6.227585321325307
11567.34355380726,-0.2490263860329159,5.827443711950536
12231.4829736601,-0.2446557956984938,5.505523763315665
12933.75398067903,-0.2411983605889998,5.163354877694601
13676.34590122593,-0.2391142366741087,4.904090441751606
14461.5737619094,-0.2390149852870956,4.629182769891415
15291.88550666882,-0.2435385040755529,4.35719028382151
16169.86962822732,-0.2400459084278427,4.119728730763981
17098.26323770496,-0.2411162016419865,3.896373305424579
18079.96059754887,-0.2367201105376106,3.704731551913312
19118.02214438223,-0.2414004862600417,3.455249079496838
20215.68402989998,-0.2404968986495847,3.282689919843818
21376.36820955563,-0.2375807520093539,3.133761068146129
22603.69311049037,-0.2435571217851312,2.955182158772828
23901.48491196164,-0.2339879055910813,2.771544199636693
25273.78947343778,-0.2337596083259902,2.630340153312289
26724.88494754486,-0.2308160379552393,2.521882824086617
28259.29511718613,-0.2342283565036734,2.356439959100641
29881.80349841256,-0.23858782554143,2.236174214256991
31597.46825301042,-0.2394131346971906,2.090789180054287
33411.63795729534,-0.2386092699896949,1.998932817532278
35329.96827627225,-0.231310210571198,1.895906410810824
37358.43959514301,-0.237806672607421,1.804757580335121
39503.37566312714,-0.2341927817479012,1.728752586607108
41771.46330771884,-0.2357729462062044,1.670773578424644
44169.77328083807,-0.2331551234401548,1.557328141647493
46705.78230186445,-0.2302845705027401,1.488439366192807
49387.39636627281,-0.2324580765926547,1.415189803037677
52222.97539253442,-0.2310584778448102,1.32733180156616
55221.35928412122,-0.2263128517650587,1.26693665182475
58391.89548786091,-0.2262715476117079,1.226722153502848
61744.46813455563,-0.2249036588189955,1.119969427547314
65289.5288527106,-0.2201545158425544,1.075841979175095
69038.12935143377,-0.2209477042985596,1.019677269251417
73001.95587408375,-0.2194280744242177,0.9968132747298881
77193.36563007548,-0.2127964031119423,0.9879641241070658
81625.42531841864,-0.2078460033843041,0.904627267270314
86311.95186308694,-0.2049887448849836,0.8706225529492428
91267.55548720933,-0.2094354663899168,0.8719444985242149
96507.685260368,-0.2023007974860281,0.8342599704627389
102048.6772609959,-0.1920957599027169,0.8127649815202531
107907.8055040192,-0.1888546065367477,0.7814392469718996
114103.3357925134,-0.1866025592183735,0.7490206615326258
120654.5826612529,-0.1776976641297233,0.7474374143956908
127581.9695896764,-0.1706635592634541,0.6969441522076494
134907.0926719835,-0.1648413850513964,0.7033923359944083
142652.7879428492,-0.1558417431404094,0.6857996578485341
150843.2025686487,-0.1514414785097853,0.657458692980132
159503.8701261289,-0.1337518500424963,0.6558903860781555
168661.7902032049,-0.1207774146918701,0.6277748949260342
178345.5125700424,-0.1069257368669331,0.6223050910394932
188585.2261828225,-0.09270636228161394,0.5958082167097416
199412.8532976625,-0.07450720049874447,0.5606463439048781
210862.1489880906,-0.05997528193473427,0.5496200937907574
222968.8063763184,-0.03408767675275101,0.5316057994716061
235770.5679063723,-0.01385108604516229,0.5034144538248313
249307.3430059736,0.006732235241811749,0.4580417638100442
263621.3325039805,0.03403498540415986,0.4461431938849785
278757.160191263,0.07248326055442075,0.3819057679532563
294762.0119351462,0.1098765616362732,0.3446935378990617
311685.7827811177,0.143789567721857,0.2910947914262465
329581.2325003832,0.1930899936179644,0.2125927938420347
348504.1500681887,0.2320591984992619,0.1679997066739105
368513.527585675,0.2800322614858898,0.05244713672755097
