Freq.	V(pp)/i(R6)
1.00000000000000e+000	(1.19857585307435e+002dB,1.76857304483306e+002°)
1.00230523807790e+000	(1.19857525846767e+002dB,1.76850074103778e+002°)
1.00461579027840e+000	(1.19857466112457e+002dB,1.76842827155265e+002°)
1.00693166885180e+000	(1.19857406103255e+002dB,1.76835563600251e+002°)
1.00925288607668e+000	(1.19857345817895e+002dB,1.76828283401144e+002°)
1.01157945425990e+000	(1.19857285255115e+002dB,1.76820986520263e+002°)
1.01391138573668e+000	(1.19857224413640e+002dB,1.76813672919851e+002°)
1.01624869287070e+000	(1.19857163292192e+002dB,1.76806342562064e+002°)
1.01859138805412e+000	(1.19857101889481e+002dB,1.76798995408982e+002°)
1.02093948370768e+000	(1.19857040204227e+002dB,1.76791631422594e+002°)
1.02329299228075e+000	(1.19856978235127e+002dB,1.76784250564813e+002°)
1.02565192625141e+000	(1.19856915980881e+002dB,1.76776852797465e+002°)
1.02801629812647e+000	(1.19856853440182e+002dB,1.76769438082297e+002°)
1.03038612044162e+000	(1.19856790611710e+002dB,1.76762006380970e+002°)
1.03276140576140e+000	(1.19856727494154e+002dB,1.76754557655059e+002°)
1.03514216667934e+000	(1.19856664086181e+002dB,1.76747091866063e+002°)
1.03752841581801e+000	(1.19856600386464e+002dB,1.76739608975391e+002°)
1.03992016582906e+000	(1.19856536393661e+002dB,1.76732108944370e+002°)
1.04231742939330e+000	(1.19856472106431e+002dB,1.76724591734242e+002°)
1.04472021922080e+000	(1.19856407523422e+002dB,1.76717057306169e+002°)
1.04712854805090e+000	(1.19856342643280e+002dB,1.76709505621223e+002°)
1.04954242865232e+000	(1.19856277464637e+002dB,1.76701936640396e+002°)
1.05196187382322e+000	(1.19856211986129e+002dB,1.76694350324592e+002°)
1.05438689639126e+000	(1.19856146206379e+002dB,1.76686746634634e+002°)
1.05681750921366e+000	(1.19856080124008e+002dB,1.76679125531256e+002°)
1.05925372517729e+000	(1.19856013737625e+002dB,1.76671486975110e+002°)
1.06169555719872e+000	(1.19855947045838e+002dB,1.76663830926760e+002°)
1.06414301822431e+000	(1.19855880047246e+002dB,1.76656157346689e+002°)
1.06659612123026e+000	(1.19855812740442e+002dB,1.76648466195289e+002°)
1.06905487922266e+000	(1.19855745124015e+002dB,1.76640757432870e+002°)
1.07151930523761e+000	(1.19855677196546e+002dB,1.76633031019654e+002°)
1.07398941234124e+000	(1.19855608956607e+002dB,1.76625286915778e+002°)
1.07646521362983e+000	(1.19855540402763e+002dB,1.76617525081295e+002°)
1.07894672222983e+000	(1.19855471533579e+002dB,1.76609745476167e+002°)
1.08143395129794e+000	(1.19855402347609e+002dB,1.76601948060272e+002°)
1.08392691402120e+000	(1.19855332843402e+002dB,1.76594132793401e+002°)
1.08642562361706e+000	(1.19855263019494e+002dB,1.76586299635261e+002°)
1.08893009333343e+000	(1.19855192874428e+002dB,1.76578448545464e+002°)
1.09144033644876e+000	(1.19855122406722e+002dB,1.76570579483547e+002°)
1.09395636627209e+000	(1.19855051614905e+002dB,1.76562692408946e+002°)
1.09647819614318e+000	(1.19854980497492e+002dB,1.76554787281019e+002°)
1.09900583943252e+000	(1.19854909052986e+002dB,1.76546864059035e+002°)
1.10153930954141e+000	(1.19854837279889e+002dB,1.76538922702172e+002°)
1.10407861990207e+000	(1.19854765176696e+002dB,1.76530963169523e+002°)
1.10662378397766e+000	(1.19854692741895e+002dB,1.76522985420091e+002°)
1.10917481526240e+000	(1.19854619973965e+002dB,1.76514989412791e+002°)
1.11173172728159e+000	(1.19854546871385e+002dB,1.76506975106450e+002°)
1.11429453359173e+000	(1.19854473432613e+002dB,1.76498942459807e+002°)
1.11686324778056e+000	(1.19854399656116e+002dB,1.76490891431511e+002°)
1.11943788346715e+000	(1.19854325540341e+002dB,1.76482821980123e+002°)
1.12201845430196e+000	(1.19854251083736e+002dB,1.76474734064115e+002°)
1.12460497396692e+000	(1.19854176284740e+002dB,1.76466627641868e+002°)
1.12719745617551e+000	(1.19854101141788e+002dB,1.76458502671674e+002°)
1.12979591467280e+000	(1.19854025653295e+002dB,1.76450359111740e+002°)
1.13240036323556e+000	(1.19853949817685e+002dB,1.76442196920176e+002°)
1.13501081567231e+000	(1.19853873633368e+002dB,1.76434016055006e+002°)
1.13762728582343e+000	(1.19853797098743e+002dB,1.76425816474164e+002°)
1.14024978756117e+000	(1.19853720212209e+002dB,1.76417598135494e+002°)
1.14287833478977e+000	(1.19853642972154e+002dB,1.76409360996747e+002°)
1.14551294144553e+000	(1.19853565376957e+002dB,1.76401105015587e+002°)
1.14815362149688e+000	(1.19853487424990e+002dB,1.76392830149585e+002°)
1.15080038894443e+000	(1.19853409114622e+002dB,1.76384536356223e+002°)
1.15345325782109e+000	(1.19853330444215e+002dB,1.76376223592886e+002°)
1.15611224219210e+000	(1.19853251412113e+002dB,1.76367891816878e+002°)
1.15877735615512e+000	(1.19853172016662e+002dB,1.76359540985404e+002°)
1.16144861384034e+000	(1.19853092256200e+002dB,1.76351171055579e+002°)
1.16412602941049e+000	(1.19853012129056e+002dB,1.76342781984427e+002°)
1.16680961706096e+000	(1.19852931633548e+002dB,1.76334373728881e+002°)
1.16949939101987e+000	(1.19852850767993e+002dB,1.76325946245778e+002°)
1.17219536554813e+000	(1.19852769530693e+002dB,1.76317499491870e+002°)
1.17489755493953e+000	(1.19852687919950e+002dB,1.76309033423810e+002°)
1.17760597352080e+000	(1.19852605934051e+002dB,1.76300547998161e+002°)
1.18032063565173e+000	(1.19852523571277e+002dB,1.76292043171395e+002°)
1.18304155572516e+000	(1.19852440829911e+002dB,1.76283518899886e+002°)
1.18576874816716e+000	(1.19852357708214e+002dB,1.76274975139921e+002°)
1.18850222743702e+000	(1.19852274204445e+002dB,1.76266411847691e+002°)
