Freq.	V(vin)/I(V3)
1.00000000000000e+000	(1.44866253785586e+002dB,1.05230894798313e+002°)
1.00230523807790e+000	(1.44847634823040e+002dB,1.05197397202745e+002°)
1.00461579027840e+000	(1.44829009951362e+002dB,1.05163965837004e+002°)
1.00693166885180e+000	(1.44810379193978e+002dB,1.05130600614522e+002°)
1.00925288607668e+000	(1.44791742574226e+002dB,1.05097301448652e+002°)
1.01157945425990e+000	(1.44773100115402e+002dB,1.05064068251845e+002°)
1.01391138573668e+000	(1.44754451840671e+002dB,1.05030900937625e+002°)
1.01624869287070e+000	(1.44735797773167e+002dB,1.04997799418201e+002°)
1.01859138805412e+000	(1.44717137935916e+002dB,1.04964763606441e+002°)
1.02093948370768e+000	(1.44698472351892e+002dB,1.04931793414372e+002°)
1.02329299228075e+000	(1.44679801043969e+002dB,1.04898888754479e+002°)
1.02565192625141e+000	(1.44661124034974e+002dB,1.04866049538359e+002°)
1.02801629812647e+000	(1.44642441347628e+002dB,1.04833275678120e+002°)
1.03038612044162e+000	(1.44623753004600e+002dB,1.04800567085197e+002°)
1.03276140576140e+000	(1.44605059028466e+002dB,1.04767923671227e+002°)
1.03514216667934e+000	(1.44586359441738e+002dB,1.04735345347389e+002°)
1.03752841581801e+000	(1.44567654266851e+002dB,1.04702832024813e+002°)
1.03992016582906e+000	(1.44548943526154e+002dB,1.04670383614629e+002°)
1.04231742939330e+000	(1.44530227241945e+002dB,1.04638000027317e+002°)
1.04472021922080e+000	(1.44511505436403e+002dB,1.04605681174225e+002°)
1.04712854805090e+000	(1.44492778131681e+002dB,1.04573426965340e+002°)
1.04954242865232e+000	(1.44474045349831e+002dB,1.04541237311171e+002°)
1.05196187382322e+000	(1.44455307112827e+002dB,1.04509112122136e+002°)
1.05438689639126e+000	(1.44436563442587e+002dB,1.04477051308067e+002°)
1.05681750921366e+000	(1.44417814360944e+002dB,1.04445054778912e+002°)
1.05925372517729e+000	(1.44399059889647e+002dB,1.04413122444739e+002°)
1.06169555719872e+000	(1.44380300050384e+002dB,1.04381254215086e+002°)
1.06414301822431e+000	(1.44361534864767e+002dB,1.04349449999463e+002°)
1.06659612123026e+000	(1.44342764354330e+002dB,1.04317709707355e+002°)
1.06905487922266e+000	(1.44323988540544e+002dB,1.04286033247778e+002°)
1.07151930523761e+000	(1.44305207444798e+002dB,1.04254420529876e+002°)
1.07398941234124e+000	(1.44286421088392e+002dB,1.04222871463066e+002°)
1.07646521362983e+000	(1.44267629492583e+002dB,1.04191385955862e+002°)
1.07894672222983e+000	(1.44248832678537e+002dB,1.04159963917105e+002°)
1.08143395129794e+000	(1.44230030667344e+002dB,1.04128605255573e+002°)
1.08392691402120e+000	(1.44211223480030e+002dB,1.04097309879689e+002°)
1.08642562361706e+000	(1.44192411137543e+002dB,1.04066077697962e+002°)
1.08893009333343e+000	(1.44173593660765e+002dB,1.04034908618552e+002°)
1.09144033644876e+000	(1.44154771070516e+002dB,1.04003802549221e+002°)
1.09395636627209e+000	(1.44135943387503e+002dB,1.03972759398701e+002°)
1.09647819614318e+000	(1.44117110632392e+002dB,1.03941779074845e+002°)
1.09900583943252e+000	(1.44098272825786e+002dB,1.03910861485068e+002°)
1.10153930954141e+000	(1.44079429988199e+002dB,1.03880006537223e+002°)
1.10407861990207e+000	(1.44060582140064e+002dB,1.03849214139212e+002°)
1.10662378397766e+000	(1.44041729301768e+002dB,1.03818484198266e+002°)
1.10917481526240e+000	(1.44022871493595e+002dB,1.03787816622247e+002°)
1.11173172728159e+000	(1.44004008735794e+002dB,1.03757211318016e+002°)
1.11429453359173e+000	(1.43985141048514e+002dB,1.03726668193114e+002°)
1.11686324778056e+000	(1.43966268451852e+002dB,1.03696187154424e+002°)
1.11943788346715e+000	(1.43947390965824e+002dB,1.03665768109079e+002°)
1.12201845430196e+000	(1.43928508610363e+002dB,1.03635410964371e+002°)
1.12460497396692e+000	(1.43909621405375e+002dB,1.03605115626418e+002°)
1.12719745617551e+000	(1.43890729370640e+002dB,1.03574882002685e+002°)
1.12979591467280e+000	(1.43871832525906e+002dB,1.03544709999566e+002°)
1.13240036323556e+000	(1.43852930890842e+002dB,1.03514599523571e+002°)
