Freq.	V(vout)
1.00000000000000e+003	(-5.75793478363549e+001dB,8.87309620692536e+001°)
1.00770481413610e+003	(-5.75126990632170e+001dB,8.87345412218925e+001°)
1.01546899243308e+003	(-5.74460500984421e+001dB,8.87380458678060e+001°)
1.02329299228075e+003	(-5.73794009462078e+001dB,8.87414761919585e+001°)
1.03117727459306e+003	(-5.73127516106486e+001dB,8.87448324187378e+001°)
1.03912230383517e+003	(-5.72461020958172e+001dB,8.87481147285496e+001°)
1.04712854805090e+003	(-5.71794524057175e+001dB,8.87513233007431e+001°)
1.05519647889024e+003	(-5.71128025445245e+001dB,8.87544583784176e+001°)
1.06332657163716e+003	(-5.70461525159876e+001dB,8.87575200901933e+001°)
1.07151930523761e+003	(-5.69795023240647e+001dB,8.87605086222677e+001°)
1.07977516232771e+003	(-5.69128519728076e+001dB,8.87634241951153e+001°)
1.08809462926223e+003	(-5.68462014658878e+001dB,8.87662669393641e+001°)
1.09647819614319e+003	(-5.67795508071762e+001dB,8.87690370221700e+001°)
1.10492635684876e+003	(-5.67129000003436e+001dB,8.87717346099832e+001°)
1.11343960906236e+003	(-5.66462490492389e+001dB,8.87743598759162e+001°)
1.12201845430197e+003	(-5.65795979576057e+001dB,8.87769129826911e+001°)
1.13066339794964e+003	(-5.65129467289145e+001dB,8.87793940247434e+001°)
1.13937494928134e+003	(-5.64462953670079e+001dB,8.87818032023461e+001°)
1.14815362149688e+003	(-5.63796438754592e+001dB,8.87841406644468e+001°)
1.15699993175021e+003	(-5.63129922577358e+001dB,8.87864065037795e+001°)
1.16591440117983e+003	(-5.62463405174278e+001dB,8.87886008811287e+001°)
1.17489755493953e+003	(-5.61796886580069e+001dB,8.87907238962868e+001°)
1.18394992222930e+003	(-5.61130366830963e+001dB,8.87927757100269e+001°)
1.19307203632654e+003	(-5.60463845960866e+001dB,8.87947564424034e+001°)
1.20226443461742e+003	(-5.59797324003687e+001dB,8.87966661809852e+001°)
1.21152765862859e+003	(-5.59130800993732e+001dB,8.87985050543197e+001°)
1.22086225405907e+003	(-5.58464276964655e+001dB,8.88002731612400e+001°)
1.23026877081238e+003	(-5.57797751951030e+001dB,8.88019706316727e+001°)
1.23974776302895e+003	(-5.57131225985098e+001dB,8.88035975387608e+001°)
1.24929978911874e+003	(-5.56464699100744e+001dB,8.88051539855397e+001°)
1.25892541179417e+003	(-5.55798171330654e+001dB,8.88066400730759e+001°)
1.26862519810326e+003	(-5.55131642707521e+001dB,8.88080558841106e+001°)
1.27839971946303e+003	(-5.54465113263343e+001dB,8.88094014779165e+001°)
1.28824955169314e+003	(-5.53798583031021e+001dB,8.88106769566713e+001°)
1.29817527504985e+003	(-5.53132052042798e+001dB,8.88118823985187e+001°)
1.30817747426020e+003	(-5.52465520330287e+001dB,8.88130178552207e+001°)
1.31825673855641e+003	(-5.51798987924981e+001dB,8.88140834031280e+001°)
1.32841366171065e+003	(-5.51132454859989e+001dB,8.88150791354167e+001°)
1.33864884207000e+003	(-5.50465921165144e+001dB,8.88160050608146e+001°)
1.34896288259166e+003	(-5.49799386872352e+001dB,8.88168612590185e+001°)
1.35935639087853e+003	(-5.49132852013373e+001dB,8.88176477941895e+001°)
1.36982997921497e+003	(-5.48466316618089e+001dB,8.88183646681547e+001°)
1.38038426460289e+003	(-5.47799780718432e+001dB,8.88190119671291e+001°)
1.39101986879806e+003	(-5.47133244343921e+001dB,8.88195896925357e+001°)
1.40173741834677e+003	(-5.46466707527392e+001dB,8.88200979274034e+001°)
1.41253754462276e+003	(-5.45800170297354e+001dB,8.88205366503039e+001°)
1.42342088386435e+003	(-5.45133632685101e+001dB,8.88209059064585e+001°)
1.43438807721197e+003	(-5.44467094721856e+001dB,8.88212057397239e+001°)
1.44543977074593e+003	(-5.43800556436372e+001dB,8.88214361292581e+001°)
1.45657661552446e+003	(-5.43134017860044e+001dB,8.88215971170056e+001°)
1.46779926762207e+003	(-5.42467479022277e+001dB,8.88216886920883e+001°)
1.47910838816821e+003	(-5.41800939953517e+001dB,8.88217108613174e+001°)
1.49050464338620e+003	(-5.41134400684508e+001dB,8.88216636592607e+001°)
1.50198870463249e+003	(-5.40467861244005e+001dB,8.88215470366366e+001°)
1.51356124843621e+003	(-5.39801321662758e+001dB,8.88213610204979e+001°)
1.52522295653902e+003	(-5.39134781971037e+001dB,8.88211055967664e+001°)
1.53697451593528e+003	(-5.38468242197719e+001dB,8.88207807233559e+001°)
1.54881661891249e+003	(-5.37801702373395e+001dB,8.88203864044918e+001°)
1.56074996309212e+003	(-5.37135162527789e+001dB,8.88199226090732e+001°)
1.57277525147067e+003	(-5.36468622690765e+001dB,8.88193893137063e+001°)
1.58489319246112e+003	(-5.35802082892561e+001dB,8.88187864935684e+001°)
1.59710449993461e+003	(-5.35135543162138e+001dB,8.88181140832789e+001°)
1.60940989326254e+003	(-5.34469003529905e+001dB,8.88173720815329e+001°)
1.62181009735894e+003	(-5.33802464026617e+001dB,8.88165604339495e+001°)
1.63430584272314e+003	(-5.33135924681126e+001dB,8.88156790762475e+001°)
1.64689786548288e+003	(-5.32469385523735e+001dB,8.88147279717562e+001°)
1.65958690743757e+003	(-5.31802846585005e+001dB,8.88137070682884e+001°)
1.67237371610209e+003	(-5.31136307893523e+001dB,8.88126162755937e+001°)
1.68525904475076e+003	(-5.30469769481466e+001dB,8.88114555760320e+001°)
1.69824365246175e+003	(-5.29803231376957e+001dB,8.88102248490721e+001°)
1.71132830416179e+003	(-5.29136693612277e+001dB,8.88089240697465e+001°)
1.72451377067121e+003	(-5.28470156216801e+001dB,8.88075531388629e+001°)
1.73780082874938e+003	(-5.27803619220326e+001dB,8.88061119633941e+001°)
1.75119026114047e+003	(-5.27137082655420e+001dB,8.88046005065897e+001°)
1.76468285661951e+003	(-5.26470546550691e+001dB,8.88030186214944e+001°)
1.77827941003893e+003	(-5.25804010937545e+001dB,8.88013662513331e+001°)
1.79198072237534e+003	(-5.25137475846726e+001dB,8.87996432673469e+001°)
1.80578760077673e+003	(-5.24470941310058e+001dB,8.87978496054258e+001°)
1.81970085860999e+003	(-5.23804407357500e+001dB,8.87959851443792e+001°)
1.83372131550889e+003	(-5.23137874021518e+001dB,8.87940497716975e+001°)
1.84784979742230e+003	(-5.22471341332587e+001dB,8.87920433821152e+001°)
