Freq.	V(vout)
1.00000000000000e+003	(5.08797674454112e+001dB,1.79512098302862e+002°)
1.00770481413610e+003	(5.08797644742324e+001dB,1.79508339190783e+002°)
1.01546899243308e+003	(5.08797614570943e+001dB,1.79504551117303e+002°)
1.02329299228075e+003	(5.08797583932860e+001dB,1.79500733859324e+002°)
1.03117727459306e+003	(5.08797552820854e+001dB,1.79496887192028e+002°)
1.03912230383517e+003	(5.08797521227601e+001dB,1.79493010888867e+002°)
1.04712854805090e+003	(5.08797489145651e+001dB,1.79489104721549e+002°)
1.05519647889024e+003	(5.08797456567446e+001dB,1.79485168460025e+002°)
1.06332657163716e+003	(5.08797423485309e+001dB,1.79481201872471e+002°)
1.07151930523761e+003	(5.08797389891447e+001dB,1.79477204725281e+002°)
1.07977516232771e+003	(5.08797355777947e+001dB,1.79473176783050e+002°)
1.08809462926223e+003	(5.08797321136769e+001dB,1.79469117808561e+002°)
1.09647819614319e+003	(5.08797285959749e+001dB,1.79465027562767e+002°)
1.10492635684876e+003	(5.08797250238600e+001dB,1.79460905804785e+002°)
1.11343960906236e+003	(5.08797213964912e+001dB,1.79456752291874e+002°)
1.12201845430197e+003	(5.08797177130130e+001dB,1.79452566779426e+002°)
1.13066339794964e+003	(5.08797139725580e+001dB,1.79448349020949e+002°)
1.13937494928134e+003	(5.08797101742448e+001dB,1.79444098768052e+002°)
1.14815362149688e+003	(5.08797063171782e+001dB,1.79439815770434e+002°)
1.15699993175021e+003	(5.08797024004499e+001dB,1.79435499775865e+002°)
1.16591440117983e+003	(5.08796984231368e+001dB,1.79431150530174e+002°)
1.17489755493953e+003	(5.08796943843020e+001dB,1.79426767777232e+002°)
1.18394992222930e+003	(5.08796902829937e+001dB,1.79422351258940e+002°)
1.19307203632654e+003	(5.08796861182458e+001dB,1.79417900715210e+002°)
1.20226443461742e+003	(5.08796818890768e+001dB,1.79413415883954e+002°)
1.21152765862859e+003	(5.08796775944907e+001dB,1.79408896501062e+002°)
1.22086225405907e+003	(5.08796732334753e+001dB,1.79404342300397e+002°)
1.23026877081238e+003	(5.08796688050033e+001dB,1.79399753013767e+002°)
1.23974776302895e+003	(5.08796643080312e+001dB,1.79395128370920e+002°)
1.24929978911874e+003	(5.08796597414999e+001dB,1.79390468099520e+002°)
1.25892541179417e+003	(5.08796551043330e+001dB,1.79385771925138e+002°)
1.26862519810326e+003	(5.08796503954381e+001dB,1.79381039571230e+002°)
1.27839971946303e+003	(5.08796456137061e+001dB,1.79376270759123e+002°)
1.28824955169314e+003	(5.08796407580099e+001dB,1.79371465208002e+002°)
1.29817527504985e+003	(5.08796358272058e+001dB,1.79366622634885e+002°)
1.30817747426020e+003	(5.08796308201325e+001dB,1.79361742754618e+002°)
1.31825673855641e+003	(5.08796257356094e+001dB,1.79356825279847e+002°)
1.32841366171065e+003	(5.08796205724392e+001dB,1.79351869921008e+002°)
1.33864884207000e+003	(5.08796153294054e+001dB,1.79346876386309e+002°)
1.34896288259166e+003	(5.08796100052728e+001dB,1.79341844381712e+002°)
1.35935639087853e+003	(5.08796045987873e+001dB,1.79336773610913e+002°)
1.36982997921497e+003	(5.08795991086745e+001dB,1.79331663775331e+002°)
1.38038426460289e+003	(5.08795935336412e+001dB,1.79326514574085e+002°)
1.39101986879806e+003	(5.08795878723745e+001dB,1.79321325703978e+002°)
1.40173741834677e+003	(5.08795821235399e+001dB,1.79316096859481e+002°)
1.41253754462276e+003	(5.08795762857837e+001dB,1.79310827732713e+002°)
1.42342088386435e+003	(5.08795703577298e+001dB,1.79305518013422e+002°)
1.43438807721197e+003	(5.08795643379823e+001dB,1.79300167388970e+002°)
1.44543977074593e+003	(5.08795582251228e+001dB,1.79294775544312e+002°)
1.45657661552446e+003	(5.08795520177110e+001dB,1.79289342161978e+002°)
1.46779926762207e+003	(5.08795457142847e+001dB,1.79283866922058e+002°)
1.47910838816821e+003	(5.08795393133588e+001dB,1.79278349502177e+002°)
1.49050464338620e+003	(5.08795328134254e+001dB,1.79272789577478e+002°)
1.50198870463249e+003	(5.08795262129532e+001dB,1.79267186820609e+002°)
1.51356124843621e+003	(5.08795195103871e+001dB,1.79261540901695e+002°)
1.52522295653902e+003	(5.08795127041484e+001dB,1.79255851488323e+002°)
1.53697451593528e+003	(5.08795057926332e+001dB,1.79250118245524e+002°)
1.54881661891249e+003	(5.08794987742140e+001dB,1.79244340835750e+002°)
1.56074996309212e+003	(5.08794916472366e+001dB,1.79238518918857e+002°)
1.57277525147067e+003	(5.08794844100223e+001dB,1.79232652152083e+002°)
1.58489319246112e+003	(5.08794770608663e+001dB,1.79226740190028e+002°)
1.59710449993461e+003	(5.08794695980373e+001dB,1.79220782684636e+002°)
1.60940989326254e+003	(5.08794620197776e+001dB,1.79214779285173e+002°)
1.62181009735894e+003	(5.08794543243009e+001dB,1.79208729638204e+002°)
1.63430584272314e+003	(5.08794465097954e+001dB,1.79202633387579e+002°)
1.64689786548288e+003	(5.08794385744197e+001dB,1.79196490174406e+002°)
1.65958690743757e+003	(5.08794305163043e+001dB,1.79190299637030e+002°)
