Freq.	V(vout)
1.00000000000000e+003	(5.11244553026831e+001dB,1.79512167204388e+002°)
1.00770481413610e+003	(5.11244523271284e+001dB,1.79508408623517e+002°)
1.01546899243308e+003	(5.11244493055464e+001dB,1.79504621085347e+002°)
1.02329299228075e+003	(5.11244462372260e+001dB,1.79500804366809e+002°)
1.03117727459306e+003	(5.11244431214431e+001dB,1.79496958243118e+002°)
1.03912230383517e+003	(5.11244399574646e+001dB,1.79493082487761e+002°)
1.04712854805090e+003	(5.11244367445444e+001dB,1.79489176872475e+002°)
1.05519647889024e+003	(5.11244334819256e+001dB,1.79485241167244e+002°)
1.06332657163716e+003	(5.11244301688395e+001dB,1.79481275140279e+002°)
1.07151930523761e+003	(5.11244268045058e+001dB,1.79477278558007e+002°)
1.07977516232771e+003	(5.11244233881315e+001dB,1.79473251185056e+002°)
1.08809462926223e+003	(5.11244199189114e+001dB,1.79469192784242e+002°)
1.09647819614319e+003	(5.11244163960289e+001dB,1.79465103116553e+002°)
1.10492635684876e+003	(5.11244128186532e+001dB,1.79460981941140e+002°)
1.11343960906236e+003	(5.11244091859419e+001dB,1.79456829015298e+002°)
1.12201845430197e+003	(5.11244054970386e+001dB,1.79452644094452e+002°)
1.13066339794964e+003	(5.11244017510746e+001dB,1.79448426932146e+002°)
1.13937494928134e+003	(5.11243979471673e+001dB,1.79444177280025e+002°)
1.14815362149688e+003	(5.11243940844202e+001dB,1.79439894887822e+002°)
1.15699993175021e+003	(5.11243901619234e+001dB,1.79435579503345e+002°)
1.16591440117983e+003	(5.11243861787527e+001dB,1.79431230872458e+002°)
1.17489755493953e+003	(5.11243821339696e+001dB,1.79426848739070e+002°)
1.18394992222930e+003	(5.11243780266210e+001dB,1.79422432845117e+002°)
1.19307203632654e+003	(5.11243738557394e+001dB,1.79417982930549e+002°)
1.20226443461742e+003	(5.11243696203420e+001dB,1.79413498733315e+002°)
1.21152765862859e+003	(5.11243653194310e+001dB,1.79408979989345e+002°)
1.22086225405907e+003	(5.11243609519929e+001dB,1.79404426432537e+002°)
1.23026877081238e+003	(5.11243565169993e+001dB,1.79399837794739e+002°)
1.23974776302895e+003	(5.11243520134042e+001dB,1.79395213805737e+002°)
1.24929978911874e+003	(5.11243474401475e+001dB,1.79390554193235e+002°)
1.25892541179417e+003	(5.11243427961511e+001dB,1.79385858682842e+002°)
1.26862519810326e+003	(5.11243380803218e+001dB,1.79381126998054e+002°)
1.27839971946303e+003	(5.11243332915473e+001dB,1.79376358860239e+002°)
1.28824955169314e+003	(5.11243284287003e+001dB,1.79371553988620e+002°)
1.29817527504985e+003	(5.11243234906345e+001dB,1.79366712100258e+002°)
1.30817747426020e+003	(5.11243184761868e+001dB,1.79361832910037e+002°)
1.31825673855641e+003	(5.11243133841761e+001dB,1.79356916130647e+002°)
1.32841366171065e+003	(5.11243082134023e+001dB,1.79351961472564e+002°)
1.33864884207000e+003	(5.11243029626472e+001dB,1.79346968644038e+002°)
1.34896288259166e+003	(5.11242976306737e+001dB,1.79341937351072e+002°)
1.35935639087853e+003	(5.11242922162260e+001dB,1.79336867297407e+002°)
