Freq.	V(vout)
1.00000000000000e+003	(-6.88154339795144e+001dB,8.87607872416935e+001°)
1.00770481413610e+003	(-6.87487860883757e+001dB,8.87649822314579e+001°)
1.01546899243308e+003	(-6.86821379917590e+001dB,8.87691044916601e+001°)
1.02329299228075e+003	(-6.86154896940595e+001dB,8.87731542770274e+001°)
1.03117727459306e+003	(-6.85488411995810e+001dB,8.87771318223029e+001°)
1.03912230383517e+003	(-6.84821925126040e+001dB,8.87810373404980e+001°)
1.04712854805090e+003	(-6.84155436376021e+001dB,8.87848711448236e+001°)
1.05519647889024e+003	(-6.83488945782931e+001dB,8.87886333331970e+001°)
1.06332657163716e+003	(-6.82822453391438e+001dB,8.87923242090643e+001°)
1.07151930523761e+003	(-6.82155959241811e+001dB,8.87959439554123e+001°)
1.07977516232771e+003	(-6.81489463376069e+001dB,8.87994928439931e+001°)
1.08809462926223e+003	(-6.80822965832452e+001dB,8.88029710186158e+001°)
1.09647819614319e+003	(-6.80156466651859e+001dB,8.88063787052874e+001°)
1.10492635684876e+003	(-6.79489965872391e+001dB,8.88097160915327e+001°)
1.11343960906236e+003	(-6.78823463535550e+001dB,8.88129834103180e+001°)
1.12201845430197e+003	(-6.78156959677739e+001dB,8.88161808103327e+001°)
1.13066339794964e+003	(-6.77490454338476e+001dB,8.88193085065692e+001°)
1.13937494928134e+003	(-6.76823947555405e+001dB,8.88223666827707e+001°)
1.14815362149688e+003	(-6.76157439366974e+001dB,8.88253555102137e+001°)
1.15699993175021e+003	(-6.75490929808642e+001dB,8.88282751448332e+001°)
1.16591440117983e+003	(-6.74824418919325e+001dB,8.88311258123922e+001°)
1.17489755493953e+003	(-6.74157906734875e+001dB,8.88339076308024e+001°)
1.18394992222930e+003	(-6.73491393291987e+001dB,8.88366207861245e+001°)
1.19307203632654e+003	(-6.72824878626108e+001dB,8.88392654174340e+001°)
1.20226443461742e+003	(-6.72158362773149e+001dB,8.88418416772139e+001°)
1.21152765862859e+003	(-6.71491845769410e+001dB,8.88443497703095e+001°)
1.22086225405907e+003	(-6.70825327650313e+001dB,8.88467897891325e+001°)
1.23026877081238e+003	(-6.70158808449156e+001dB,8.88491618967589e+001°)
1.23974776302895e+003	(-6.69492288202746e+001dB,8.88514662427609e+001°)
1.24929978911874e+003	(-6.68825766943378e+001dB,8.88537029252903e+001°)
1.25892541179417e+003	(-6.68159244707392e+001dB,8.88558721227581e+001°)
1.26862519810326e+003	(-6.67492721527322e+001dB,8.88579739271572e+001°)
1.27839971946303e+003	(-6.66826197438820e+001dB,8.88600085021151e+001°)
