Freq.	V(vout)
1.00000000000000e+003	(-4.57011753528550e+001dB,8.85164087849945e+001°)
1.00770481413610e+003	(-4.56345276386136e+001dB,8.85182261436454e+001°)
1.01546899243308e+003	(-4.55678797567138e+001dB,8.85199562317705e+001°)
1.02329299228075e+003	(-4.55012317115659e+001dB,8.85215991654154e+001°)
1.03117727459306e+003	(-4.54345835075807e+001dB,8.85231550387448e+001°)
1.03912230383517e+003	(-4.53679351491064e+001dB,8.85246239404454e+001°)
1.04712854805090e+003	(-4.53012866404582e+001dB,8.85260059691974e+001°)
1.05519647889024e+003	(-4.52346379859082e+001dB,8.85273011872947e+001°)
1.06332657163716e+003	(-4.51679891896891e+001dB,8.85285096773233e+001°)
1.07151930523761e+003	(-4.51013402559657e+001dB,8.85296315068077e+001°)
1.07977516232771e+003	(-4.50346911890199e+001dB,8.85306667465663e+001°)
1.08809462926223e+003	(-4.49680419929250e+001dB,8.85316154615688e+001°)
1.09647819614319e+003	(-4.49013926718194e+001dB,8.85324777026417e+001°)
1.10492635684876e+003	(-4.48347432297440e+001dB,8.85332535021877e+001°)
1.11343960906236e+003	(-4.47680936708162e+001dB,8.85339429334238e+001°)
1.12201845430197e+003	(-4.47014439991179e+001dB,8.85345460421346e+001°)
1.13066339794964e+003	(-4.46347942184907e+001dB,8.85350628290825e+001°)
1.13937494928134e+003	(-4.45681443329705e+001dB,8.85354933370336e+001°)
1.14815362149688e+003	(-4.45014943465878e+001dB,8.85358376004614e+001°)
1.15699993175021e+003	(-4.44348442632348e+001dB,8.85360956399044e+001°)
1.16591440117983e+003	(-4.43681940868227e+001dB,8.85362674680110e+001°)
1.17489755493953e+003	(-4.43015438211553e+001dB,8.85363530832971e+001°)
1.18394992222930e+003	(-4.42348934701882e+001dB,8.85363525029059e+001°)
1.19307203632654e+003	(-4.41682430377399e+001dB,8.85362657190891e+001°)
1.20226443461742e+003	(-4.41015925276023e+001dB,8.85360927285509e+001°)
1.21152765862859e+003	(-4.40349419436345e+001dB,8.85358335208268e+001°)
1.22086225405907e+003	(-4.39682912895721e+001dB,8.85354880822831e+001°)
1.23026877081238e+003	(-4.39016405692646e+001dB,8.85350564051773e+001°)
1.23974776302895e+003	(-4.38349897863850e+001dB,8.85345384320177e+001°)
1.24929978911874e+003	(-4.37683389447042e+001dB,8.85339341605529e+001°)
1.25892541179417e+003	(-4.37016880479654e+001dB,8.85332435422148e+001°)
1.26862519810326e+003	(-4.36350370998571e+001dB,8.85324665347784e+001°)
1.27839971946303e+003	(-4.35683861040978e+001dB,8.85316031047936e+001°)
1.28824955169314e+003	(-4.35017350643746e+001dB,8.85306531807864e+001°)
1.29817527504985e+003	(-4.34350839843631e+001dB,8.85296167142034e+001°)
1.30817747426020e+003	(-4.33684328677639e+001dB,8.85284936599268e+001°)
