frequency;MAG;PHA
;;
1000;2.550949568;0.070018969
1043.505758;2.55011604;-0.026520156
1088.904268;2.553885827;0.034772569
1136.277874;2.565665833;-0.018664795
1185.712505;2.562261386;0.042419617
1237.297827;2.57249793;-0.006260005
1291.127407;2.56359616;0.015851392
1347.298884;2.597702152;0.057156797
1405.914144;2.597314815;-0.043140981
1467.079505;2.605403863;-0.044322754
1530.905912;2.606001632;-0.161340103
1597.509135;2.58829691;-0.10267526
1667.009982;2.608577191;-0.190768699
1739.534515;2.623523124;-0.274988761
1815.214284;2.623252043;-0.354043027
1894.186558;2.636679446;-0.278168697
1976.594581;2.631601221;-0.391492697
2062.587827;2.643199365;-0.284414262
2152.322275;2.632997944;-0.413910134
2245.960688;2.678874181;-0.565069491
2343.672912;2.654273497;-0.51110576
2445.636179;2.65811689;-0.728833942
2552.035436;2.677720561;-0.795972895
2663.063674;2.68785474;-0.830194491
2778.922279;2.684509055;-0.961430504
2899.8214;2.690989039;-0.958218066
3025.98033;2.65594766;-1.027632699
3157.627899;2.698115245;-1.112744295
3295.002896;2.67537745;-1.46280205
3438.354496;2.688692642;-1.42177658
3587.942716;2.687539336;-1.449862703
3744.038886;2.694607464;-1.691063909
3906.926137;2.697229796;-1.736803034
4076.899922;2.69574584;-1.656026191
4254.268545;2.669848036;-1.924983319
4439.353725;2.748843648;-2.112738971
4632.491176;2.714269826;-2.265208047
4834.031219;2.70933804;-2.537305242
5044.339413;2.740790794;-2.636176575
5263.797226;2.700860605;-2.761064294
5492.802717;2.719228304;-2.881359932
5731.771265;2.715856029;-3.140123394
5981.136321;2.704583318;-3.264632698
6241.350194;2.643441558;-3.372001624
6512.884868;2.734205779;-3.754556116
6796.232864;2.660041344;-3.586626195
7091.90813;2.743988938;-4.089987484
7400.446972;2.726850499;-4.159533865
7722.40903;2.748864195;-4.481608768
8058.378293;2.705360516;-4.608705554
8408.964153;2.765512197;-4.945091013
8774.802516;2.725898696;-4.969754053
9156.556955;2.724670947;-5.393558794
9554.919911;2.708397048;-5.59709666
9970.613949;2.717330034;-5.624568063
10404.39307;2.703530237;-6.08840676
10857.04408;2.731374706;-6.321976379
11329.38802;2.72693075;-6.673738215
11822.28164;2.71068404;-7.16702631
12336.61897;2.732423034;-7.630134769
12873.33294;2.784284268;-7.896040777
13433.39705;2.669623259;-8.287453828
14017.82718;2.740721234;-8.218533909
14627.68338;2.687465675;-8.943239572
15264.07184;2.723263058;-9.216213254
15928.14686;2.684804401;-9.826409781
16621.11297;2.710494441;-10.30363565
17344.2271;2.652065945;-10.67527994
18098.80086;2.691139724;-11.17180827
18886.20292;2.674966126;-11.57355791
19707.8615;2.670911002;-11.99042464
20565.26696;2.578223517;-12.59775768
21459.9745;2.612484104;-12.82235882
22393.60697;2.660752659;-13.49172208
23367.85782;2.631468754;-14.47999841
24384.4942;2.626453562;-14.92804763
25445.36012;2.69495031;-15.92921114
26552.37981;2.617073171;-15.79410055
27707.56123;2.647721278;-16.448725
28912.9997;2.533715845;-18.15339227
30170.88168;2.512677018;-18.28207646
31483.48877;2.506146138;-19.34541143
32853.20183;2.547406077;-19.96379148
34282.5053;2.6218814;-20.57190516
35773.99169;2.580625127;-21.81186008
37330.36634;2.465245591;-22.45792881
38954.45224;2.509309547;-23.77455022
40649.19523;2.489150999;-24.59009832
42417.6693;2.440599234;-25.54359156
44263.08218;2.412927152;-26.8119469
46188.78114;2.348809178;-28.07696851
48198.2591;2.371703078;-29.03659613
50295.16092;2.295629921;-30.83960314
52483.29004;2.298802561;-31.11037489
54766.61538;2.22118493;-32.93357221
57149.27852;2.202604498;-34.20740784
59635.60123;2.215261208;-36.03737092
62230.0933;2.158241553;-36.92319783
64937.46071;2.114586558;-37.96603792
67762.61419;2.010111529;-40.17778796
70710.67812;1.95504584;-41.84590918
73786.9998;1.90569393;-43.52819355
76997.1592;1.883013458;-44.89967004
80346.97901;1.612147006;-46.57254684
83842.53527;1.742321796;-49.09726309
87490.16836;1.524476401;-51.57405238
91296.4945;1.661248678;-52.28992348
95268.41774;1.498363761;-54.80623665
99413.14251;1.364407793;-56.82833609
103738.1867;1.37489973;-58.74051041
108251.3952;1.480082847;-53.20756541
112960.9542;-0.423872836;-64.56210369
117875.4062;1.084097508;-66.37407531
123003.6652;1.053383897;-67.80625249
128355.0329;0.853304977;-70.96839952
133939.216;0.811619879;-72.96472474
139766.3432;0.621906364;-75.79242752
145846.984;0.683489937;-77.85650412
152192.1676;0.478453542;-82.32385939
158813.4033;2.552032711;-74.07776199
165722.7009;4.051037255;-110.496512
172932.5927;-1.083483565;-103.6681566
180456.1563;0.208706182;-93.27402507
188307.0382;0.072572986;-96.9419895
196499.4788;0.013804055;-100.8699492
205048.3376;-0.044103621;-102.9385774
213969.1211;0.039633169;-106.2640109
223278.01;0.056439541;-104.0595151
232991.8892;0.101821274;-114.0853095
243128.378;0.148574315;-117.4106125
253705.8625;0.374271616;-121.3547275
264743.5285;0.895427738;-126.1264553
276261.3965;1.576597607;-128.7636543
288280.3581;2.707992342;-132.0326708
300822.2137;4.800438305;-135.7025524
313909.7123;13.56321428;-142.9529847
327566.5925;12.93362792;141.8729545
341817.6255;11.58536936;87.78247275
356688.6606;3.340897831;24.2773783
372206.6713;-4.791783721;31.57656944
388399.8049;-9.657277065;29.46764292
405297.433;-13.55481327;27.44276239
422930.2052;-17.03690975;23.82936226
441330.1046;-21.29414716;3.957539611
460530.5055;-24.73292589;-1.356480145
480566.2345;-28.68372451;-40.976645
501473.633;-20.37557204;-8.452204512
523290.6238;-28.57231173;-89.32767175
546056.7793;-25.51592931;-113.7289437
569813.3936;-23.28061074;-129.0280696
594603.5575;-21.0235195;-136.2475238
620472.2363;-18.34036144;-141.401254
647466.3515;-9.056344418;-54.14014068
675634.8663;-1.666253214;91.39250054
705028.8736;-16.46049789;72.22570243
735701.6895;-18.77214084;65.38060899
767708.9495;-19.93823096;49.86557367
801108.7096;-20.44832274;31.8659826
835961.5517;-19.38422363;6.62787381
872330.6931;-18.22329837;-9.266128681
910282.1015;-15.35955941;-25.57077136
949884.6148;-6.014628537;-36.80537169
991210.0654;-4.33270877;-132.2271215
1034333.411;-4.244498244;142.5040015
1079332.871;-15.07520742;118.9357109
1126290.066;-19.88284908;115.5132473
1175290.17;-22.93159289;111.8191781
1226422.06;-23.80653811;150.6289103
1279778.482;-14.02655408;178.4469375
1335456.215;-9.568017847;75.35647347
1393556.251;-18.09554134;8.886218905
1454183.973;-23.39948306;20.1135341
1517449.349;-24.56186564;11.32367504
1583467.134;-25.175909;2.721668288
1652357.073;-23.53693435;-91.08936896
1724244.121;-32.30526133;94.01882901
1799258.669;-32.75786768;80.26830058
1877536.782;-31.40026908;63.15217978
1959220.444;-25.94652811;28.03768535
2044457.815;-20.62582911;-35.96865487
2133403.503;-40.30528399;-94.47546637
2226218.841;-37.4845725;71.61856626
2323072.18;-19.55075346;2.020389397
2424139.197;-36.59786888;-24.22383177
2529603.212;-26.57559395;21.77211837
2639655.518;-20.82625008;-80.99370007
2754495.734;-23.33943159;-168.3046614
2874332.16;-36.6693318;155.1968945
2999382.16;-43.91561003;143.3140759
3129872.556;-62.76581059;-122.8810658
3266040.036;-33.83053341;-86.34578596
3408131.585;-26.75433937;-179.4550717
3556404.935;-35.16864733;141.5465876
3711129.029;-46.22474761;-147.9989104
3872584.512;-34.59872672;-166.1395483
4041064.238;-39.13625563;51.97007436
4216873.803;-38.07371491;108.6188793
4400332.097;-43.6391761;135.3252389
4591771.882;-30.43901207;133.1778105
4791540.401;-38.76011058;83.90992457
5000000;-39.08565822;9.918435366
