frequency;MAG;PHA
;;
1000;-29.42865038;3.105165103
1043.505758;-29.55616903;3.071442637
1088.904268;-29.48078317;2.511707269
1136.277874;-29.15542209;2.427032452
1185.712505;-29.50398089;2.177268269
1237.297827;-29.44033525;3.737190522
1291.127407;-29.41667143;2.703354404
1347.298884;-29.62059969;4.747265759
1405.914144;-29.57825842;4.278316998
1467.079505;-29.69831285;3.406147247
1530.905912;-29.49454836;3.301539762
1597.509135;-29.4946628;4.540939051
1667.009982;-29.24743038;3.95649178
1739.534515;-29.3740678;3.736362623
1815.214284;-29.29724948;4.261926378
1894.186558;-29.3517126;4.413581698
1976.594581;-29.08823185;7.051078658
2062.587827;-29.32075747;5.350512831
2152.322275;-29.36616036;5.062674155
2245.960688;-29.54921513;5.911512436
2343.672912;-29.43308883;6.835997684
2445.636179;-29.31620778;5.672499188
2552.035436;-29.55568921;3.612995239
2663.063674;-29.18305924;6.452040162
2778.922279;-29.84455375;6.041200862
2899.8214;-29.3948811;6.133198113
3025.98033;-29.44593147;6.992114671
3157.627899;-29.45475741;6.81812239
3295.002896;-28.90448818;9.500215339
3438.354496;-29.08791814;8.197449992
3587.942716;-29.36494503;5.473585843
3744.038886;-29.42883494;10.45301878
3906.926137;-28.92721825;8.188250684
4076.899922;-28.81673698;9.371318843
4254.268545;-29.21114602;11.69398095
4439.353725;-29.01365824;10.0107768
4632.491176;-29.39776062;7.995139818
4834.031219;-28.90321136;11.33352776
5044.339413;-29.1985874;9.200469439
5263.797226;-29.36335777;10.02882602
5492.802717;-29.37517162;12.862775
5731.771265;-29.17076714;14.36308885
5981.136321;-28.92811003;10.75284975
6241.350194;-28.38597641;11.10225822
6512.884868;-28.58583097;14.98071466
6796.232864;-28.68045406;14.51294537
7091.90813;-28.64957598;16.53744674
7400.446972;-29.38753087;18.34237442
7722.40903;-28.54217101;14.45917561
8058.378293;-28.53205194;11.80408869
8408.964153;-28.20116116;14.36323376
8774.802516;-28.62346134;18.36398445
9156.556955;-28.3141716;15.19226562
9554.919911;-28.70747803;16.89368536
9970.613949;-27.98657115;15.42215925
10404.39307;-27.96723309;18.54808339
10857.04408;-28.6763848;19.07851148
11329.38802;-29.00037009;22.56191977
11822.28164;-28.78741016;21.19508978
12336.61897;-28.20166615;24.09562235
12873.33294;-28.29663842;22.23944094
13433.39705;-27.66871045;23.78915806
14017.82718;-27.64972935;23.91682052
14627.68338;-27.70924848;24.32617587
15264.07184;-28.32008106;26.6770283
15928.14686;-27.44955088;26.45395925
16621.11297;-26.54468901;28.07087651
17344.2271;-27.76727634;30.39264306
18098.80086;-27.01383211;25.89788621
18886.20292;-27.35956245;31.90525296
19707.8615;-27.02693418;23.78180286
20565.26696;-26.67625982;25.81490201
21459.9745;-26.19381655;29.18473783
22393.60697;-26.41800471;35.79350492
23367.85782;-26.32359;28.60299432
24384.4942;-26.21296897;33.95978934
25445.36012;-26.52774973;39.12952044
26552.37981;-25.3801714;30.0496063
27707.56123;-25.18258339;33.83606177
28912.9997;-24.81793649;31.92893494
30170.88168;-24.76365026;37.81375052
31483.48877;-25.06538982;36.72775796
32853.20183;-24.78373548;38.21300376
34282.5053;-24.89130899;35.99352158
35773.99169;-24.15743921;41.57546348
37330.36634;-24.71668488;38.50350315
38954.45224;-23.2840056;36.3751977
40649.19523;-23.60319664;41.86969968
42417.6693;-22.95104307;31.82683953
44263.08218;-22.98419267;41.61560476
46188.78114;-22.85613666;37.226409
48198.2591;-22.74158383;40.59231207
50295.16092;-22.12224389;38.74035335
52483.29004;-22.04294914;43.77496799
54766.61538;-21.58951644;36.10736762
57149.27852;-21.58349891;37.59907882
59635.60123;-21.15860725;39.67805717
62230.0933;-20.9356361;36.66426213
64937.46071;-20.5940221;37.70634224
67762.61419;-20.4259058;39.80146193
70710.67812;-20.17877222;37.19309911
73786.9998;-19.66921507;36.50912102
76997.1592;-19.44777058;33.46326473
80346.97901;-18.96874145;34.88316089
83842.53527;-18.74888394;35.95081393
87490.16836;-18.45649743;32.0397204
91296.4945;-18.27668922;31.83110678
95268.41774;-17.87130929;29.98909124
99413.14251;-17.72847965;29.68431222
103738.1867;-17.51996508;29.71416251
108251.3952;-17.14827924;27.40414427
112960.9542;-16.70201093;27.43049677
117875.4062;-16.60245842;25.54065773
123003.6652;-16.47796696;23.39013045
128355.0329;-16.24944779;20.7695095
133939.216;-15.82865206;21.16487098
139766.3432;-15.58297185;20.44426848
145846.984;-15.27634003;17.41454701
152192.1676;-15.02280684;15.8846223
158813.4033;-14.72608232;15.4761519
165722.7009;-14.31406891;12.7315647
172932.5927;-14.13410492;11.10958913
180456.1563;-13.77671351;9.368382831
188307.0382;-13.44536657;7.046227728
196499.4788;-13.23651574;5.260320984
205048.3376;-12.89222896;3.489924886
213969.1211;-12.48241197;-1.015105072
223278.01;-12.40172822;-1.449832441
232991.8892;-11.97310891;-3.571807328
