frequency;MAG;PHA
;;
1000;3.912604862;0.185867264
1043.505758;3.918109398;0.183516467
1088.904268;3.91697797;0.132204554
1136.277874;3.931030384;0.260395351
1185.712505;3.925366784;0.083311314
1237.297827;3.931987328;0.210173213
1291.127407;3.931798887;0.123478367
1347.298884;3.939073064;0.132728172
1405.914144;3.946068637;0.124220528
1467.079505;3.940940321;0.09573231
1530.905912;3.95264495;0.057316174
1597.509135;3.955261472;0.094817944
1667.009982;3.957470101;-0.001825909
1739.534515;3.956017272;0.004893855
1815.214284;3.972074049;-0.14630001
1894.186558;3.986504196;-0.119914721
1976.594581;3.978555799;-0.10351347
2062.587827;3.989489092;-0.1691388
2152.322275;3.994801766;-0.187250724
2245.960688;4.002498922;-0.283576752
2343.672912;4.005572421;-0.330712173
2445.636179;4.007553042;-0.381796861
2552.035436;4.024024358;-0.434482967
2663.063674;4.025782741;-0.553617001
2778.922279;4.013111957;-0.51626293
2899.8214;4.022194509;-0.61531986
3025.98033;4.064926383;-0.637775014
3157.627899;4.04420901;-0.666234297
3295.002896;4.043498738;-0.794861369
3438.354496;4.061357694;-1.002780972
3587.942716;4.054436154;-1.020351247
3744.038886;4.071332531;-1.126691928
3906.926137;4.042825583;-1.279378236
4076.899922;4.048927118;-1.321763728
4254.268545;4.0584804;-1.421418373
4439.353725;4.083149556;-1.493561044
4632.491176;4.089183768;-1.544798017
4834.031219;4.057625457;-1.82099372
5044.339413;4.084289189;-1.760961043
5263.797226;4.074262308;-1.847068123
5492.802717;4.095886656;-2.061046815
5731.771265;4.07115018;-2.352272487
5981.136321;4.062534498;-2.365051221
6241.350194;4.097278225;-2.507404831
6512.884868;4.108647863;-2.552716707
6796.232864;4.126237116;-2.846664477
7091.90813;4.096016076;-3.065655478
7400.446972;4.109313645;-3.144709933
7722.40903;4.078308917;-3.326067617
8058.378293;4.120917119;-3.450888224
8408.964153;4.096675468;-3.702038755
8774.802516;4.114603559;-3.837686657
9156.556955;4.057452754;-3.979197537
9554.919911;4.120612086;-4.158486223
9970.613949;4.078366419;-4.287485948
10404.39307;4.105643384;-4.628579937
10857.04408;4.124381188;-4.927399276
11329.38802;4.090024551;-5.225717597
11822.28164;4.104891132;-5.187005118
12336.61897;4.121729006;-5.782139299
12873.33294;4.122058157;-5.961264794
13433.39705;4.161645498;-6.482670149
14017.82718;4.098781195;-6.280125605
14627.68338;4.096920284;-6.786301241
15264.07184;4.075979898;-7.040613299
15928.14686;4.112524653;-7.197295656
16621.11297;4.125919736;-7.706254843
17344.2271;4.116850775;-8.210437822
18098.80086;4.139780796;-8.769406469
18886.20292;4.107463203;-9.00187546
19707.8615;4.126360889;-9.362255411
20565.26696;4.08798512;-9.895418411
21459.9745;4.105365425;-10.24043639
22393.60697;4.124474188;-10.96758476
23367.85782;4.110562582;-11.1794169
24384.4942;4.088116897;-11.69471334
25445.36012;4.1099715;-12.00738576
26552.37981;4.043839798;-12.75397789
27707.56123;4.068373796;-13.13447194
28912.9997;4.059246929;-14.49284724
30170.88168;4.125262956;-14.41832846
31483.48877;4.113532847;-14.34529248
32853.20183;4.094485475;-16.00398593
34282.5053;4.082744078;-16.04871709
35773.99169;4.117425456;-17.43342089
37330.36634;4.085124923;-17.91843167
38954.45224;4.082935172;-18.54717646
40649.19523;4.060575293;-19.40073367
42417.6693;4.141505012;-20.35285594
44263.08218;4.055869854;-21.29344784
46188.78114;4.076900923;-22.37089184
48198.2591;4.01482497;-23.47010309
50295.16092;3.982827343;-24.74114732
52483.29004;4.068363469;-25.80754922
54766.61538;4.017747874;-26.71148594
57149.27852;3.9104444;-28.01426478
59635.60123;3.970296517;-28.81722047
62230.0933;3.897694485;-29.94359632
64937.46071;3.939131372;-31.30904126
67762.61419;3.872573142;-32.88127501
70710.67812;3.893814953;-33.96458298
73786.9998;3.795714968;-35.39080739
76997.1592;3.804585983;-37.40007725
80346.97901;3.761707349;-38.98964042
83842.53527;3.661472058;-40.82601863
87490.16836;3.695909225;-42.11815448
91296.4945;3.864738526;-45.36457494
95268.41774;3.286511413;-41.02548062
99413.14251;3.47538963;-47.11595985
103738.1867;3.462852469;-48.41416279
