Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10000.00000000001,21.38912358082987,175.9899823042919
10315.60846846843,21.2910974011045,175.2909244482157
10641.17780747374,21.34148310065722,175.2054605030001
10977.02239052544,21.31897811876801,175.0744541771975
11323.46651302716,21.36688312666975,174.9832743743292
11680.84470542016,21.30039072517027,174.3817233508728
12049.50205620967,21.36230524162579,174.407720568037
12429.79454518641,21.38196208396153,174.3273817078974
12822.08938716475,21.32628504715779,173.992176955127
13226.76538656958,21.42106707214632,173.9762831142448
13644.2133032142,21.40202917692287,173.5185413095853
14074.83622962259,21.34440932783568,173.0430583462035
14519.04998026008,21.51758274733637,172.7447373459981
14977.2834930487,21.44194388020966,172.4508365663958
15449.97924355457,21.40578994794505,172.5731989589846
15937.59367224727,21.45214611960845,171.9165881012346
16440.59762524425,21.50038443825523,171.5643235905544
16959.47680896515,21.42447220332482,171.8061462423396
17494.73225913547,21.53490869746907,171.7111285160135
18046.88082459254,21.52633655757637,171.1696769285872
18616.45566636071,21.54876427999795,170.2476460313613
19204.00677247774,21.57052573274587,169.8643525770381
19810.10148906963,21.65774647262646,170.1445889766099
20435.32506818655,21.60898532737468,168.4959605226734
21080.28123292901,21.64071297736062,168.2224138996619
21745.59276040984,21.77027450397752,168.4056525565881
22431.90208311492,21.67003153768215,167.1442203243564
23139.87190924347,21.70859176629751,167.5763902683099
23870.18586262665,21.74196904108775,166.5528380038111
24623.54914284265,21.824280450825,165.634597369547
25400.6892061656,21.75655449714134,165.761850364923
26202.35646800563,21.7895262553748,164.3235966338571
27029.32502751869,21.84579969224738,164.1217898410251
27882.39341508573,22.03750140390509,162.6379698614874
28762.38536338263,21.89152655174441,162.7193516201139
29670.15060278621,21.99312346897663,161.5563638617957
30606.56568188345,21.98251062863117,161.2907864034832
31572.5348138772,21.84600999395466,160.2612444730667
32568.99074970454,21.99554451313197,159.8596177782331
33596.89567871222,21.97287455827345,157.6236993738613
34657.24215775736,22.04535090221687,156.7431163619115
35751.05406963223,22.0730924313653,156.300703118657
36879.38761173707,22.0858602183696,155.6247879004217
38043.3323159564,22.09177542356827,154.066929877463
39244.01210072383,22.13313535438641,153.2032924385269
40482.58635629039,22.04403552448257,151.7080100671866
41760.2510642453,21.9715627675318,150.5221865557026
43078.23995236963,21.92201423711239,148.7465243626443
44437.82568593789,21.89680691212337,147.6314763237134
45840.3210966184,21.81003663174245,147.0029444225979
47287.08045015884,21.74079307232766,145.5279509130778
48779.50075408056,21.78722400264291,145.8232313776143
50319.02310664554,21.77607752774087,146.6233349128454
51907.13408839706,21.49804486491473,143.5680058488887
53545.36719761945,21.59593096984058,142.0923648512122
55235.30433110143,21.47173486325082,140.7438948017816
56978.57731163403,21.51017709328463,140.6320284152343
58776.86946371741,21.40927045320381,138.9662626354726
60631.91723899863,21.37312647508509,137.8553929212808
62545.51189300902,21.39614027774214,136.8757431815072
64519.50121482167,21.23001917227615,135.595347533684
66555.79131129725,21.21659713985267,135.0781221717874
68656.3484476435,21.22439411665621,133.3895425941004
70823.20094606293,21.14896355564884,132.8370187770597
73058.4411443248,21.09009134289998,128.102369398962
75364.22741614979,21.03112223315595,129.9752085609555
77742.7862553615,20.97563308068912,129.0163459319625
80196.41442581367,20.94383345259399,127.6829173507216
82727.48117917271,20.87030643149406,126.3376928283679
85338.43054269352,20.85196916695393,125.5941540158349
88031.78367920133,20.77071712075368,124.7423371725801
90810.1413215549,20.80588087677202,123.5733653883441
93676.1862839446,20.7297541032171,123.1099547487421
96632.68605244838,20.65838555046838,120.9419029416415
99682.49545734866,20.67774924192547,120.3537777116452
102828.559429789,20.67984067871208,118.8445557886488
106073.915845434,20.69488853293633,117.5343346549741
109421.6984578766,20.65807869075557,116.0557577762952
112875.1399246269,20.67269026673648,114.7540551367079
116437.5749286039,20.64437927473353,113.7444228167425
120112.4433981432,20.61923189323571,111.5369803177226
123903.293828632,20.56906689419053,110.4456682507187
127813.7867089766,20.55429430032513,109.59059738432
131847.6980562136,20.58220181994433,112.3161610350936
136008.9230616743,20.51639352820811,105.9560707204869
140301.4798522278,20.52450125997593,104.6631905723822
144729.5133702292,20.4847682560556,102.779873694915
149297.299375925,20.44430816577476,101.8156706614977
154009.2485761756,20.44440110034651,99.8198832645455
158869.9108834856,20.36785753389027,98.21251610808503
163883.9798094506,20.36819219885217,95.2620475794521
169056.2969968677,20.39539764012046,95.68311266249572
174391.85689488,20.38499161949014,94.07675862039341
179895.8115816758,20.35922077217676,92.37311476471541
185573.4757393932,20.33668218959392,91.14438714651257
191430.3317860403,20.3012286281571,89.02599539002676
197472.0351693797,20.28043230449257,87.81348545173341
203704.4198278946,20.29386768510172,86.03991988436795
210133.5038241076,20.26308337406838,84.44307715795956
216765.4951556905,20.23549983678024,75.57589330290557
223606.7977499791,20.28315146930811,81.46416493122094
230664.0176476789,20.21221214230994,79.97057115195219
237943.9693817345,20.18148829508146,78.25208871442065
245453.6825575212,20.17848143872396,76.45188511011324
253200.4086407124,20.12407646602077,74.61247052313547
261191.6279593797,20.11539561438035,73.451185585931
269435.0569270829,20.06474470981108,70.90596119648842
277938.6554939288,20.0499096736622,69.9214997480791
286710.6348327898,20.01224933367901,68.35555531446965
295759.4652681082,20.0496815587925,66.59498856012151
305093.8844549388,20.01718956054082,65.06158631779527
314722.9058161294,19.94657697214794,63.59490676411804
324655.8272457852,19.9461712484151,63.77245790083668
334902.240087424,19.96766598973111,61.34296014745281
345472.0383954874,19.96934512766337,58.20941653950769
356375.4284891536,19.99442833865583,57.3652214495487
367622.9388076776,19.92565000555026,55.08816523533557
379225.4300767726,19.8386922950716,53.41027291206456
391194.1057958533,19.78529351508362,51.83838924902858
403540.5230562635,19.88147411248118,49.85497941377474
416276.6037009368,19.91819435852944,48.14587138338356
429414.6458362655,19.77440482871323,46.66008382978174
442967.3357072947,19.73022481849389,44.69235478255145
456947.7599477061,19.60169025725022,42.65775226269409
471369.4182164233,19.55316554307914,41.34105569958581
486246.2362330368,19.54790041725459,38.93562269725317
501592.5792246409,19.31471846098042,37.86155112264476
517423.2657970621,18.80246312279068,35.53200762715623
533753.5822438761,18.86204777916115,34.09905882585076
550599.2973070282,18.36115074866717,31.62663390298154
567976.6774033142,18.38485877026651,29.18511980536654
585902.5023314181,18.62727088061402,27.05326006641113
604394.0814746815,18.41746481110651,24.18730759758003
623469.2705152415,18.62324430118436,21.08933559552301
643146.4886756855,20.04008745026228,-2.586714953151954
663444.7365048628,15.03155107042645,-0.7577686858698343
684383.6142250362,16.53889711805008,24.86839544385214
705983.3406580806,16.42717038090661,19.85639680965366
728264.7727490116,16.39018687101937,18.3222693795383
751249.4257056934,15.68914837097538,15.32637823728115
774959.4937741685,15.32906890047875,13.45431506834746
799417.8716696814,14.51330048297707,11.91624186492083
824648.1766840763,14.60373060224242,10.61651364650818
850674.77149093,14.46024097080069,10.17543591689923
877522.7876704274,13.94482044308456,8.388279728154956
905218.1499767075,13.17776960231587,7.33712066610326
933787.6013711038,12.98915429973031,6.592531568227823
963258.7288454572,12.13504474901264,5.094050801438698
993659.9900604322,12.15134984299516,5.047302242632796
1025020.740824564,11.68114836596727,4.683711156725252
1057371.263440564,10.9637916731302,3.524213646675292
1090742.795946263,10.0405472034753,-0.7462038374300448
1125167.56227842,10.20656329945643,3.901214654409245
1160678.803388523,10.0153369720195,3.33515862839765
1197310.809340644,9.38200126100676,-0.8631796243479641
1235098.952422313,9.695518244132138,-0.4474433170993848
1274079.721300408,8.656901047198662,-6.293626660507158
1314290.756255037,8.581685177261956,-9.873725591293805
1355770.885525423,8.117400764856818,-22.76473092930206
1398560.162802898,7.627282817895677,-29.09078243193197
1442699.905907214,7.013728977221493,-32.98000835166624
1488232.736683505,5.619066378821563,-31.93304461689505
1535202.62215843,5.021944588941936,-33.83474172942118
1583654.916995241,4.657086877014728,-36.27122847435754
1633636.407288776,4.204551740156621,-42.81915413168647
1685195.355742642,4.226945670622657,-42.94184172986068
1738381.548272244,4.203560261521185,-40.03262837568669
1793246.34207864,2.706948256914645,-43.21255675296186
1849842.715239644,1.500459031163031,-42.49642563247141
1908225.317866069,1.323458290543617,-44.9794378704096
1968450.524872506,-0.9441045688742804,-8.160893167360427
2030576.490413592,-0.778720991713473,-45.25970567213511
2094663.204038333,-0.6126245594852435,-46.84665134767208
2160772.548616702,-1.719376925611003,-48.49563914263911
2228968.360094454,-1.408577432064946,-51.01446779168828
2299316.489133852,-1.491051364840088,-53.366790755596
2371884.864699823,-1.949941001847399,-55.24523784027747
2446743.559652957,-2.074668500261385,-58.24224125005351
2523964.858412661,-2.311510045509291,-66.40146335504588
2603623.326755833,-3.071221498497526,-74.04857048324364
2685795.883818439,-5.556634028461845,-76.53149105443075
2770561.876369512,-7.712101707288381,-73.85098996353031
2858003.155429308,-7.098464880858516,-70.4611552719698
2948204.155305604,-7.483475251307855,-63.95520450729552
3041251.975124427,-8.294323934484392,-75.03182080747517
3137236.462933985,-8.372522196828784,-75.40125481559494
3236250.302462971,-8.627383373917448,-78.27867359253447
3338389.102617051,-8.974730030314419,-83.68518629060169
3443751.489799912,-9.068544516337006,-88.05637901116495
3552439.20314807,-9.980711961035365,-89.55388028822738
3664557.192771344,-9.760322245223165,-95.10374809195605
3780213.721093893,-11.68508876546543,-97.8257573709823
3899520.467393667,-12.01467981012877,-99.48990124371329
4022592.635641204,-11.52835713154406,-99.87681899484548
4149549.06574191,-11.69300492500295,-104.8385215849461
4280512.348289246,-12.54014199430961,-111.2696033862726
4415608.942939619,-12.68993799181769,-115.8512977304088
4554969.300523281,-13.90445233642622,-118.751580464543
4698727.989009162,-15.53283374041617,-120.7373788865526
4847023.82344525,-15.05009292969788,-127.5460860513136
5000000,-17.91898789448284,-141.3397158954379
