Freq;MAG;PHA
;;
1003.666169;47.10740553;179.516233
9975.062344;44.39589794;176.0622365
74906.36704;40.28204714;131.8148449
99927.13646;43.20568527;121.5458595
152091.2548;45.01128678;104.3741024
201680.6723;43.82801118;89.5191732
304761.9048;44.99720872;69.40534041
403135.4983;43.85525514;53.0357585
516129.0323;37.9386579;41.27030437
729483.2827;32.27250338;17.58122611
1019541.206;32.68465011;0.86610229
1504702.194;33.20402594;-20.7524427
2021052.632;32.52989335;-41.15174889
3053435.115;32.04288651;-76.92968888
3892493.049;31.36289993;-103.1392608
1600000;33.59236459;-128.6655901
