Frequency;MAG;MAG
;;
995.8506224;56.61825048;179.191156
9912.440112;55.37220928;175.9899823
73823.43894;51.80254445;129.9752086
100671.1409;52.58372677;118.8445558
148239.6541;52.07405081;101.8156707
200083.3681;52.18742215;86.03991988
308681.672;38.78157984;65.06158632
398450.4704;46.32058453;49.85497941
511727.0789;35.24896041;35.53200763
728929.385;39.45551473;15.32637824
1003904.071;48.40737576;4.683711157
1501564.129;32.66460853;-33.83474173
1943319.838;31.00974827;-45.25970567
3092340.73;32.17263267;-75.03182081
4628173.221;31.90972884;-120.7373789
5045901.639;31.14791852;-141.3397159
