Freq.	V(Vo,Vi)
1.00000000000000e+000	(6.02056170640166e+000dB,1.79999983227786e+002°)
1.02329299228075e+000	(6.02056170641180e+000dB,1.79999982837110e+002°)
1.04712854805090e+000	(6.02056170642242e+000dB,1.79999982437334e+002°)
1.07151930523761e+000	(6.02056170643354e+000dB,1.79999982028246e+002°)
1.09647819614318e+000	(6.02056170644518e+000dB,1.79999981609629e+002°)
1.12201845430196e+000	(6.02056170645737e+000dB,1.79999981181261e+002°)
1.14815362149688e+000	(6.02056170647015e+000dB,1.79999980742915e+002°)
1.17489755493953e+000	(6.02056170648351e+000dB,1.79999980294358e+002°)
1.20226443461741e+000	(6.02056170649751e+000dB,1.79999979835354e+002°)
1.23026877081238e+000	(6.02056170651217e+000dB,1.79999979365657e+002°)
1.25892541179417e+000	(6.02056170652752e+000dB,1.79999978885020e+002°)
1.28824955169313e+000	(6.02056170654358e+000dB,1.79999978393187e+002°)
1.31825673855641e+000	(6.02056170656041e+000dB,1.79999977889898e+002°)
1.34896288259165e+000	(6.02056170657804e+000dB,1.79999977374885e+002°)
1.38038426460288e+000	(6.02056170659648e+000dB,1.79999976847876e+002°)
1.41253754462275e+000	(6.02056170661580e+000dB,1.79999976308591e+002°)
1.44543977074593e+000	(6.02056170663603e+000dB,1.79999975756745e+002°)
1.47910838816821e+000	(6.02056170665722e+000dB,1.79999975192044e+002°)
1.51356124843621e+000	(6.02056170667939e+000dB,1.79999974614190e+002°)
1.54881661891248e+000	(6.02056170670262e+000dB,1.79999974022875e+002°)
1.58489319246111e+000	(6.02056170672693e+000dB,1.79999973417787e+002°)
1.62181009735893e+000	(6.02056170675239e+000dB,1.79999972798604e+002°)
1.65958690743756e+000	(6.02056170677906e+000dB,1.79999972164998e+002°)
1.69824365246174e+000	(6.02056170680697e+000dB,1.79999971516633e+002°)
1.73780082874937e+000	(6.02056170683620e+000dB,1.79999970853166e+002°)
1.77827941003892e+000	(6.02056170686681e+000dB,1.79999970174244e+002°)
1.81970085860998e+000	(6.02056170689885e+000dB,1.79999969479508e+002°)
