Freq.	V(vo)/V(Vi)
1.00000000000000e+000	(-7.78119026355160e-005dB,-1.79970034277927e+002°)
1.02329299228075e+000	(-7.77208217456182e-005dB,-1.79969336286840e+002°)
1.04712854805090e+000	(-7.76254483450694e-005dB,-1.79968622037470e+002°)
1.07151930523761e+000	(-7.75255801394469e-005dB,-1.79967891151113e+002°)
1.09647819614318e+000	(-7.74210052922387e-005dB,-1.79967143240247e+002°)
1.12201845430196e+000	(-7.73115019908939e-005dB,-1.79966377908320e+002°)
1.14815362149688e+000	(-7.71968379492272e-005dB,-1.79965594749545e+002°)
1.17489755493953e+000	(-7.70767699753986e-005dB,-1.79964793348684e+002°)
1.20226443461741e+000	(-7.69510433692052e-005dB,-1.79963973280825e+002°)
1.23026877081238e+000	(-7.68193914466662e-005dB,-1.79963134111161e+002°)
1.25892541179417e+000	(-7.66815349681744e-005dB,-1.79962275394755e+002°)
1.28824955169313e+000	(-7.65371815203595e-005dB,-1.79961396676307e+002°)
1.31825673855641e+000	(-7.63860249037382e-005dB,-1.79960497489912e+002°)
1.34896288259165e+000	(-7.62277445039704e-005dB,-1.79959577358813e+002°)
1.38038426460288e+000	(-7.60620045811478e-005dB,-1.79958635795147e+002°)
1.41253754462275e+000	(-7.58884535812620e-005dB,-1.79957672299690e+002°)
1.44543977074593e+000	(-7.57067233869201e-005dB,-1.79956686361586e+002°)
1.47910838816821e+000	(-7.55164285159871e-005dB,-1.79955677458084e+002°)
1.51356124843621e+000	(-7.53171653289066e-005dB,-1.79954645054253e+002°)
1.54881661891248e+000	(-7.51085111646629e-005dB,-1.79953588602704e+002°)
1.58489319246111e+000	(-7.48900234333470e-005dB,-1.79952507543299e+002°)
1.62181009735893e+000	(-7.46612387289752e-005dB,-1.79951401302851e+002°)
1.65958690743756e+000	(-7.44216717137608e-005dB,-1.79950269294823e+002°)
1.69824365246174e+000	(-7.41708142859009e-005dB,-1.79949110919015e+002°)
1.73780082874937e+000	(-7.39081343124493e-005dB,-1.79947925561249e+002°)
1.77827941003892e+000	(-7.36330746389540e-005dB,-1.79946712593040e+002°)
1.81970085860998e+000	(-7.33450518088313e-005dB,-1.79945471371264e+002°)
1.86208713666287e+000	(-7.30434548965321e-005dB,-1.79944201237817e+002°)
1.90546071796325e+000	(-7.27276441815950e-005dB,-1.79942901519268e+002°)
1.94984459975804e+000	(-7.23969497696613e-005dB,-1.79941571526499e+002°)
1.99526231496888e+000	(-7.20506702559228e-005dB,-1.79940210554340e+002°)
2.04173794466953e+000	(-7.16880711108428e-005dB,-1.79938817881197e+002°)
2.08929613085404e+000	(-7.13083832153509e-005dB,-1.79937392768669e+002°)
2.13796208950223e+000	(-7.09108012099222e-005dB,-1.79935934461156e+002°)
2.18776162394955e+000	(-7.04944817771214e-005dB,-1.79934442185457e+002°)
2.23872113856834e+000	(-7.00585418508575e-005dB,-1.79932915150365e+002°)
2.29086765276777e+000	(-6.96020567513899e-005dB,-1.79931352546239e+002°)
2.34422881531992e+000	(-6.91240582017215e-005dB,-1.79929753544585e+002°)
2.39883291901949e+000	(-6.86235323304970e-005dB,-1.79928117297610e+002°)
2.45470891568503e+000	(-6.80994174396043e-005dB,-1.79926442937773e+002°)
2.51188643150958e+000	(-6.75506018431430e-005dB,-1.79924729577328e+002°)
2.57039578276886e+000	(-6.69759214199875e-005dB,-1.79922976307851e+002°)
2.63026799189538e+000	(-6.63741572126443e-005dB,-1.79921182199761e+002°)
2.69153480392691e+000	(-6.57440328091385e-005dB,-1.79919346301824e+002°)
2.75422870333816e+000	(-6.50842116217213e-005dB,-1.79917467640650e+002°)
