Freq.	V(vo)/V(Vi)
1.00000000000000e+000	(-1.93568301889394e-002dB,1.77005064028473e+002°)
1.02329299228075e+000	(-2.02636023122894e-002dB,1.76935547719856e+002°)
1.04712854805090e+000	(-2.12129429704663e-002dB,1.76864429612179e+002°)
1.07151930523761e+000	(-2.22068423823130e-002dB,1.76791673635286e+002°)
1.09647819614318e+000	(-2.32473830321588e-002dB,1.76717242966707e+002°)
1.12201845430196e+000	(-2.43367438721042e-002dB,1.76641100020319e+002°)
1.14815362149688e+000	(-2.54772047084118e-002dB,1.76563206435165e+002°)
1.17489755493953e+000	(-2.66711507794014e-002dB,1.76483523064480e+002°)
1.20226443461741e+000	(-2.79210775326578e-002dB,1.76402009964940e+002°)
1.23026877081238e+000	(-2.92295956090423e-002dB,1.76318626386199e+002°)
1.25892541179417e+000	(-3.05994360418595e-002dB,1.76233330760723e+002°)
1.28824955169313e+000	(-3.20334556792978e-002dB,1.76146080694001e+002°)
1.31825673855641e+000	(-3.35346428386492e-002dB,1.76056832955150e+002°)
1.34896288259165e+000	(-3.51061232011290e-002dB,1.75965543467987e+002°)
1.38038426460288e+000	(-3.67511659560357e-002dB,1.75872167302618e+002°)
1.41253754462275e+000	(-3.84731902035164e-002dB,1.75776658667596e+002°)
1.44543977074593e+000	(-4.02757716251722e-002dB,1.75678970902727e+002°)
1.47910838816821e+000	(-4.21626494320167e-002dB,1.75579056472581e+002°)
1.51356124843621e+000	(-4.41377335994090e-002dB,1.75476866960792e+002°)
1.54881661891248e+000	(-4.62051123987893e-002dB,1.75372353065215e+002°)
1.58489319246111e+000	(-4.83690602360572e-002dB,1.75265464594035e+002°)
1.62181009735893e+000	(-5.06340458067464e-002dB,1.75156150462919e+002°)
1.65958690743756e+000	(-5.30047405779402e-002dB,1.75044358693294e+002°)
1.69824365246174e+000	(-5.54860276071604e-002dB,1.74930036411874e+002°)
1.73780082874937e+000	(-5.80830107084185e-002dB,1.74813129851538e+002°)
1.77827941003892e+000	(-6.08010239754584e-002dB,1.74693584353665e+002°)
1.81970085860998e+000	(-6.36456416722270e-002dB,1.74571344372078e+002°)
1.86208713666287e+000	(-6.66226885007982e-002dB,1.74446353478704e+002°)
1.90546071796325e+000	(-6.97382502560685e-002dB,1.74318554371104e+002°)
1.94984459975804e+000	(-7.29986848771317e-002dB,1.74187888882032e+002°)
1.99526231496888e+000	(-7.64106339043980e-002dB,1.74054297991156e+002°)
2.04173794466953e+000	(-7.99810343514482e-002dB,1.73917721839151e+002°)
2.08929613085404e+000	(-8.37171309997241e-002dB,1.73778099744295e+002°)
