Freq.	V(vo)/V(Vi)
1.00000000000000e+000	(1.13387812658554e-004dB,-1.79700040668827e+002°)
1.02329299228075e+000	(1.22489684706071e-004dB,-1.79693053964299e+002°)
1.04712854805090e+000	(1.32020497995883e-004dB,-1.79685904536099e+002°)
1.07151930523761e+000	(1.42000466281140e-004dB,-1.79678588595164e+002°)
1.09647819614318e+000	(1.52450755831550e-004dB,-1.79671102264262e+002°)
1.12201845430196e+000	(1.63393530259005e-004dB,-1.79663441575942e+002°)
1.14815362149688e+000	(1.74851997501588e-004dB,-1.79655602470448e+002°)
1.17489755493953e+000	(1.86850459091156e-004dB,-1.79647580793566e+002°)
1.20226443461741e+000	(1.99414361613674e-004dB,-1.79639372294438e+002°)
1.23026877081238e+000	(2.12570350666827e-004dB,-1.79630972623319e+002°)
1.25892541179417e+000	(2.26346327337833e-004dB,-1.79622377329280e+002°)
1.28824955169313e+000	(2.40771507384441e-004dB,-1.79613581857863e+002°)
1.31825673855641e+000	(2.55876483089921e-004dB,-1.79604581548680e+002°)
1.34896288259165e+000	(2.71693288198698e-004dB,-1.79595371632953e+002°)
1.38038426460288e+000	(2.88255465706669e-004dB,-1.79585947231009e+002°)
1.41253754462275e+000	(3.05598139065162e-004dB,-1.79576303349701e+002°)
1.44543977074593e+000	(3.23758086564782e-004dB,-1.79566434879786e+002°)
1.47910838816821e+000	(3.42773819253611e-004dB,-1.79556336593228e+002°)
1.51356124843621e+000	(3.62685662626518e-004dB,-1.79546003140454e+002°)
1.54881661891248e+000	(3.83535842013727e-004dB,-1.79535429047537e+002°)
1.58489319246111e+000	(4.05368572065376e-004dB,-1.79524608713315e+002°)
1.62181009735893e+000	(4.28230150508926e-004dB,-1.79513536406452e+002°)
1.65958690743756e+000	(4.52169056136300e-004dB,-1.79502206262421e+002°)
1.69824365246174e+000	(4.77236051635289e-004dB,-1.79490612280428e+002°)
1.73780082874937e+000	(5.03484291034902e-004dB,-1.79478748320261e+002°)
1.77827941003892e+000	(5.30969432377108e-004dB,-1.79466608099066e+002°)
1.81970085860998e+000	(5.59749755610151e-004dB,-1.79454185188054e+002°)
1.86208713666287e+000	(5.89886286016761e-004dB,-1.79441473009131e+002°)
1.90546071796325e+000	(6.21442923494337e-004dB,-1.79428464831451e+002°)
1.94984459975804e+000	(6.54486577897985e-004dB,-1.79415153767892e+002°)
1.99526231496888e+000	(6.89087310740119e-004dB,-1.79401532771450e+002°)
2.04173794466953e+000	(7.25318483532482e-004dB,-1.79387594631559e+002°)
2.08929613085404e+000	(7.63256913168127e-004dB,-1.79373331970317e+002°)
2.13796208950223e+000	(8.02983034551790e-004dB,-1.79358737238633e+002°)
2.18776162394955e+000	(8.44581070910579e-004dB,-1.79343802712293e+002°)
2.23872113856834e+000	(8.88139212033520e-004dB,-1.79328520487924e+002°)
2.29086765276777e+000	(9.33749801064348e-004dB,-1.79312882478882e+002°)
2.34422881531992e+000	(9.81509529817950e-004dB,-1.79296880411037e+002°)
2.39883291901949e+000	(1.03151964351818e-003dB,-1.79280505818471e+002°)
2.45470891568503e+000	(1.08388615500410e-003dB,-1.79263750039078e+002°)
2.51188643150958e+000	(1.13872006905489e-003dB,-1.79246604210065e+002°)
2.57039578276886e+000	(1.19613761722509e-003dB,-1.79229059263356e+002°)
2.63026799189538e+000	(1.25626050374331e-003dB,-1.79211105920892e+002°)
2.69153480392691e+000	(1.31921616290955e-003dB,-1.79192734689828e+002°)
2.75422870333816e+000	(1.38513802860145e-003dB,-1.79173935857627e+002°)
2.81838293126445e+000	(1.45416581646427e-003dB,-1.79154699487042e+002°)
2.88403150312660e+000	(1.52644581927066e-003dB,-1.79135015410992e+002°)
2.95120922666638e+000	(1.60213121614927e-003dB,-1.79114873227326e+002°)
3.01995172040201e+000	(1.68138239638083e-003dB,-1.79094262293470e+002°)
3.09029543251359e+000	(1.76436729835182e-003dB,-1.79073171720965e+002°)
3.16227766016837e+000	(1.85126176433177e-003dB,-1.79051590369877e+002°)
3.23593656929628e+000	(1.94224991197136e-003dB,-1.79029506843100e+002°)
3.31131121482591e+000	(2.03752452316053e-003dB,-1.79006909480527e+002°)
3.38844156139202e+000	(2.13728745108009e-003dB,-1.78983786353098e+002°)
3.46736850452531e+000	(2.24175004640805e-003dB,-1.78960125256731e+002°)
3.54813389233575e+000	(2.35113360338240e-003dB,-1.78935913706112e+002°)
3.63078054770101e+000	(2.46566982680851e-003dB,-1.78911138928365e+002°)
3.71535229097172e+000	(2.58560132083527e-003dB,-1.78885787856585e+002°)
3.80189396320560e+000	(2.71118210068347e-003dB,-1.78859847123240e+002°)
3.89045144994280e+000	(2.84267812831119e-003dB,-1.78833303053431e+002°)
3.98107170553496e+000	(2.98036787296261e-003dB,-1.78806141658024e+002°)
4.07380277804112e+000	(3.12454289809022e-003dB,-1.78778348626635e+002°)
4.16869383470335e+000	(3.27550847558655e-003dB,-1.78749909320472e+002°)
4.26579518801592e+000	(3.43358422871803e-003dB,-1.78720808765040e+002°)
4.36515832240165e+000	(3.59910480501984e-003dB,-1.78691031642700e+002°)
4.46683592150962e+000	(3.77242058063081e-003dB,-1.78660562285073e+002°)
4.57088189614874e+000	(3.95389839745415e-003dB,-1.78629384665308e+002°)
4.67735141287197e+000	(4.14392233456808e-003dB,-1.78597482390194e+002°)
4.78630092322637e+000	(4.34289451569223e-003dB,-1.78564838692119e+002°)
4.89778819368445e+000	(4.55123595415663e-003dB,-1.78531436420883e+002°)
5.01187233627271e+000	(4.76938743716432e-003dB,-1.78497258035356e+002°)
5.12861383991364e+000	(4.99781045118722e-003dB,-1.78462285594976e+002°)
5.24807460249771e+000	(5.23698815032357e-003dB,-1.78426500751105e+002°)
5.37031796370252e+000	(5.48742636962591e-003dB,-1.78389884738217e+002°)
5.49540873857623e+000	(5.74965468538435e-003dB,-1.78352418364939e+002°)
5.62341325190348e+000	(6.02422752464116e-003dB,-1.78314082004930e+002°)
5.75439937337156e+000	(6.31172532596748e-003dB,-1.78274855587613e+002°)
5.88843655355588e+000	(6.61275575407312e-003dB,-1.78234718588743e+002°)
6.02559586074356e+000	(6.92795497048677e-003dB,-1.78193650020828e+002°)
6.16595001861481e+000	(7.25798896298824e-003dB,-1.78151628423390e+002°)
6.30957344480192e+000	(7.60355493630402e-003dB,-1.78108631853078e+002°)
6.45654229034654e+000	(7.96538276703905e-003dB,-1.78064637873633e+002°)
6.60693448007594e+000	(8.34423652547337e-003dB,-1.78019623545700e+002°)
6.76082975391980e+000	(8.74091606745210e-003dB,-1.77973565416494e+002°)
6.91830970918935e+000	(9.15625869941759e-003dB,-1.77926439509332e+002°)
7.07945784384136e+000	(9.59114091974178e-003dB,-1.77878221313015e+002°)
7.24435960074988e+000	(1.00464802400316e-002dB,-1.77828885771082e+002°)
7.41310241300916e+000	(1.05232370895918e-002dB,-1.77778407270934e+002°)
7.58577575029182e+000	(1.10224168071532e-002dB,-1.77726759632829e+002°)
7.76247116628690e+000	(1.15450717233152e-002dB,-1.77673916098765e+002°)
7.94328234724279e+000	(1.20923033379872e-002dB,-1.77619849321244e+002°)
8.12830516164097e+000	(1.26652645967532e-002dB,-1.77564531351939e+002°)
8.31763771102669e+000	(1.32651622708306e-002dB,-1.77507933630260e+002°)
8.51138038202374e+000	(1.38932594446639e-002dB,-1.77450026971841e+002°)
8.70963589956078e+000	(1.45508781162639e-002dB,-1.77390781556942e+002°)
8.91250938133743e+000	(1.52394019148583e-002dB,-1.77330166918799e+002°)
9.12010839355907e+000	(1.59602789410874e-002dB,-1.77268151931915e+002°)
9.33254300796988e+000	(1.67150247348124e-002dB,-1.77204704800315e+002°)
9.54992586021433e+000	(1.75052253760974e-002dB,-1.77139793045786e+002°)
9.77237220955808e+000	(1.83325407250178e-002dB,-1.77073383496107e+002°)
9.99999999999997e+000	(1.91987078060295e-002dB,-1.77005442273296e+002°)
1.02329299228075e+001	(2.01055443429453e-002dB,-1.76935934781892e+002°)
1.04712854805090e+001	(2.10549524509943e-002dB,-1.76864825697290e+002°)
1.07151930523760e+001	(2.20489224921576e-002dB,-1.76792078954165e+002°)
1.09647819614318e+001	(2.30895371007078e-002dB,-1.76717657734992e+002°)
1.12201845430196e+001	(2.41789753856770e-002dB,-1.76641524458710e+002°)
1.14815362149688e+001	(2.53195173177337e-002dB,-1.76563640769547e+002°)
1.17489755493953e+001	(2.65135483073336e-002dB,-1.76483967526042e+002°)
1.20226443461741e+001	(2.77635639823010e-002dB,-1.76402464790308e+002°)
1.23026877081238e+001	(2.90721751722566e-002dB,-1.76319091817561e+002°)
1.25892541179416e+001	(3.04421131081712e-002dB,-1.76233807045966e+002°)
1.28824955169313e+001	(3.18762348452322e-002dB,-1.76146568086847e+002°)
1.31825673855640e+001	(3.33775289174957e-002dB,-1.76057331715293e+002°)
1.34896288259165e+001	(3.49491212331362e-002dB,-1.75966053861242e+002°)
1.38038426460288e+001	(3.65942812191485e-002dB,-1.75872689601064e+002°)
1.41253754462275e+001	(3.83164282246172e-002dB,-1.75777193149729e+002°)
1.44543977074592e+001	(4.01191381917692e-002dB,-1.75679517853616e+002°)
1.47910838816820e+001	(4.20061506045993e-002dB,-1.75579616184027e+002°)
1.51356124843620e+001	(4.39813757243057e-002dB,-1.75477439731490e+002°)
1.54881661891248e+001	(4.60489021216709e-002dB,-1.75372939200922e+002°)
1.58489319246111e+001	(4.82130045160575e-002dB,-1.75266064407745e+002°)
1.62181009735892e+001	(5.04781519312605e-002dB,-1.75156764275033e+002°)
1.65958690743755e+001	(5.28490161781305e-002dB,-1.75044986831808e+002°)
1.69824365246174e+001	(5.53304806742078e-002dB,-1.74930679212563e+002°)
1.73780082874937e+001	(5.79276496104749e-002dB,-1.74813787658144e+002°)
1.77827941003892e+001	(6.06458574754684e-002dB,-1.74694257518099e+002°)
1.81970085860998e+001	(6.34906789466213e-002dB,-1.74572033254616e+002°)
1.86208713666286e+001	(6.64679391589513e-002dB,-1.74447058448199e+002°)
1.90546071796324e+001	(6.95837243607858e-002dB,-1.74319275805196e+002°)
1.94984459975804e+001	(7.28443929660857e-002dB,-1.74188627167366e+002°)
1.99526231496887e+001	(7.62565870125653e-002dB,-1.74055053523611e+002°)
2.04173794466952e+001	(7.98272440345466e-002dB,-1.73918495024066e+002°)
2.08929613085403e+001	(8.35636093588956e-002dB,-1.73778890996712e+002°)
2.13796208950222e+001	(8.74732488320416e-002dB,-1.73636179966712e+002°)
2.18776162394954e+001	(9.15640619850134e-002dB,-1.73490299678666e+002°)
2.23872113856833e+001	(9.58442956434303e-002dB,-1.73341187121996e+002°)
2.29086765276776e+001	(1.00322557987627e-001dB,-1.73188778559689e+002°)
2.34422881531991e+001	(1.05007833067872e-001dB,-1.73033009560630e+002°)
2.39883291901948e+001	(1.09909495777949e-001dB,-1.72873815035775e+002°)
2.45470891568502e+001	(1.15037327289619e-001dB,-1.72711129278428e+002°)
2.51188643150957e+001	(1.20401530948381e-001dB,-1.72544886008883e+002°)
2.57039578276885e+001	(1.26012748630101e-001dB,-1.72375018423739e+002°)
2.63026799189537e+001	(1.31882077555746e-001dB,-1.72201459250169e+002°)
2.69153480392690e+001	(1.38021087559504e-001dB,-1.72024140805461e+002°)
2.75422870333815e+001	(1.44441838803835e-001dB,-1.71842995062174e+002°)
2.81838293126444e+001	(1.51156899931904e-001dB,-1.71657953719220e+002°)
2.88403150312659e+001	(1.58179366645772e-001dB,-1.71468948279259e+002°)
2.95120922666637e+001	(1.65522880695424e-001dB,-1.71275910132746e+002°)
3.01995172040200e+001	(1.73201649260705e-001dB,-1.71078770649033e+002°)
3.09029543251358e+001	(1.81230464704857e-001dB,-1.70877461274899e+002°)
3.16227766016837e+001	(1.89624724674271e-001dB,-1.70671913640927e+002°)
3.23593656929627e+001	(1.98400452515503e-001dB,-1.70462059676135e+002°)
3.31131121482590e+001	(2.07574317975824e-001dB,-1.70247831731289e+002°)
3.38844156139201e+001	(2.17163658149176e-001dB,-1.70029162711331e+002°)
3.46736850452530e+001	(2.27186498624230e-001dB,-1.69805986217361e+002°)
3.54813389233574e+001	(2.37661574786065e-001dB,-1.69578236698627e+002°)
3.63078054770100e+001	(2.48608353217190e-001dB,-1.69345849614962e+002°)
3.71535229097171e+001	(2.60047053137705e-001dB,-1.69108761610134e+002°)
3.80189396320559e+001	(2.71998667818074e-001dB,-1.68866910696543e+002°)
3.89045144994279e+001	(2.84484985891447e-001dB,-1.68620236451735e+002°)
3.98107170553495e+001	(2.97528612485181e-001dB,-1.68368680227153e+002°)
4.07380277804111e+001	(3.11152990084554e-001dB,-1.68112185369563e+002°)
4.16869383470333e+001	(3.25382419033635e-001dB,-1.67850697455582e+002°)
4.26579518801591e+001	(3.40242077571056e-001dB,-1.67584164539683e+002°)
4.36515832240164e+001	(3.55758041290081e-001dB,-1.67312537416077e+002°)
4.46683592150961e+001	(3.71957301904932e-001dB,-1.67035769894797e+002°)
