Freq.	V(vout)
Step Information: Run=1  (Run: 1/50)
1.00000000000000e+002	(-4.62890408426323e-003dB,-1.81518547771707e+000°)
1.00770481413610e+002	(-4.69618607266477e-003dB,-1.82916170585719e+000°)
1.01546899243308e+002	(-4.76450777898643e-003dB,-1.84324539856543e+000°)
1.02329299228075e+002	(-4.83388525340505e-003dB,-1.85743737872659e+000°)
1.03117727459306e+002	(-4.90433479333829e-003dB,-1.87173847544687e+000°)
1.03912230383517e+002	(-4.97587294722204e-003dB,-1.88614952409909e+000°)
1.04712854805090e+002	(-5.04851651840743e-003dB,-1.90067136636813e+000°)
1.05519647889024e+002	(-5.12228256903673e-003dB,-1.91530485029671e+000°)
1.06332657163716e+002	(-5.19718842401084e-003dB,-1.93005083033140e+000°)
1.07151930523761e+002	(-5.27325167502453e-003dB,-1.94491016736895e+000°)
1.07977516232771e+002	(-5.35049018465093e-003dB,-1.95988372880289e+000°)
1.08809462926223e+002	(-5.42892209051883e-003dB,-1.97497238857046e+000°)
1.09647819614319e+002	(-5.50856580949114e-003dB,-1.99017702719972e+000°)
1.10492635684876e+002	(-5.58944004194195e-003dB,-2.00549853185713e+000°)
1.11343960906236e+002	(-5.67156377614970e-003dB,-2.02093779639520e+000°)
1.12201845430196e+002	(-5.75495629265491e-003dB,-2.03649572140063e+000°)
1.13066339794964e+002	(-5.83963716877358e-003dB,-2.05217321424262e+000°)
1.13937494928134e+002	(-5.92562628309173e-003dB,-2.06797118912147e+000°)
1.14815362149688e+002	(-6.01294382013111e-003dB,-2.08389056711757e+000°)
1.15699993175021e+002	(-6.10161027500762e-003dB,-2.09993227624055e+000°)
1.16591440117983e+002	(-6.19164645818684e-003dB,-2.11609725147886e+000°)
1.17489755493953e+002	(-6.28307350032778e-003dB,-2.13238643484947e+000°)
1.18394992222930e+002	(-6.37591285712350e-003dB,-2.14880077544807e+000°)
1.19307203632654e+002	(-6.47018631435073e-003dB,-2.16534122949936e+000°)
1.20226443461742e+002	(-6.56591599287290e-003dB,-2.18200876040778e+000°)
1.21152765862859e+002	(-6.66312435377430e-003dB,-2.19880433880847e+000°)
1.22086225405907e+002	(-6.76183420355663e-003dB,-2.21572894261849e+000°)
1.23026877081238e+002	(-6.86206869942824e-003dB,-2.23278355708844e+000°)
1.23974776302895e+002	(-6.96385135466462e-003dB,-2.24996917485423e+000°)
1.24929978911874e+002	(-7.06720604403265e-003dB,-2.26728679598928e+000°)
