Freq.	V(vout)
Step Information: Run=1  (Run: 1/100)
1.00000000000000e+003	(8.91475198889383e-002dB,-3.27218885378629e+001°)
1.00770481413610e+003	(9.02848024796230e-002dB,-3.29864960354974e+001°)
1.01546899243308e+003	(9.14305812463527e-002dB,-3.32534464541623e+001°)
1.02329299228075e+003	(9.25846428259554e-002dB,-3.35227653600979e+001°)
1.03117727459306e+003	(9.37467569212513e-002dB,-3.37944787031416e+001°)
1.03912230383517e+003	(9.49166754794263e-002dB,-3.40686128241657e+001°)
1.04712854805090e+003	(9.60941318342956e-002dB,-3.43451944626630e+001°)
1.05519647889024e+003	(9.72788398107095e-002dB,-3.46242507644812e+001°)
1.06332657163716e+003	(9.84704927894907e-002dB,-3.49058092897074e+001°)
1.07151930523761e+003	(9.96687627311766e-002dB,-3.51898980207047e+001°)
1.07977516232771e+003	(1.00873299156929e-001dB,-3.54765453703003e+001°)
1.08809462926223e+003	(1.02083728084624e-001dB,-3.57657801901278e+001°)
1.09647819614319e+003	(1.03299650918358e-001dB,-3.60576317791229e+001°)
1.10492635684876e+003	(1.04520643289181e-001dB,-3.63521298921742e+001°)
1.11343960906236e+003	(1.05746253845320e-001dB,-3.66493047489275e+001°)
1.12201845430197e+003	(1.06976002989247e-001dB,-3.69491870427461e+001°)
1.13066339794964e+003	(1.08209381559921e-001dB,-3.72518079498247e+001°)
1.13937494928134e+003	(1.09445849457345e-001dB,-3.75571991384565e+001°)
1.14815362149688e+003	(1.10684834207462e-001dB,-3.78653927784540e+001°)
1.15699993175021e+003	(1.11925729464437e-001dB,-3.81764215507208e+001°)
1.16591440117983e+003	(1.13167893448145e-001dB,-3.84903186569721e+001°)
1.17489755493953e+003	(1.14410647313744e-001dB,-3.88071178296045e+001°)
1.18394992222930e+003	(1.15653273450840e-001dB,-3.91268533417088e+001°)
1.19307203632654e+003	(1.16895013708966e-001dB,-3.94495600172259e+001°)
1.20226443461742e+003	(1.18135067546703e-001dB,-3.97752732412398e+001°)
1.21152765862859e+003	(1.19372590100960e-001dB,-4.01040289704046e+001°)
1.22086225405907e+003	(1.20606690173169e-001dB,-4.04358637435008e+001°)
1.23026877081238e+003	(1.21836428129332e-001dB,-4.07708146921138e+001°)
1.23974776302895e+003	(1.23060813709836e-001dB,-4.11089195514301e+001°)
1.24929978911874e+003	(1.24278803745781e-001dB,-4.14502166711426e+001°)
1.25892541179417e+003	(1.25489299777927e-001dB,-4.17947450264577e+001°)
