Freq.	V(vout)
Step Information: Run=1  (Run: 1/50)
1.00000000000000e+002	(-9.97830361672781e-004dB,-3.55625355301438e+000°)
1.00770481413610e+002	(-1.00469624638834e-003dB,-3.58366074936828e+000°)
1.01546899243308e+002	(-1.01166817664305e-003dB,-3.61127927466914e+000°)
1.02329299228075e+002	(-1.01874778787428e-003dB,-3.63911076094369e+000°)
1.03117727459306e+002	(-1.02593674066393e-003dB,-3.66715685288155e+000°)
1.03912230383517e+002	(-1.03323672109660e-003dB,-3.69541920793492e+000°)
1.04712854805090e+002	(-1.04064944122574e-003dB,-3.72389949641902e+000°)
1.05519647889024e+002	(-1.04817663938833e-003dB,-3.75259940161338e+000°)
1.06332657163716e+002	(-1.05582008064990e-003dB,-3.78152061986394e+000°)
1.07151930523761e+002	(-1.06358155719834e-003dB,-3.81066486068604e+000°)
1.07977516232771e+002	(-1.07146288879559e-003dB,-3.84003384686820e+000°)
1.08809462926223e+002	(-1.07946592313397e-003dB,-3.86962931457680e+000°)
1.09647819614319e+002	(-1.08759253629751e-003dB,-3.89945301346159e+000°)
1.10492635684876e+002	(-1.09584463321660e-003dB,-3.92950670676205e+000°)
1.11343960906236e+002	(-1.10422414806483e-003dB,-3.95979217141475e+000°)
1.12201845430196e+002	(-1.11273304472810e-003dB,-3.99031119816142e+000°)
1.13066339794964e+002	(-1.12137331726414e-003dB,-4.02106559165808e+000°)
1.13937494928134e+002	(-1.13014699037265e-003dB,-4.05205717058495e+000°)
1.14815362149688e+002	(-1.13905611979408e-003dB,-4.08328776775733e+000°)
1.15699993175021e+002	(-1.14810279289261e-003dB,-4.11475923023741e+000°)
1.16591440117983e+002	(-1.15728912903864e-003dB,-4.14647341944701e+000°)
1.17489755493953e+002	(-1.16661728015217e-003dB,-4.17843221128118e+000°)
1.18394992222930e+002	(-1.17608943119530e-003dB,-4.21063749622288e+000°)
1.19307203632654e+002	(-1.18570780063469e-003dB,-4.24309117945851e+000°)
1.20226443461742e+002	(-1.19547464100826e-003dB,-4.27579518099443e+000°)
1.21152765862859e+002	(-1.20539223942051e-003dB,-4.30875143577454e+000°)
1.22086225405907e+002	(-1.21546291806975e-003dB,-4.34196189379864e+000°)
1.23026877081238e+002	(-1.22568903473766e-003dB,-4.37542852024207e+000°)
1.23974776302895e+002	(-1.23607298341393e-003dB,-4.40915329557607e+000°)
1.24929978911874e+002	(-1.24661719483699e-003dB,-4.44313821568937e+000°)
1.25892541179417e+002	(-1.25732413693450e-003dB,-4.47738529201065e+000°)
1.26862519810326e+002	(-1.26819631555026e-003dB,-4.51189655163217e+000°)
1.27839971946303e+002	(-1.27923627491557e-003dB,-4.54667403743428e+000°)
1.28824955169314e+002	(-1.29044659827401e-003dB,-4.58171980821117e+000°)
1.29817527504985e+002	(-1.30182990848205e-003dB,-4.61703593879751e+000°)
1.30817747426020e+002	(-1.31338886857695e-003dB,-4.65262452019632e+000°)
1.31825673855641e+002	(-1.32512618240445e-003dB,-4.68848765970776e+000°)
1.32841366171065e+002	(-1.33704459525427e-003dB,-4.72462748105916e+000°)
1.33864884207000e+002	(-1.34914689447045e-003dB,-4.76104612453610e+000°)
1.34896288259166e+002	(-1.36143591008976e-003dB,-4.79774574711457e+000°)
1.35935639087853e+002	(-1.37391451551485e-003dB,-4.83472852259436e+000°)
1.36982997921497e+002	(-1.38658562813247e-003dB,-4.87199664173345e+000°)
1.38038426460289e+002	(-1.39945221000301e-003dB,-4.90955231238369e+000°)
1.39101986879806e+002	(-1.41251726856466e-003dB,-4.94739775962754e+000°)
1.40173741834677e+002	(-1.42578385726806e-003dB,-4.98553522591605e+000°)
1.41253754462276e+002	(-1.43925507630070e-003dB,-5.02396697120801e+000°)
1.42342088386435e+002	(-1.45293407333457e-003dB,-5.06269527311029e+000°)
1.43438807721197e+002	(-1.46682404416667e-003dB,-5.10172242701934e+000°)
1.44543977074593e+002	(-1.48092823349952e-003dB,-5.14105074626408e+000°)
1.45657661552446e+002	(-1.49524993568690e-003dB,-5.18068256224983e+000°)
1.46779926762207e+002	(-1.50979249545364e-003dB,-5.22062022460360e+000°)
1.47910838816821e+002	(-1.52455930869450e-003dB,-5.26086610132063e+000°)
1.49050464338620e+002	(-1.53955382321333e-003dB,-5.30142257891217e+000°)
1.50198870463249e+002	(-1.55477953955579e-003dB,-5.34229206255464e+000°)
1.51356124843621e+002	(-1.57024001173702e-003dB,-5.38347697623994e+000°)
1.52522295653902e+002	(-1.58593884813327e-003dB,-5.42497976292723e+000°)
1.53697451593528e+002	(-1.60187971223474e-003dB,-5.46680288469596e+000°)
1.54881661891249e+002	(-1.61806632354408e-003dB,-5.50894882290026e+000°)
1.56074996309212e+002	(-1.63450245833797e-003dB,-5.55142007832469e+000°)
1.57277525147067e+002	(-1.65119195060623e-003dB,-5.59421917134136e+000°)
1.58489319246112e+002	(-1.66813869290997e-003dB,-5.63734864206847e+000°)
1.59710449993461e+002	(-1.68534663720314e-003dB,-5.68081105053022e+000°)
1.60940989326254e+002	(-1.70281979580458e-003dB,-5.72460897681811e+000°)
1.62181009735894e+002	(-1.72056224231902e-003dB,-5.76874502125383e+000°)
1.63430584272314e+002	(-1.73857811242988e-003dB,-5.81322180455331e+000°)
1.64689786548288e+002	(-1.75687160501711e-003dB,-5.85804196799258e+000°)
1.65958690743757e+002	(-1.77544698299158e-003dB,-5.90320817357485e+000°)
1.67237371610209e+002	(-1.79430857430603e-003dB,-5.94872310419923e+000°)
1.68525904475076e+002	(-1.81346077290241e-003dB,-5.99458946383088e+000°)
1.69824365246175e+002	(-1.83290803977216e-003dB,-6.04080997767280e+000°)
1.71132830416179e+002	(-1.85265490387666e-003dB,-6.08738739233905e+000°)
1.72451377067121e+002	(-1.87270596326069e-003dB,-6.13432447602962e+000°)
1.73780082874938e+002	(-1.89306588602518e-003dB,-6.18162401870688e+000°)
1.75119026114047e+002	(-1.91373941142919e-003dB,-6.22928883227357e+000°)
1.76468285661951e+002	(-1.93473135093321e-003dB,-6.27732175075252e+000°)
1.77827941003893e+002	(-1.95604658931774e-003dB,-6.32572563046791e+000°)
1.79198072237534e+002	(-1.97769008573154e-003dB,-6.37450335022823e+000°)
1.80578760077673e+002	(-1.99966687488661e-003dB,-6.42365781151098e+000°)
1.81970085860999e+002	(-2.02198206811432e-003dB,-6.47319193864892e+000°)
1.83372131550889e+002	(-2.04464085458658e-003dB,-6.52310867901822e+000°)
1.84784979742230e+002	(-2.06764850247251e-003dB,-6.57341100322826e+000°)
1.86208713666288e+002	(-2.09101036006623e-003dB,-6.62410190531308e+000°)
1.87643417195610e+002	(-2.11473185706523e-003dB,-6.67518440292490e+000°)
1.89089174848965e+002	(-2.13881850578716e-003dB,-6.72666153752909e+000°)
1.90546071796326e+002	(-2.16327590238758e-003dB,-6.77853637460133e+000°)
1.92014193863881e+002	(-2.18810972809820e-003dB,-6.83081200382630e+000°)
1.93493627539096e+002	(-2.21332575055486e-003dB,-6.88349153929835e+000°)
1.94984459975806e+002	(-2.23892982506678e-003dB,-6.93657811972423e+000°)
1.96486778999348e+002	(-2.26492789593424e-003dB,-6.99007490862745e+000°)
1.98000673111740e+002	(-2.29132599783381e-003dB,-7.04398509455481e+000°)
1.99526231496889e+002	(-2.31813025705327e-003dB,-7.09831189128469e+000°)
2.01063544025850e+002	(-2.34534689301797e-003dB,-7.15305853803763e+000°)
2.02612701262116e+002	(-2.37298221958969e-003dB,-7.20822829968853e+000°)
2.04173794466954e+002	(-2.40104264651415e-003dB,-7.26382446698121e+000°)
2.05746915604785e+002	(-2.42953468086196e-003dB,-7.31985035674488e+000°)
2.07332157348597e+002	(-2.45846492847930e-003dB,-7.37630931211278e+000°)
2.08929613085405e+002	(-2.48784009547933e-003dB,-7.43320470274281e+000°)
2.10539376921756e+002	(-2.51766698975494e-003dB,-7.49053992504048e+000°)
2.12161543689270e+002	(-2.54795252247816e-003dB,-7.54831840238390e+000°)
2.13796208950225e+002	(-2.57870370967691e-003dB,-7.60654358535100e+000°)
