Freq.	V(vout)
Step Information: Run=1  (Run: 1/100)
1.00000000000000e+003	(5.54191608718762e-002dB,-3.50833925916717e+001°)
1.00770481413610e+003	(5.60379399303313e-002dB,-3.53667119931353e+001°)
1.01546899243308e+003	(5.66568414814210e-002dB,-3.56525358517484e+001°)
1.02329299228075e+003	(5.72754904585772e-002dB,-3.59408915544071e+001°)
1.03117727459306e+003	(5.78934903803447e-002dB,-3.62318069035958e+001°)
1.03912230383517e+003	(5.85104223536650e-002dB,-3.65253101255381e+001°)
1.04712854805090e+003	(5.91258440332244e-002dB,-3.68214298785049e+001°)
1.05519647889024e+003	(5.97392885344961e-002dB,-3.71201952612821e+001°)
1.06332657163716e+003	(6.03502632988758e-002dB,-3.74216358217972e+001°)
1.07151930523761e+003	(6.09582489085330e-002dB,-3.77257815659057e+001°)
1.07977516232771e+003	(6.15626978489655e-002dB,-3.80326629663379e+001°)
1.08809462926223e+003	(6.21630332169848e-002dB,-3.83423109718063e+001°)
1.09647819614319e+003	(6.27586473717827e-002dB,-3.86547570162717e+001°)
1.10492635684876e+003	(6.33489005265734e-002dB,-3.89700330283697e+001°)
1.11343960906236e+003	(6.39331192783554e-002dB,-3.92881714409944e+001°)
1.12201845430197e+003	(6.45105950731899e-002dB,-3.96092052010396e+001°)
1.13066339794964e+003	(6.50805826040358e-002dB,-3.99331677792947e+001°)
1.13937494928134e+003	(6.56422981385761e-002dB,-4.02600931804933e+001°)
1.14815362149688e+003	(6.61949177738369e-002dB,-4.05900159535118e+001°)
1.15699993175021e+003	(6.67375756146703e-002dB,-4.09229712017142e+001°)
1.16591440117983e+003	(6.72693618727558e-002dB,-4.12589945934407e+001°)
1.17489755493953e+003	(6.77893208829361e-002dB,-4.15981223726332e+001°)
1.18394992222930e+003	(6.82964490333764e-002dB,-4.19403913695948e+001°)
1.19307203632654e+003	(6.87896926059016e-002dB,-4.22858390118751e+001°)
1.20226443461742e+003	(6.92679455229665e-002dB,-4.26345033352775e+001°)
1.21152765862859e+003	(6.97300469971721e-002dB,-4.29864229949775e+001°)
1.22086225405907e+003	(7.01747790796482e-002dB,-4.33416372767458e+001°)
1.23026877081238e+003	(7.06008641028910e-002dB,-4.37001861082656e+001°)
1.23974776302895e+003	(7.10069620138910e-002dB,-4.40621100705344e+001°)
1.24929978911874e+003	(7.13916675931850e-002dB,-4.44274504093370e+001°)
1.25892541179417e+003	(7.17535075552336e-002dB,-4.47962490467784e+001°)
1.26862519810326e+003	(7.20909375253026e-002dB,-4.51685485928606e+001°)
1.27839971946303e+003	(7.24023388881662e-002dB,-4.55443923570895e+001°)
1.28824955169314e+003	(7.26860155033657e-002dB,-4.59238243600919e+001°)
1.29817527504985e+003	(7.29401902820529e-002dB,-4.63068893452264e+001°)
1.30817747426020e+003	(7.31630016199815e-002dB,-4.66936327901662e+001°)
1.31825673855641e+003	(7.33524996811642e-002dB,-4.70841009184306e+001°)
1.32841366171065e+003	(7.35066425264363e-002dB,-4.74783407108417e+001°)
