Freq.	V(vout)
Step Information: Run=1  (Run: 1/50)
1.00000000000000e+003	(-4.51773667764779e-002dB,-3.60606640357042e+001°)
1.00770481413610e+003	(-4.59272482230476e-002dB,-3.63472075928335e+001°)
1.01546899243308e+003	(-4.66923695661861e-002dB,-3.66361864302174e+001°)
1.02329299228075e+003	(-4.74731629806718e-002dB,-3.69276254588607e+001°)
1.03117727459306e+003	(-4.82700772867668e-002dB,-3.72215499510820e+001°)
1.03912230383517e+003	(-4.90835786935584e-002dB,-3.75179855478612e+001°)
1.04712854805090e+003	(-4.99141515768594e-002dB,-3.78169582663497e+001°)
1.05519647889024e+003	(-5.07622992931679e-002dB,-3.81184945075470e+001°)
1.06332657163716e+003	(-5.16285450312998e-002dB,-3.84226210641439e+001°)
1.07151930523761e+003	(-5.25134327036253e-002dB,-3.87293651285365e+001°)
1.07977516232771e+003	(-5.34175278783107e-002dB,-3.90387543010106e+001°)
1.08809462926223e+003	(-5.43414187549476e-002dB,-3.93508165981013e+001°)
1.09647819614319e+003	(-5.52857171852090e-002dB,-3.96655804611264e+001°)
1.10492635684876e+003	(-5.62510597405591e-002dB,-3.99830747648974e+001°)
1.11343960906236e+003	(-5.72381088293578e-002dB,-4.03033288266075e+001°)
1.12201845430197e+003	(-5.82475538655296e-002dB,-4.06263724149003e+001°)
1.13066339794964e+003	(-5.92801124908853e-002dB,-4.09522357591154e+001°)
1.13937494928134e+003	(-6.03365318539494e-002dB,-4.12809495587174e+001°)
1.14815362149688e+003	(-6.14175899473652e-002dB,-4.16125449929029e+001°)
1.15699993175021e+003	(-6.25240970068541e-002dB,-4.19470537303887e+001°)
1.16591440117983e+003	(-6.36568969743368e-002dB,-4.22845079393802e+001°)
1.17489755493953e+003	(-6.48168690279696e-002dB,-4.26249402977173e+001°)
1.18394992222930e+003	(-6.60049291822555e-002dB,-4.29683840031986e+001°)
1.19307203632654e+003	(-6.72220319612369e-002dB,-4.33148727840811e+001°)
1.20226443461742e+003	(-6.84691721479481e-002dB,-4.36644409097524e+001°)
1.21152765862859e+003	(-6.97473866135117e-002dB,-4.40171232015737e+001°)
1.22086225405907e+003	(-7.10577562294135e-002dB,-4.43729550438886e+001°)
1.23026877081238e+003	(-7.24014078664585e-002dB,-4.47319723951944e+001°)
1.23974776302895e+003	(-7.37795164842659e-002dB,-4.50942117994709e+001°)
