Freq.	V(vout)
Step Information: Run=1  (Run: 1/50)
1.00000000000000e+002	(3.63095956317214e-003dB,-1.74106785910919e+000°)
1.00770481413610e+002	(3.69137389845248e-003dB,-1.75449882580769e+000°)
1.01546899243308e+002	(3.75272187869410e-003dB,-1.76803365687685e+000°)
1.02329299228075e+002	(3.81501791819598e-003dB,-1.78167316145860e+000°)
1.03117727459306e+002	(3.87827665336773e-003dB,-1.79541815513641e+000°)
1.03912230383517e+002	(3.94251294611580e-003dB,-1.80926945998967e+000°)
1.04712854805090e+002	(4.00774188730597e-003dB,-1.82322790464874e+000°)
1.05519647889024e+002	(4.07397880027125e-003dB,-1.83729432435044e+000°)
1.06332657163716e+002	(4.14123924439235e-003dB,-1.85146956099421e+000°)
1.07151930523761e+002	(4.20953901869841e-003dB,-1.86575446319864e+000°)
1.07977516232771e+002	(4.27889416554587e-003dB,-1.88014988635877e+000°)
1.08809462926223e+002	(4.34932097438136e-003dB,-1.89465669270376e+000°)
1.09647819614319e+002	(4.42083598547656e-003dB,-1.90927575135532e+000°)
1.10492635684876e+002	(4.49345599379904e-003dB,-1.92400793838657e+000°)
1.11343960906236e+002	(4.56719805293992e-003dB,-1.93885413688156e+000°)
1.12201845430196e+002	(4.64207947904625e-003dB,-1.95381523699540e+000°)
1.13066339794964e+002	(4.71811785481412e-003dB,-1.96889213601494e+000°)
1.13937494928134e+002	(4.79533103365600e-003dB,-1.98408573842015e+000°)
1.14815362149688e+002	(4.87373714378220e-003dB,-1.99939695594600e+000°)
1.15699993175021e+002	(4.95335459241416e-003dB,-2.01482670764512e+000°)
1.16591440117983e+002	(5.03420207008718e-003dB,-2.03037591995092e+000°)
1.17489755493953e+002	(5.11629855495377e-003dB,-2.04604552674156e+000°)
1.18394992222930e+002	(5.19966331720539e-003dB,-2.06183646940437e+000°)
1.19307203632654e+002	(5.28431592355441e-003dB,-2.07774969690112e+000°)
1.20226443461742e+002	(5.37027624173024e-003dB,-2.09378616583381e+000°)
1.21152765862859e+002	(5.45756444511669e-003dB,-2.10994684051127e+000°)
1.22086225405907e+002	(5.54620101741873e-003dB,-2.12623269301633e+000°)
1.23026877081238e+002	(5.63620675742031e-003dB,-2.14264470327381e+000°)
1.23974776302895e+002	(5.72760278378308e-003dB,-2.15918385911914e+000°)
1.24929978911874e+002	(5.82041053993791e-003dB,-2.17585115636771e+000°)
1.25892541179417e+002	(5.91465179905202e-003dB,-2.19264759888501e+000°)
1.26862519810326e+002	(6.01034866909072e-003dB,-2.20957419865745e+000°)
1.27839971946303e+002	(6.10752359790057e-003dB,-2.22663197586391e+000°)
1.28824955169314e+002	(6.20619937840840e-003dB,-2.24382195894820e+000°)
1.29817527504985e+002	(6.30639915389747e-003dB,-2.26114518469207e+000°)
1.30817747426020e+002	(6.40814642337812e-003dB,-2.27860269828917e+000°)
1.31825673855641e+002	(6.51146504696040e-003dB,-2.29619555341982e+000°)
1.32841366171065e+002	(6.61637925142888e-003dB,-2.31392481232640e+000°)
1.33864884207000e+002	(6.72291363580589e-003dB,-2.33179154588982e+000°)
1.34896288259166e+002	(6.83109317702432e-003dB,-2.34979683370655e+000°)
1.35935639087853e+002	(6.94094323572354e-003dB,-2.36794176416673e+000°)
1.36982997921497e+002	(7.05248956205078e-003dB,-2.38622743453302e+000°)
1.38038426460289e+002	(7.16575830166443e-003dB,-2.40465495102026e+000°)
1.39101986879806e+002	(7.28077600169646e-003dB,-2.42322542887616e+000°)
1.40173741834677e+002	(7.39756961692038e-003dB,-2.44193999246278e+000°)
1.41253754462276e+002	(7.51616651593800e-003dB,-2.46079977533892e+000°)
1.42342088386435e+002	(7.63659448747135e-003dB,-2.47980592034346e+000°)
1.43438807721197e+002	(7.75888174680035e-003dB,-2.49895957967964e+000°)
1.44543977074593e+002	(7.88305694221307e-003dB,-2.51826191500029e+000°)
1.45657661552446e+002	(8.00914916163232e-003dB,-2.53771409749396e+000°)
1.46779926762207e+002	(8.13718793926627e-003dB,-2.55731730797210e+000°)
1.47910838816821e+002	(8.26720326243711e-003dB,-2.57707273695720e+000°)
1.49050464338620e+002	(8.39922557844900e-003dB,-2.59698158477193e+000°)
1.50198870463249e+002	(8.53328580156447e-003dB,-2.61704506162938e+000°)
1.51356124843621e+002	(8.66941532015090e-003dB,-2.63726438772417e+000°)
1.52522295653902e+002	(8.80764600385058e-003dB,-2.65764079332479e+000°)
1.53697451593528e+002	(8.94801021087235e-003dB,-2.67817551886696e+000°)
1.54881661891249e+002	(9.09054079546459e-003dB,-2.69886981504793e+000°)
1.56074996309212e+002	(9.23527111540374e-003dB,-2.71972494292221e+000°)
1.57277525147067e+002	(9.38223503963872e-003dB,-2.74074217399800e+000°)
1.58489319246112e+002	(9.53146695608943e-003dB,-2.76192279033518e+000°)
1.59710449993461e+002	(9.68300177942370e-003dB,-2.78326808464417e+000°)
1.60940989326254e+002	(9.83687495916518e-003dB,-2.80477936038600e+000°)
1.62181009735894e+002	(9.99312248771986e-003dB,-2.82645793187378e+000°)
1.63430584272314e+002	(1.01517809085848e-002dB,-2.84830512437511e+000°)
1.64689786548288e+002	(1.03128873248007e-002dB,-2.87032227421588e+000°)
1.65958690743757e+002	(1.04764794072940e-002dB,-2.89251072888536e+000°)
