Freq.	V(vout)
1.00000000000000e+003	(-2.39016633288729e-003dB,-3.50183770930149e+001°)
1.00770481413610e+003	(-2.51373367438702e-003dB,-3.52978228158522e+001°)
1.01546899243308e+003	(-2.64379822909235e-003dB,-3.55796684707877e+001°)
1.02329299228075e+003	(-2.78067951318609e-003dB,-3.58639390712002e+001°)
1.03117727459306e+003	(-2.92471237095609e-003dB,-3.61506599992443e+001°)
1.03912230383517e+003	(-3.07624770088901e-003dB,-3.64398570133759e+001°)
1.04712854805090e+003	(-3.23565321552053e-003dB,-3.67315562560459e+001°)
1.05519647889024e+003	(-3.40331423700210e-003dB,-3.70257842615644e+001°)
1.06332657163716e+003	(-3.57963452977756e-003dB,-3.73225679641388e+001°)
1.07151930523761e+003	(-3.76503717218914e-003dB,-3.76219347060866e+001°)
1.07977516232771e+003	(-3.95996546878834e-003dB,-3.79239122462276e+001°)
1.08809462926223e+003	(-4.16488390513328e-003dB,-3.82285287684541e+001°)
1.09647819614319e+003	(-4.38027914712827e-003dB,-3.85358128904851e+001°)
1.10492635684876e+003	(-4.60666108686613e-003dB,-3.88457936728036e+001°)
1.11343960906236e+003	(-4.84456393711306e-003dB,-3.91585006277789e+001°)
1.12201845430197e+003	(-5.09454737656908e-003dB,-3.94739637289773e+001°)
1.13066339794964e+003	(-5.35719774841533e-003dB,-3.97922134206597e+001°)
1.13937494928134e+003	(-5.63312931425028e-003dB,-4.01132806274694e+001°)
1.14815362149688e+003	(-5.92298556622344e-003dB,-4.04371967643087e+001°)
1.15699993175021e+003	(-6.22744059972718e-003dB,-4.07639937464076e+001°)
1.16591440117983e+003	(-6.54720054957657e-003dB,-4.10937039995807e+001°)
1.17489755493953e+003	(-6.88300509239833e-003dB,-4.14263604706755e+001°)
1.18394992222930e+003	(-7.23562901810441e-003dB,-4.17619966382092e+001°)
1.19307203632654e+003	(-7.60588387382893e-003dB,-4.21006465231943e+001°)
1.20226443461742e+003	(-7.99461968320368e-003dB,-4.24423447001493e+001°)
1.21152765862859e+003	(-8.40272674446363e-003dB,-4.27871263082951e+001°)
1.22086225405907e+003	(-8.83113751093641e-003dB,-4.31350270629306e+001°)
1.23026877081238e+003	(-9.28082855729564e-003dB,-4.34860832669883e+001°)
1.23974776302895e+003	(-9.75282263559313e-003dB,-4.38403318227618e+001°)
1.24929978911874e+003	(-1.02481908248815e-002dB,-4.41978102438033e+001°)
1.25892541179417e+003	(-1.07680547783057e-002dB,-4.45585566669829e+001°)
1.26862519810326e+003	(-1.13135890722263e-002dB,-4.49226098647057e+001°)
1.27839971946303e+003	(-1.18860236614554e-002dB,-4.52900092572764e+001°)
1.28824955169314e+003	(-1.24866464453624e-002dB,-4.56607949254051e+001°)
1.29817527504985e+003	(-1.31168059493079e-002dB,-4.60350076228438e+001°)
1.30817747426020e+003	(-1.37779141266649e-002dB,-4.64126887891415e+001°)
1.31825673855641e+003	(-1.44714492859774e-002dB,-4.67938805625077e+001°)
1.32841366171065e+003	(-1.51989591491282e-002dB,-4.71786257927697e+001°)
1.33864884207000e+003	(-1.59620640453515e-002dB,-4.75669680544086e+001°)
1.34896288259166e+003	(-1.67624602470128e-002dB,-4.79589516596568e+001°)
1.35935639087853e+003	(-1.76019234529521e-002dB,-4.83546216716403e+001°)
1.36982997921497e+003	(-1.84823124252351e-002dB,-4.87540239175432e+001°)
1.38038426460289e+003	(-1.94055727855951e-002dB,-4.91572050017742e+001°)
1.39101986879806e+003	(-2.03737409779353e-002dB,-4.95642123191094e+001°)
1.40173741834677e+003	(-2.13889484033684e-002dB,-4.99750940677844e+001°)
1.41253754462276e+003	(-2.24534257345249e-002dB,-5.03898992625085e+001°)
1.42342088386435e+003	(-2.35695074162995e-002dB,-5.08086777473667e+001°)
1.43438807721197e+003	(-2.47396363597614e-002dB,-5.12314802085772e+001°)
1.44543977074593e+003	(-2.59663688368840e-002dB,-5.16583581870648e+001°)
1.45657661552446e+003	(-2.72523795833360e-002dB,-5.20893640908111e+001°)
1.46779926762207e+003	(-2.86004671170496e-002dB,-5.25245512069367e+001°)
1.47910838816821e+003	(-3.00135592803849e-002dB,-5.29639737134677e+001°)
1.49050464338620e+003	(-3.14947190137280e-002dB,-5.34076866907350e+001°)
1.50198870463249e+003	(-3.30471503687655e-002dB,-5.38557461323504e+001°)
1.51356124843621e+003	(-3.46742047694688e-002dB,-5.43082089557005e+001°)
1.52522295653902e+003	(-3.63793875290330e-002dB,-5.47651330118926e+001°)
1.53697451593528e+003	(-3.81663646315630e-002dB,-5.52265770950842e+001°)
1.54881661891249e+003	(-4.00389697862820e-002dB,-5.56926009511204e+001°)
1.56074996309212e+003	(-4.20012117632973e-002dB,-5.61632652854004e+001°)
1.57277525147067e+003	(-4.40572820190947e-002dB,-5.66386317698860e+001°)
1.58489319246112e+003	(-4.62115626203518e-002dB,-5.71187630491611e+001°)
1.59710449993461e+003	(-4.84686344742995e-002dB,-5.76037227454438e+001°)
1.60940989326254e+003	(-5.08332858739349e-002dB,-5.80935754624446e+001°)
1.62181009735894e+003	(-5.33105213663430e-002dB,-5.85883867879605e+001°)
1.63430584272314e+003	(-5.59055709516168e-002dB,-5.90882232950844e+001°)
1.64689786548288e+003	(-5.86238996205034e-002dB,-5.95931525419011e+001°)
1.65958690743757e+003	(-6.14712172375473e-002dB,-6.01032430695373e+001°)
1.67237371610209e+003	(-6.44534887768933e-002dB,-6.06185643984171e+001°)
1.68525904475076e+003	(-6.75769449169967e-002dB,-6.11391870225737e+001°)
1.69824365246175e+003	(-7.08480930001292e-002dB,-6.16651824018528e+001°)
1.71132830416179e+003	(-7.42737283615483e-002dB,-6.21966229518356e+001°)
1.72451377067121e+003	(-7.78609460329921e-002dB,-6.27335820313001e+001°)
1.73780082874938e+003	(-8.16171528236277e-002dB,-6.32761339270273e+001°)
1.75119026114047e+003	(-8.55500797810994e-002dB,-6.38243538357497e+001°)
1.76468285661951e+003	(-8.96677950337786e-002dB,-6.43783178430284e+001°)
1.77827941003893e+003	(-9.39787170142374e-002dB,-6.49381028988324e+001°)
1.79198072237534e+003	(-9.84916280625136e-002dB,-6.55037867895834e+001°)
1.80578760077673e+003	(-1.03215688405820e-001dB,-6.60754481064196e+001°)
1.81970085860999e+003	(-1.08160450509975e-001dB,-6.66531662094150e+001°)
1.83372131550889e+003	(-1.13335873795596e-001dB,-6.72370211874852e+001°)
1.84784979742230e+003	(-1.18752339709567e-001dB,-6.78270938136932e+001°)
1.86208713666288e+003	(-1.24420667140659e-001dB,-6.84234654956619e+001°)
1.87643417195610e+003	(-1.30352128164474e-001dB,-6.90262182207833e+001°)
1.89089174848965e+003	(-1.36558464100838e-001dB,-6.96354344959068e+001°)
1.90546071796326e+003	(-1.43051901863085e-001dB,-7.02511972811778e+001°)
1.92014193863881e+003	(-1.49845170575228e-001dB,-7.08735899176840e+001°)
1.93493627539096e+003	(-1.56951518429300e-001dB,-7.15026960485616e+001°)
1.94984459975806e+003	(-1.64384729751294e-001dB,-7.21385995332006e+001°)
1.96486778999348e+003	(-1.72159142239247e-001dB,-7.27813843541839e+001°)
1.98000673111740e+003	(-1.80289664332569e-001dB,-7.34311345165852e+001°)
1.99526231496889e+003	(-1.88791792666713e-001dB,-7.40879339392484e+001°)
2.01063544025850e+003	(-1.97681629561811e-001dB,-7.47518663376654e+001°)
2.02612701262116e+003	(-2.06975900487750e-001dB,-7.54230150980683e+001°)
2.04173794466954e+003	(-2.16691971442740e-001dB,-7.61014631423540e+001°)
2.05746915604785e+003	(-2.26847866175475e-001dB,-7.67872927834630e+001°)
2.07332157348597e+003	(-2.37462283174059e-001dB,-7.74805855708352e+001°)
2.08929613085405e+003	(-2.48554612338081e-001dB,-7.81814221255844e+001°)
2.10539376921757e+003	(-2.60144951242754e-001dB,-7.88898819650379e+001°)
2.12161543689270e+003	(-2.72254120895676e-001dB,-7.96060433163103e+001°)
2.13796208950225e+003	(-2.84903680879396e-001dB,-8.03299829186004e+001°)
2.15443469003190e+003	(-2.98115943764347e-001dB,-8.10617758139280e+001°)
2.17103420888697e+003	(-3.11913988668272e-001dB,-8.18014951260577e+001°)
2.18776162394957e+003	(-3.26321673829458e-001dB,-8.25492118273985e+001°)
2.20461792063620e+003	(-3.41363648052960e-001dB,-8.33049944937090e+001°)
2.22160409195583e+003	(-3.57065360879458e-001dB,-8.40689090464903e+001°)
2.23872113856835e+003	(-3.73453071318523e-001dB,-8.48410184830082e+001°)
2.25597006884359e+003	(-3.90553854979118e-001dB,-8.56213825939502e+001°)
2.27335189892065e+003	(-4.08395609422162e-001dB,-8.64100576687980e+001°)
2.29086765276779e+003	(-4.27007057552292e-001dB,-8.72070961890783e+001°)
2.30851836224278e+003	(-4.46417748858675e-001dB,-8.80125465097447e+001°)
2.32630506715364e+003	(-4.66658058308170e-001dB,-8.88264525290434e+001°)
2.34422881531994e+003	(-4.87759182688343e-001dB,-8.96488533473248e+001°)
2.36229066263448e+003	(-5.09753134193787e-001dB,-9.04797829153783e+001°)
