Freq.,Vvin/iv3
1.00000000000000e+003,2.39971791805160e+002,1.79982136486852e+002
1.00230523807790e+003,2.39971791800490e+002,1.79982095307214e+002
1.00461579027840e+003,2.39971791795798e+002,1.79982054032647e+002
1.00693166885180e+003,2.39971791791084e+002,1.79982012662933e+002
1.00925288607668e+003,2.39971791786349e+002,1.79981971197852e+002
1.01157945425990e+003,2.39971791781592e+002,1.79981929637184e+002
1.01391138573668e+003,2.39971791776812e+002,1.79981887980709e+002
1.01624869287070e+003,2.39971791772011e+002,1.79981846228205e+002
1.01859138805412e+003,2.39971791767188e+002,1.79981804379453e+002
1.02093948370768e+003,2.39971791762342e+002,1.79981762434229e+002
1.02329299228075e+003,2.39971791757474e+002,1.79981720392312e+002
1.02565192625141e+003,2.39971791752583e+002,1.79981678253478e+002
1.02801629812647e+003,2.39971791747670e+002,1.79981636017504e+002
1.03038612044162e+003,2.39971791742734e+002,1.79981593684166e+002
1.03276140576140e+003,2.39971791737776e+002,1.79981551253240e+002
1.03514216667934e+003,2.39971791732794e+002,1.79981508724501e+002
1.03752841581801e+003,2.39971791727790e+002,1.79981466097723e+002
1.03992016582906e+003,2.39971791722762e+002,1.79981423372680e+002
1.04231742939330e+003,2.39971791717711e+002,1.79981380549145e+002
1.04472021922080e+003,2.39971791712637e+002,1.79981337626893e+002
1.04712854805090e+003,2.39971791707540e+002,1.79981294605694e+002
1.04954242865232e+003,2.39971791702419e+002,1.79981251485322e+002
1.05196187382322e+003,2.39971791697274e+002,1.79981208265547e+002
1.05438689639126e+003,2.39971791692106e+002,1.79981164946140e+002
1.05681750921366e+003,2.39971791686913e+002,1.79981121526872e+002
1.05925372517729e+003,2.39971791681697e+002,1.79981078007512e+002
1.06169555719872e+003,2.39971791676457e+002,1.79981034387829e+002
1.06414301822431e+003,2.39971791671192e+002,1.79980990667593e+002
1.06659612123026e+003,2.39971791665904e+002,1.79980946846572e+002
1.06905487922266e+003,2.39971791660590e+002,1.79980902924533e+002
1.07151930523761e+003,2.39971791655253e+002,1.79980858901243e+002
1.07398941234124e+003,2.39971791649890e+002,1.79980814776469e+002
1.07646521362983e+003,2.39971791644503e+002,1.79980770549977e+002
1.07894672222983e+003,2.39971791639091e+002,1.79980726221533e+002
1.08143395129794e+003,2.39971791633654e+002,1.79980681790901e+002
1.08392691402120e+003,2.39971791628192e+002,1.79980637257846e+002
