Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,-96.87434255417895,-162.5556417393018
1047.128548050901,-68.86584040278096,-173.8152390216418
1096.478196143186,-66.04136923756664,-147.3510392457003
1148.153621496884,-70.52321111167987,-63.0768758094858
1202.264434617413,-61.09930314196185,-107.3303540070128
1258.925411794169,-72.71554221020664,-23.84412589510245
1318.256738556409,-71.67090823323265,-109.8713518493846
1380.384264602885,-72.83171468069764,156.6194618219644
1445.43977074593,-72.87537164971515,-64.43642930075943
1513.56124843621,-62.97450913186638,-113.1868776125246
1584.893192461114,-69.47591491275672,-168.9477391500139
1659.586907437563,-74.11328944155365,-174.311513887249
1737.800828749376,-68.81070634802886,69.35211055597716
1819.700858609985,-65.54862846164065,10.08224855447116
1905.46071796325,-59.61384267888288,-159.1884649820822
1995.262314968881,-63.52847879297693,157.8789180965757
2089.296130854041,-69.21146647128158,23.58193187756977
2187.761623949555,-69.8531447539566,35.04625806019823
2290.867652767775,-76.35902292397239,-130.6369896998899
2398.832919019493,-64.91874007928837,-137.0234971366831
2511.886431509583,-70.07023621068335,178.0850767128639
2630.267991895385,-62.51166382702861,-111.3624067078544
2754.228703338169,-60.22146710630239,-165.8198618833627
2884.031503126609,-63.16470954237529,-24.59407733012497
3019.951720402019,-60.06050178091334,78.99724055322315
3162.277660168383,-67.46301356025221,131.1818632457189
3311.311214825915,-64.15754380068195,111.1449643885398
3467.368504525317,-65.49867637919738,-60.51664767695213
3630.780547701018,-62.69723640165562,128.7303790033502
3801.893963205617,-70.20989418460422,30.30301629690925
3981.071705534974,-64.03510760095091,26.54625066667328
4168.69383470336,-70.02583330966876,103.2530364455768
4365.158322401666,-66.70047574330982,64.08611307144209
4570.881896148752,-54.27967666914923,125.3004759686256
4786.30092322639,-54.62868198769292,101.258077837011
5011.872336272731,-68.00510248925191,57.41065658044577
5248.074602497729,-66.1974873831779,9.1095683267623
5495.408738576255,-60.52121403489056,94.72300973343771
5754.399373371579,-61.3322343317348,27.19976367766731
6025.595860743581,-62.16525076762954,-135.1080153463187
6309.573444801938,-58.966778678624,-108.612573915213
6606.934480075965,-55.32836128596433,132.4895602597086
6918.309709189371,-59.58098531143963,-133.2009075506742
7244.359600749907,-63.5176472251193,151.8797784660166
7585.775750291845,-64.17712223294262,93.66915409792009
7943.282347242822,-60.47150780941224,-137.4996280558185
8317.637711026719,-59.24404607117503,-131.2175877067091
8709.635899560815,-62.74764812664812,-35.44688946785898
9120.108393559107,-56.3238114722164,-71.68596926798024
9549.925860214371,-58.03248457569691,171.1760383775342
10000,-54.54343698416699,-102.8534272809106
10471.28548050901,-52.70705525020192,7.551039717137883
10964.78196143186,-57.85374627651619,79.63587641166515
11481.53621496883,-65.4924978685375,-131.1316362532078
12022.64434617414,-54.23284445159108,-173.0758704819891
12589.25411794168,-65.52767745640313,-121.3148621502201
13182.56738556408,-62.0201626294631,-146.4346074668987
13803.84264602886,-50.90585228622854,112.4802125240308
14454.39770745929,-54.77547168298987,-158.411648103403
15135.61248436209,-52.19122349369606,178.8037898193172
15848.93192461115,-66.3409680305484,-88.3777469791102
16595.86907437562,-66.90836582335787,170.8449133205049
17378.00828749377,-56.16152106167822,151.8112159026113
18197.00858609984,-49.15861124027352,166.786400613071
19054.6071796325,-52.75855273829545,-167.298313753703
19952.62314968881,-51.35928886506939,-87.35964403484465
20892.9613085404,-59.4383509612534,148.7138388304124
21877.61623949554,-53.01599713228314,-141.5860534709602
22908.67652767775,-56.21992495730002,112.1362159636394
23988.32919019491,-58.61322730188708,135.0981741559767
25118.86431509582,-47.70780819473782,169.9192245810218
26302.67991895385,-53.60833716194642,-125.6103889561358
27542.28703338168,-45.89810548773783,171.0204269380833
28840.31503126609,-49.66069894419236,-145.5021337364226
30199.51720402019,-41.7103013294873,136.4761962448198
31622.77660168381,-48.82151545931674,165.9245607902561
33113.11214825913,-46.96281578385505,-179.7983524974701
34673.68504525317,-45.16027759570025,-176.6776638038182
36307.80547701017,-42.56433505213629,179.8044375470371
38018.93963205613,-39.87208982500619,174.9574103821543
39810.71705534974,-37.05654390843328,163.8437625178549
41686.93834703357,-37.33919988031977,173.2362388094529
43651.58322401662,-34.52562575755558,169.3143517766732
45708.81896148752,-32.07954553811018,166.9957333043871
47863.00923226389,-27.99883329504858,156.9466801357429
50118.72336272725,-25.02038221750809,156.6069554759993
52480.74602497729,-20.47143979583888,154.0106497532513
54954.08738576246,-14.39283293792538,141.9891720879344
57543.99373371573,-5.466704204200038,110.8054874362229
60255.95860743582,-0.1055999643276328,30.95980360735547
63095.73444801934,1.450339620769193,-40.03142011673926
66069.34480075965,-5.946766426428875,-132.8567677692677
69183.09709189367,-14.80581032292084,-158.3711615750823
72443.59600749904,-20.75617366584519,-166.3481656658108
75857.75750291845,-25.31701000415891,-171.9986082213755
79432.82347242819,-28.70762283776891,-174.1645344830964
83176.37711026713,-31.62073125659508,-175.8764538633569
87096.35899560807,-33.67935231724885,-179.4519262011637
91201.08393559101,-36.22235467827328,-178.3836655325645
95499.25860214366,-38.2143750321941,-179.5963764143945
100000,-40.63852700987646,177.6284871930582
104712.85480509,-41.42667291025759,176.1865191922501
109647.8196143186,-43.17210308747028,176.4044517024296
114815.3621496883,-44.06305650492201,-175.9635183563426
120226.4434617413,-46.08075227762619,168.9482390393103
125892.5411794167,-46.22597706144816,164.3782508042041
131825.6738556408,-46.90388365971445,171.1032435972599
138038.4264602886,-50.69337830706183,164.872337191352
144543.9770745928,-50.59827742713306,171.3634712409126
151356.1248436209,-52.93906690912537,179.3651572900422
158489.3192461114,-53.05183563516398,178.9614106315141
