Freq.	V(n004)
1.00000000000000e+003	(-1.11436663172616e+002dB,1.79799031822759e+002°)
1.00230523807790e+003	(-1.11396641380027e+002dB,1.79798568387094e+002°)
1.00461579027840e+003	(-1.11356619486821e+002dB,1.79798103882017e+002°)
1.00693166885180e+003	(-1.11316597492533e+002dB,1.79797638305055e+002°)
1.00925288607668e+003	(-1.11276575396695e+002dB,1.79797171653729e+002°)
1.01157945425990e+003	(-1.11236553198839e+002dB,1.79796703925555e+002°)
1.01391138573668e+003	(-1.11196530898495e+002dB,1.79796235118043e+002°)
1.01624869287070e+003	(-1.11156508495187e+002dB,1.79795765228697e+002°)
1.01859138805412e+003	(-1.11116485988442e+002dB,1.79795294255015e+002°)
1.02093948370768e+003	(-1.11076463377780e+002dB,1.79794822194490e+002°)
1.02329299228075e+003	(-1.11036440662723e+002dB,1.79794349044609e+002°)
1.02565192625141e+003	(-1.10996417842788e+002dB,1.79793874802852e+002°)
1.02801629812647e+003	(-1.10956394917491e+002dB,1.79793399466695e+002°)
1.03038612044162e+003	(-1.10916371886345e+002dB,1.79792923033606e+002°)
1.03276140576140e+003	(-1.10876348748861e+002dB,1.79792445501049e+002°)
1.03514216667934e+003	(-1.10836325504548e+002dB,1.79791966866481e+002°)
1.03752841581801e+003	(-1.10796302152913e+002dB,1.79791487127353e+002°)
1.03992016582906e+003	(-1.10756278693460e+002dB,1.79791006281112e+002°)
1.04231742939330e+003	(-1.10716255125692e+002dB,1.79790524325195e+002°)
1.04472021922080e+003	(-1.10676231449107e+002dB,1.79790041257038e+002°)
1.04712854805090e+003	(-1.10636207663203e+002dB,1.79789557074067e+002°)
1.04954242865232e+003	(-1.10596183767476e+002dB,1.79789071773704e+002°)
1.05196187382322e+003	(-1.10556159761418e+002dB,1.79788585353364e+002°)
1.05438689639126e+003	(-1.10516135644520e+002dB,1.79788097810458e+002°)
1.05681750921366e+003	(-1.10476111416269e+002dB,1.79787609142389e+002°)
1.05925372517729e+003	(-1.10436087076152e+002dB,1.79787119346554e+002°)
1.06169555719872e+003	(-1.10396062623652e+002dB,1.79786628420344e+002°)
1.06414301822431e+003	(-1.10356038058249e+002dB,1.79786136361146e+002°)
1.06659612123026e+003	(-1.10316013379422e+002dB,1.79785643166337e+002°)
1.06905487922266e+003	(-1.10275988586648e+002dB,1.79785148833293e+002°)
1.07151930523761e+003	(-1.10235963679400e+002dB,1.79784653359378e+002°)
1.07398941234124e+003	(-1.10195938657149e+002dB,1.79784156741955e+002°)
1.07646521362983e+003	(-1.10155913519365e+002dB,1.79783658978378e+002°)
1.07894672222983e+003	(-1.10115888265513e+002dB,1.79783160065996e+002°)
1.08143395129794e+003	(-1.10075862895057e+002dB,1.79782660002151e+002°)
1.08392691402120e+003	(-1.10035837407460e+002dB,1.79782158784180e+002°)
1.08642562361706e+003	(-1.09995811802179e+002dB,1.79781656409412e+002°)
1.08893009333343e+003	(-1.09955786078672e+002dB,1.79781152875171e+002°)
1.09144033644875e+003	(-1.09915760236392e+002dB,1.79780648178774e+002°)
1.09395636627209e+003	(-1.09875734274791e+002dB,1.79780142317534e+002°)
1.09647819614318e+003	(-1.09835708193317e+002dB,1.79779635288755e+002°)
1.09900583943252e+003	(-1.09795681991417e+002dB,1.79779127089736e+002°)
1.10153930954141e+003	(-1.09755655668535e+002dB,1.79778617717770e+002°)
1.10407861990207e+003	(-1.09715629224112e+002dB,1.79778107170142e+002°)
1.10662378397766e+003	(-1.09675602657586e+002dB,1.79777595444132e+002°)
1.10917481526240e+003	(-1.09635575968394e+002dB,1.79777082537015e+002°)
1.11173172728159e+003	(-1.09595549155968e+002dB,1.79776568446056e+002°)
1.11429453359173e+003	(-1.09555522219741e+002dB,1.79776053168518e+002°)
1.11686324778056e+003	(-1.09515495159139e+002dB,1.79775536701654e+002°)
1.11943788346715e+003	(-1.09475467973589e+002dB,1.79775019042712e+002°)
1.12201845430196e+003	(-1.09435440662513e+002dB,1.79774500188933e+002°)
1.12460497396692e+003	(-1.09395413225331e+002dB,1.79773980137554e+002°)
1.12719745617551e+003	(-1.09355385661462e+002dB,1.79773458885803e+002°)
1.12979591467279e+003	(-1.09315357970319e+002dB,1.79772936430901e+002°)
1.13240036323555e+003	(-1.09275330151316e+002dB,1.79772412770065e+002°)
1.13501081567231e+003	(-1.09235302203861e+002dB,1.79771887900505e+002°)
1.13762728582343e+003	(-1.09195274127361e+002dB,1.79771361819422e+002°)
1.14024978756117e+003	(-1.09155245921220e+002dB,1.79770834524013e+002°)
1.14287833478977e+003	(-1.09115217584839e+002dB,1.79770306011467e+002°)
1.14551294144553e+003	(-1.09075189117616e+002dB,1.79769776278969e+002°)
1.14815362149688e+003	(-1.09035160518948e+002dB,1.79769245323694e+002°)
1.15080038894443e+003	(-1.08995131788227e+002dB,1.79768713142812e+002°)
1.15345325782109e+003	(-1.08955102924843e+002dB,1.79768179733487e+002°)
1.15611224219210e+003	(-1.08915073928184e+002dB,1.79767645092876e+002°)
1.15877735615512e+003	(-1.08875044797633e+002dB,1.79767109218128e+002°)
1.16144861384034e+003	(-1.08835015532572e+002dB,1.79766572106388e+002°)
1.16412602941049e+003	(-1.08794986132381e+002dB,1.79766033754792e+002°)
1.16680961706096e+003	(-1.08754956596434e+002dB,1.79765494160469e+002°)
1.16949939101987e+003	(-1.08714926924104e+002dB,1.79764953320545e+002°)
1.17219536554813e+003	(-1.08674897114763e+002dB,1.79764411232135e+002°)
1.17489755493953e+003	(-1.08634867167776e+002dB,1.79763867892349e+002°)
1.17760597352080e+003	(-1.08594837082508e+002dB,1.79763323298290e+002°)
1.18032063565173e+003	(-1.08554806858320e+002dB,1.79762777447056e+002°)
1.18304155572516e+003	(-1.08514776494570e+002dB,1.79762230335736e+002°)
1.18576874816716e+003	(-1.08474745990615e+002dB,1.79761681961412e+002°)
1.18850222743701e+003	(-1.08434715345805e+002dB,1.79761132321162e+002°)
1.19124200802737e+003	(-1.08394684559491e+002dB,1.79760581412053e+002°)
1.19398810446427e+003	(-1.08354653631019e+002dB,1.79760029231149e+002°)
1.19674053130724e+003	(-1.08314622559732e+002dB,1.79759475775506e+002°)
1.19949930314937e+003	(-1.08274591344970e+002dB,1.79758921042171e+002°)
1.20226443461741e+003	(-1.08234559986071e+002dB,1.79758365028187e+002°)
1.20503594037179e+003	(-1.08194528482369e+002dB,1.79757807730588e+002°)
1.20781383510678e+003	(-1.08154496833195e+002dB,1.79757249146404e+002°)
1.21059813355048e+003	(-1.08114465037877e+002dB,1.79756689272654e+002°)
1.21338885046497e+003	(-1.08074433095739e+002dB,1.79756128106352e+002°)
