Freq.	V(vi)/i(G82)
1.00000000000000e+000	(8.53715594145851e+001dB,1.79999943835538e+002°)
1.02329299228075e+000	(8.53715594135047e+001dB,1.79999942527300e+002°)
1.04712854805090e+000	(8.53715594123734e+001dB,1.79999941188590e+002°)
1.07151930523761e+000	(8.53715594111888e+001dB,1.79999939818697e+002°)
1.09647819614318e+000	(8.53715594099483e+001dB,1.79999938416895e+002°)
1.12201845430196e+000	(8.53715594086494e+001dB,1.79999936982441e+002°)
1.14815362149688e+000	(8.53715594072892e+001dB,1.79999935514574e+002°)
1.17489755493953e+000	(8.53715594058650e+001dB,1.79999934012516e+002°)
1.20226443461741e+000	(8.53715594043736e+001dB,1.79999932475471e+002°)
1.23026877081238e+000	(8.53715594028120e+001dB,1.79999930902624e+002°)
1.25892541179417e+000	(8.53715594011767e+001dB,1.79999929293141e+002°)
1.28824955169313e+000	(8.53715593994644e+001dB,1.79999927646167e+002°)
1.31825673855641e+000	(8.53715593976714e+001dB,1.79999925960831e+002°)
1.34896288259165e+000	(8.53715593957939e+001dB,1.79999924236239e+002°)
1.38038426460288e+000	(8.53715593938279e+001dB,1.79999922471476e+002°)
1.41253754462275e+000	(8.53715593917692e+001dB,1.79999920665606e+002°)
1.44543977074593e+000	(8.53715593896135e+001dB,1.79999918817672e+002°)
1.47910838816821e+000	(8.53715593873562e+001dB,1.79999916926695e+002°)
1.51356124843621e+000	(8.53715593849926e+001dB,1.79999914991671e+002°)
1.54881661891248e+000	(8.53715593825175e+001dB,1.79999913011574e+002°)
1.58489319246111e+000	(8.53715593799259e+001dB,1.79999910985356e+002°)
1.62181009735893e+000	(8.53715593772120e+001dB,1.79999908911941e+002°)
1.65958690743756e+000	(8.53715593743703e+001dB,1.79999906790230e+002°)
1.69824365246174e+000	(8.53715593713946e+001dB,1.79999904619098e+002°)
1.73780082874937e+000	(8.53715593682787e+001dB,1.79999902397394e+002°)
1.77827941003892e+000	(8.53715593650159e+001dB,1.79999900123941e+002°)
1.81970085860998e+000	(8.53715593615994e+001dB,1.79999897797532e+002°)
1.86208713666287e+000	(8.53715593580219e+001dB,1.79999895416934e+002°)
1.90546071796325e+000	(8.53715593542758e+001dB,1.79999892980885e+002°)
1.94984459975804e+000	(8.53715593503530e+001dB,1.79999890488094e+002°)
1.99526231496888e+000	(8.53715593462455e+001dB,1.79999887937238e+002°)
2.04173794466953e+000	(8.53715593419443e+001dB,1.79999885326966e+002°)
2.08929613085404e+000	(8.53715593374405e+001dB,1.79999882655893e+002°)
2.13796208950223e+000	(8.53715593327244e+001dB,1.79999879922603e+002°)
2.18776162394955e+000	(8.53715593277860e+001dB,1.79999877125647e+002°)
2.23872113856834e+000	(8.53715593226149e+001dB,1.79999874263541e+002°)
2.29086765276777e+000	(8.53715593172001e+001dB,1.79999871334770e+002°)
2.34422881531992e+000	(8.53715593115301e+001dB,1.79999868337778e+002°)
2.39883291901949e+000	(8.53715593055928e+001dB,1.79999865270979e+002°)
2.45470891568503e+000	(8.53715592993758e+001dB,1.79999862132745e+002°)
2.51188643150958e+000	(8.53715592928657e+001dB,1.79999858921413e+002°)
2.57039578276886e+000	(8.53715592860489e+001dB,1.79999855635280e+002°)
2.63026799189538e+000	(8.53715592789108e+001dB,1.79999852272603e+002°)
