Freq.	V(vo)/V(vm)
1.00000000000000e+000	(-3.51347365646342e+001dB,-5.87420956328994e-003°)
1.02329299228075e+000	(-3.51347366750139e+001dB,-6.01103749719688e-003°)
1.04712854805090e+000	(-3.51347367905957e+001dB,-6.15105256425366e-003°)
1.07151930523761e+000	(-3.51347369116247e+001dB,-6.29432900239973e-003°)
1.09647819614318e+000	(-3.51347370383576e+001dB,-6.44094277882739e-003°)
1.12201845430196e+000	(-3.51347371710633e+001dB,-6.59097163020639e-003°)
1.14815362149688e+000	(-3.51347373100232e+001dB,-6.74449510396746e-003°)
1.17489755493953e+000	(-3.51347374555320e+001dB,-6.90159460040930e-003°)
1.20226443461741e+000	(-3.51347376078985e+001dB,-7.06235341594092e-003°)
1.23026877081238e+000	(-3.51347377674458e+001dB,-7.22685678715890e-003°)
1.25892541179417e+000	(-3.51347379345124e+001dB,-7.39519193611130e-003°)
1.28824955169313e+000	(-3.51347381094525e+001dB,-7.56744811651258e-003°)
1.31825673855641e+000	(-3.51347382926373e+001dB,-7.74371666104894e-003°)
1.34896288259165e+000	(-3.51347384844554e+001dB,-7.92409102987316e-003°)
1.38038426460288e+000	(-3.51347386853136e+001dB,-8.10866686007325e-003°)
1.41253754462275e+000	(-3.51347388956379e+001dB,-8.29754201646154e-003°)
1.44543977074593e+000	(-3.51347391158745e+001dB,-8.49081664339721e-003°)
1.47910838816821e+000	(-3.51347393464906e+001dB,-8.68859321792903e-003°)
1.51356124843621e+000	(-3.51347395879752e+001dB,-8.89097660411660e-003°)
1.54881661891248e+000	(-3.51347398408407e+001dB,-9.09807410862644e-003°)
1.58489319246111e+000	(-3.51347401056234e+001dB,-9.30999553768259e-003°)
1.62181009735893e+000	(-3.51347403828849e+001dB,-9.52685325515304e-003°)
1.65958690743756e+000	(-3.51347406732134e+001dB,-9.74876224227746e-003°)
1.69824365246174e+000	(-3.51347409772246e+001dB,-9.97584015857618e-003°)
1.73780082874937e+000	(-3.51347412955634e+001dB,-1.02082074042360e-002°)
1.77827941003892e+000	(-3.51347416289052e+001dB,-1.04459871839161e-002°)
1.81970085860998e+000	(-3.51347419779568e+001dB,-1.06893055721435e-002°)
1.86208713666287e+000	(-3.51347423434587e+001dB,-1.09382915800843e-002°)
1.90546071796325e+000	(-3.51347427261863e+001dB,-1.11930772240520e-002°)
1.94984459975804e+000	(-3.51347431269512e+001dB,-1.14537975953799e-002°)
1.99526231496888e+000	(-3.51347435466036e+001dB,-1.17205909321784e-002°)
2.04173794466953e+000	(-3.51347439860337e+001dB,-1.19935986925480e-002°)
