Freq.	V(vo)/V(vi)
1.00000000000000e+000	(-3.14570929363647e+000dB,-4.02309058244796e-008°)
1.02329299228075e+000	(-3.14570929378929e+000dB,-4.11679623087268e-008°)
1.04712854805090e+000	(-3.14570929394932e+000dB,-4.21268431492667e-008°)
1.07151930523761e+000	(-3.14570929411690e+000dB,-4.31080556452348e-008°)
1.09647819614318e+000	(-3.14570929429237e+000dB,-4.41121201235711e-008°)
1.12201845430196e+000	(-3.14570929447611e+000dB,-4.51395685827011e-008°)
1.14815362149688e+000	(-3.14570929466851e+000dB,-4.61909458346994e-008°)
1.17489755493953e+000	(-3.14570929486999e+000dB,-4.72668078634293e-008°)
1.20226443461741e+000	(-3.14570929508095e+000dB,-4.83677263931976e-008°)
1.23026877081238e+000	(-3.14570929530185e+000dB,-4.94942832850144e-008°)
1.25892541179417e+000	(-3.14570929553317e+000dB,-5.06470753194031e-008°)
1.28824955169313e+000	(-3.14570929577539e+000dB,-5.18267146960971e-008°)
1.31825673855641e+000	(-3.14570929602903e+000dB,-5.30338252149304e-008°)
1.34896288259165e+000	(-3.14570929629461e+000dB,-5.42690467017214e-008°)
1.38038426460288e+000	(-3.14570929657271e+000dB,-5.55330334377985e-008°)
1.41253754462275e+000	(-3.14570929686392e+000dB,-5.68264545169255e-008°)
1.44543977074593e+000	(-3.14570929716886e+000dB,-5.81499958440892e-008°)
1.47910838816821e+000	(-3.14570929748816e+000dB,-5.95043578868633e-008°)
1.51356124843621e+000	(-3.14570929782252e+000dB,-6.08902574957331e-008°)
1.54881661891248e+000	(-3.14570929817264e+000dB,-6.23084298671889e-008°)
1.58489319246111e+000	(-3.14570929853925e+000dB,-6.37596254741607e-008°)
1.62181009735893e+000	(-3.14570929892314e+000dB,-6.52446127786580e-008°)
1.65958690743756e+000	(-3.14570929932512e+000dB,-6.67641778748429e-008°)
1.69824365246174e+000	(-3.14570929974605e+000dB,-6.83191256311945e-008°)
1.73780082874937e+000	(-3.14570930018681e+000dB,-6.99102790480414e-008°)
1.77827941003892e+000	(-3.14570930064835e+000dB,-7.15384805424961e-008°)
1.81970085860998e+000	(-3.14570930113164e+000dB,-7.32045920912258e-008°)
1.86208713666287e+000	(-3.14570930163771e+000dB,-7.49094962298457e-008°)
1.90546071796325e+000	(-3.14570930216763e+000dB,-7.66540946252141e-008°)
1.94984459975804e+000	(-3.14570930272252e+000dB,-7.84393104311456e-008°)
1.99526231496888e+000	(-3.14570930330356e+000dB,-8.02660886453373e-008°)
2.04173794466953e+000	(-3.14570930391198e+000dB,-8.21353961807541e-008°)
2.08929613085404e+000	(-3.14570930454908e+000dB,-8.40482222939403e-008°)
2.13796208950223e+000	(-3.14570930521621e+000dB,-8.60055779425526e-008°)
2.18776162394955e+000	(-3.14570930591478e+000dB,-8.80084997115484e-008°)
2.23872113856834e+000	(-3.14570930664626e+000dB,-9.00580460297680e-008°)
2.29086765276777e+000	(-3.14570930741223e+000dB,-9.21553018099757e-008°)
