Freq.	V(vo)/V(vi)
1.00000000000000e+000	(-3.82804513844062e+001dB,-5.87546680402896e-003°)
1.02329299228075e+000	(-3.82804514949369e+001dB,-6.01232402279403e-003°)
1.04712854805090e+000	(-3.82804516106768e+001dB,-6.15236905683228e-003°)
1.07151930523761e+000	(-3.82804517318714e+001dB,-6.29567615998377e-003°)
1.09647819614318e+000	(-3.82804518587776e+001dB,-6.44232131568302e-003°)
1.12201845430196e+000	(-3.82804519916648e+001dB,-6.59238227725694e-003°)
1.14815362149688e+000	(-3.82804521308148e+001dB,-6.74593860914633e-003°)
1.17489755493953e+000	(-3.82804522765227e+001dB,-6.90307172908949e-003°)
1.20226443461741e+000	(-3.82804524290976e+001dB,-7.06386495129911e-003°)
1.23026877081238e+000	(-3.82804525888631e+001dB,-7.22840353063117e-003°)
1.25892541179417e+000	(-3.82804527561581e+001dB,-7.39677470779136e-003°)
1.28824955169313e+000	(-3.82804529313376e+001dB,-7.56906775559213e-003°)
1.31825673855641e+000	(-3.82804531147730e+001dB,-7.74537402628865e-003°)
1.34896288259165e+000	(-3.82804533068534e+001dB,-7.92578700001148e-003°)
1.38038426460288e+000	(-3.82804535079863e+001dB,-8.11040233433581e-003°)
1.41253754462275e+000	(-3.82804537185983e+001dB,-8.29931791500006e-003°)
1.44543977074593e+000	(-3.82804539391362e+001dB,-8.49263390780886e-003°)
1.47910838816821e+000	(-3.82804541700677e+001dB,-8.69045281174189e-003°)
1.51356124843621e+000	(-3.82804544118827e+001dB,-8.89287951330140e-003°)
1.54881661891248e+000	(-3.82804546650941e+001dB,-9.10002134212511e-003°)
1.58489319246111e+000	(-3.82804549302389e+001dB,-9.31198812790176e-003°)
1.62181009735893e+000	(-3.82804552078797e+001dB,-9.52889225859493e-003°)
1.65958690743756e+000	(-3.82804554986053e+001dB,-9.75084874004306e-003°)
1.69824365246174e+000	(-3.82804558030323e+001dB,-9.97797525693656e-003°)
1.73780082874937e+000	(-3.82804561218066e+001dB,-1.02103922352172e-002°)
1.77827941003892e+000	(-3.82804564556043e+001dB,-1.04482229059325e-002°)
1.81970085860998e+000	(-3.82804568051334e+001dB,-1.06915933705751e-002°)
1.86208713666287e+000	(-3.82804571711353e+001dB,-1.09406326679483e-002°)
1.90546071796325e+000	(-3.82804575543863e+001dB,-1.11954728425837e-002°)
1.94984459975804e+000	(-3.82804579556994e+001dB,-1.14562490147595e-002°)
1.99526231496888e+000	(-3.82804583759259e+001dB,-1.17230994521459e-002°)
2.04173794466953e+000	(-3.82804588159570e+001dB,-1.19961656431145e-002°)
2.08929613085404e+000	(-3.82804592767262e+001dB,-1.22755923717660e-002°)
2.13796208950223e+000	(-3.82804597592108e+001dB,-1.25615277947058e-002°)
2.18776162394955e+000	(-3.82804602644343e+001dB,-1.28541235195809e-002°)
2.23872113856834e+000	(-3.82804607934682e+001dB,-1.31535346854980e-002°)
2.29086765276777e+000	(-3.82804613474347e+001dB,-1.34599200452642e-002°)
2.34422881531992e+000	(-3.82804619275089e+001dB,-1.37734420495705e-002°)
2.39883291901949e+000	(-3.82804625349212e+001dB,-1.40942669331363e-002°)
2.45470891568503e+000	(-3.82804631709601e+001dB,-1.44225648028427e-002°)
2.51188643150958e+000	(-3.82804638369745e+001dB,-1.47585097279430e-002°)
2.57039578276886e+000	(-3.82804645343773e+001dB,-1.51022798323636e-002°)
2.63026799189538e+000	(-3.82804652646478e+001dB,-1.54540573891402e-002°)
2.69153480392691e+000	(-3.82804660293349e+001dB,-1.58140289170888e-002°)
2.75422870333816e+000	(-3.82804668300607e+001dB,-1.61823852796858e-002°)
2.81838293126445e+000	(-3.82804676685236e+001dB,-1.65593217863042e-002°)
2.88403150312660e+000	(-3.82804685465021e+001dB,-1.69450382957499e-002°)
2.95120922666638e+000	(-3.82804694658586e+001dB,-1.73397393222527e-002°)
3.01995172040201e+000	(-3.82804704285431e+001dB,-1.77436341439175e-002°)
3.09029543251359e+000	(-3.82804714365976e+001dB,-1.81569369136878e-002°)
3.16227766016837e+000	(-3.82804724921604e+001dB,-1.85798667729139e-002°)
3.23593656929628e+000	(-3.82804735974706e+001dB,-1.90126479675426e-002°)
3.31131121482591e+000	(-3.82804747548725e+001dB,-1.94555099670531e-002°)
3.38844156139202e+000	(-3.82804759668212e+001dB,-1.99086875861196e-002°)
3.46736850452531e+000	(-3.82804772358876e+001dB,-2.03724211091311e-002°)
3.54813389233575e+000	(-3.82804785647634e+001dB,-2.08469564176263e-002°)
3.63078054770101e+000	(-3.82804799562673e+001dB,-2.13325451206636e-002°)
