Freq.	V(vout)
3.00000000000000e+003	(1.67650151175110e+000dB,1.67797581078284e+002°)
3.06987897684226e+003	(1.67265249804248e+000dB,1.67495148907900e+002°)
3.14138564415270e+003	(1.66859623612633e+000dB,1.67184313474863e+002°)
3.21455791571282e+003	(1.66432026004213e+000dB,1.66864774659066e+002°)
3.28943458842955e+003	(1.65981122365339e+000dB,1.66536216958198e+002°)
3.36605536290589e+003	(1.65505482571838e+000dB,1.66198308407820e+002°)
3.44446086449065e+003	(1.65003572733834e+000dB,1.65850699408298e+002°)
3.52469266481859e+003	(1.64473746088102e+000dB,1.65493021449272e+002°)
3.60679330385224e+003	(1.63914232935581e+000dB,1.65124885721263e+002°)
3.69080631243714e+003	(1.63323129507606e+000dB,1.64745881602846e+002°)
3.77677623538250e+003	(1.62698385628504e+000dB,1.64355575010435e+002°)
3.86474865507940e+003	(1.62037791023310e+000dB,1.63953506596207e+002°)
3.95477021566922e+003	(1.61338960097863e+000dB,1.63539189777935e+002°)
4.04688864777496e+003	(1.60599314993741e+000dB,1.63112108582531e+002°)
4.14115279380865e+003	(1.59816066690919e+000dB,1.62671715282854e+002°)
4.23761263386826e+003	(1.58986193897579e+000dB,1.62217427804756e+002°)
4.33631931223778e+003	(1.58106419426597e+000dB,1.61748626878421e+002°)
4.43732516450462e+003	(1.57173183711990e+000dB,1.61264652904725e+002°)
4.54068374530862e+003	(1.56182615064143e+000dB,1.60764802503465e+002°)
4.64644985673744e+003	(1.55130496198681e+000dB,1.60248324705968e+002°)
4.75467957738334e+003	(1.54012226498309e+000dB,1.59714416749492e+002°)
4.86543029207679e+003	(1.52822779377896e+000dB,1.59162219425046e+002°)
4.97876072231268e+003	(1.51556654017034e+000dB,1.58590811923525e+002°)
5.09473095738523e+003	(1.50207820598929e+000dB,1.57999206117344e+002°)
5.21340248624812e+003	(1.48769658044317e+000dB,1.57386340205741e+002°)
5.33483823011676e+003	(1.47234883050191e+000dB,1.56751071641557e+002°)
5.45910257582995e+003	(1.45595469028130e+000dB,1.56092169245219e+002°)
5.58626140998860e+003	(1.43842553278840e+000dB,1.55408304397563e+002°)
5.71638215388974e+003	(1.41966330427575e+000dB,1.54698041186789e+002°)
5.84953379927413e+003	(1.39955929767897e+000dB,1.53959825365676e+002°)
5.98578694490663e+003	(1.37799273702743e+000dB,1.53191971952790e+002°)
6.12521383400858e+003	(1.35482913913094e+000dB,1.52392651285189e+002°)
6.26788839256211e+003	(1.32991841201088e+000dB,1.51559873299327e+002°)
6.41388626850669e+003	(1.30309264115266e+000dB,1.50691469780647e+002°)
6.56328487184865e+003	(1.27416350431579e+000dB,1.49785074279727e+002°)
6.71616341570501e+003	(1.24291924283975e+000dB,1.48838099342647e+002°)
6.87260295830331e+003	(1.20912110148909e+000dB,1.47847710643937e+002°)
7.03268644595976e+003	(1.17249912904797e+000dB,1.46810797540572e+002°)
7.19649875705846e+003	(1.13274720702786e+000dB,1.45723939482806e+002°)
7.36412674705508e+003	(1.08951714258299e+000dB,1.44583367620125e+002°)
7.53565929452873e+003	(1.04241162219581e+000dB,1.43384920825407e+002°)
7.71118734830658e+003	(9.90975772482023e-001dB,1.42123995224698e+002°)
7.89080397568614e+003	(9.34687010373951e-001dB,1.40795486160395e+002°)
8.07460441178074e+003	(8.72942782723263e-001dB,1.39393721328597e+002°)
8.26268611001449e+003	(8.05045689355507e-001dB,1.37912383613346e+002°)
8.45514879379335e+003	(7.30185346176311e-001dB,1.36344421888061e+002°)
8.65209450937981e+003	(6.47416165796158e-001dB,1.34681947765408e+002°)
8.85362767999915e+003	(5.55629998284971e-001dB,1.32916115950524e+002°)
9.05985516120604e+003	(4.53522264943145e-001dB,1.31036985492136e+002°)
9.27088629754076e+003	(3.39549806927053e-001dB,1.29033358840580e+002°)
9.48683298050513e+003	(2.11878121461559e-001dB,1.26892595230027e+002°)
9.70780970788884e+003	(6.83149196067214e-002dB,1.24600394538451e+002°)
9.93393364447772e+003	(-9.37740620240428e-002dB,1.22140547500526e+002°)
1.01653246841761e+004	(-2.77572432767985e-001dB,1.19494648047096e+002°)
1.04021055135759e+004	(-4.86951030919580e-001dB,1.16641763759141e+002°)
1.06444016770073e+004	(-7.26646287925001e-001dB,1.13558061156292e+002°)
1.08923416431030e+004	(-1.00249278426223e+000dB,1.10216384068672e+002°)
1.11460568729152e+004	(-1.32172909695383e+000dB,1.06585786025763e+002°)
1.14056818896168e+004	(-1.69340397225127e+000dB,1.02631021860317e+002°)
1.16713543498284e+004	(-2.12892185604539e+000dB,9.83120100059425e+001°)
1.19432151166049e+004	(-2.64278558072913e+000dB,9.35832856674640e+001°)
1.22214083341234e+004	(-3.25362456113780e+000dB,8.83934767206224e+001°)
1.25060815041100e+004	(-3.98564893979853e+000dB,8.26848509718070e+001°)
1.27973855640478e+004	(-4.87076343495869e+000dB,7.63930152307878e+001°)
1.30954749672050e+004	(-5.95175039440488e+000dB,6.94469354543689e+001°)
1.34005077645289e+004	(-7.28727843986124e+000dB,6.17697568697423e+001°)
1.37126456884462e+004	(-8.96020429100399e+000dB,5.32820646037515e+001°)
1.40320542386159e+004	(-1.10921134519494e+001dB,4.39137744658612e+001°)
1.43589027696791e+004	(-1.38698727908332e+001dB,3.36499773405868e+001°)
1.46933645810534e+004	(-1.75919039189477e+001dB,2.27264152150922e+001°)
1.50356170088181e+004	(-2.26937723918776e+001dB,1.25693004130349e+001°)
1.53858415197409e+004	(-2.89145287943793e+001dB,9.46400985692909e+000°)
1.57442238074931e+004	(-3.01017912872631e+001dB,6.04375757823088e+000°)
1.61109538911075e+004	(-2.37305381691346e+001dB,-3.26250125494261e+001°)
1.64862262157287e+004	(-1.75390260567610e+001dB,-7.95508520480741e+001°)
1.68702397557104e+004	(-1.53914335630783e+001dB,-1.25083279828901e+002°)
1.72631981201147e+004	(-1.72226264468950e+001dB,-1.62228894890392e+002°)
1.76653096606676e+004	(-2.34563159371393e+001dB,1.62735041384932e+002°)
1.80767875822307e+004	(-2.94287851404975e+001dB,2.32300934080331e+001°)
1.84978500558444e+004	(-1.81616054158497e+001dB,-2.23932392448165e+001°)
