Freq.	V(vout)
Step Information: Run=1  (Run: 1/100)
3.00000000000000e+003	(7.75360923732273e-001dB,1.66776715915917e+002°)
3.06987897684226e+003	(7.70556409733675e-001dB,1.66446273871488e+002°)
3.14138564415270e+003	(7.65488855723309e-001dB,1.66106450574343e+002°)
3.21455791571282e+003	(7.60141997336161e-001dB,1.65756896886661e+002°)
3.28943458842955e+003	(7.54498377024324e-001dB,1.65397244882244e+002°)
3.36605536290589e+003	(7.48539237909025e-001dB,1.65027106472940e+002°)
3.44446086449065e+003	(7.42244406338114e-001dB,1.64646071912408e+002°)
3.52469266481859e+003	(7.35592161749009e-001dB,1.64253708164546e+002°)
3.60679330385224e+003	(7.28559092242810e-001dB,1.63849557122375e+002°)
3.69080631243714e+003	(7.21119934043652e-001dB,1.63433133661481e+002°)
3.77677623538250e+003	(7.13247392754703e-001dB,1.63003923510189e+002°)
3.86474865507940e+003	(7.04911944012559e-001dB,1.62561380916449e+002°)
3.95477021566922e+003	(6.96081610781933e-001dB,1.62104926088933e+002°)
4.04688864777496e+003	(6.86721714112675e-001dB,1.61633942386986e+002°)
4.14115279380865e+003	(6.76794593688708e-001dB,1.61147773230838e+002°)
4.23761263386826e+003	(6.66259293919623e-001dB,1.60645718699777e+002°)
4.33631931223778e+003	(6.55071210646808e-001dB,1.60127031781727e+002°)
4.43732516450462e+003	(6.43181692730242e-001dB,1.59590914232797e+002°)
4.54068374530862e+003	(6.30537591834931e-001dB,1.59036511999793e+002°)
4.64644985673744e+003	(6.17080752606275e-001dB,1.58462910152190e+002°)
4.75467957738334e+003	(6.02747434083278e-001dB,1.57869127262697e+002°)
4.86543029207679e+003	(5.87467651598665e-001dB,1.57254109166900e+002°)
4.97876072231268e+003	(5.71164426499412e-001dB,1.56616722022616e+002°)
5.09473095738523e+003	(5.53752928722688e-001dB,1.55955744578060e+002°)
5.21340248624812e+003	(5.35139494495602e-001dB,1.55269859544638e+002°)
5.33483823011676e+003	(5.15220498082175e-001dB,1.54557643954721e+002°)
5.45910257582995e+003	(4.93881052452558e-001dB,1.53817558366763e+002°)
5.58626140998860e+003	(4.70993508818464e-001dB,1.53047934759227e+002°)
5.71638215388974e+003	(4.46415718969778e-001dB,1.52246962930439e+002°)
5.84953379927413e+003	(4.19989016979019e-001dB,1.51412675193049e+002°)
5.98578694490663e+003	(3.91535867789482e-001dB,1.50542929118727e+002°)
6.12521383400858e+003	(3.60857119026656e-001dB,1.49635388050064e+002°)
6.26788839256211e+003	(3.27728778529622e-001dB,1.48687499051701e+002°)
6.41388626850669e+003	(2.91898222877794e-001dB,1.47696467920263e+002°)
6.56328487184865e+003	(2.53079720671114e-001dB,1.46659230811836e+002°)
6.71616341570501e+003	(2.10949127334687e-001dB,1.45572421975121e+002°)
6.87260295830331e+003	(1.65137574203588e-001dB,1.44432336996985e+002°)
7.03268644595976e+003	(1.15223931593659e-001dB,1.43234890873699e+002°)
7.19649875705846e+003	(6.07257708165762e-002dB,1.41975570114940e+002°)
7.36412674705508e+003	(1.08848015122535e-003dB,1.40649377968346e+002°)
7.53565929452873e+003	(-6.43279000222467e-002dB,1.39250771720819e+002°)
7.71118734830658e+003	(-1.36264673581456e-001dB,1.37773590891602e+002°)
7.89080397568614e+003	(-2.15584017414928e-001dB,1.36210974987025e+002°)
8.07460441178074e+003	(-3.03292939301394e-001dB,1.34555269348393e+002°)
8.26268611001449e+003	(-4.00572818240228e-001dB,1.32797917511520e+002°)
8.45514879379335e+003	(-5.08816018593374e-001dB,1.30929338439601e+002°)
8.65209450937981e+003	(-6.29671517200542e-001dB,1.28938787040962e+002°)
8.85362767999915e+003	(-7.65102079315149e-001dB,1.26814196619136e+002°)
9.05985516120604e+003	(-9.17456319196719e-001dB,1.24542002449302e+002°)
9.27088629754076e+003	(-1.08956006102372e+000dB,1.22106946723671e+002°)
9.48683298050513e+003	(-1.28483288455148e+000dB,1.19491866950135e+002°)
9.70780970788884e+003	(-1.50743775595107e+000dB,1.16677472959442e+002°)
9.93393364447772e+003	(-1.76247444298747e+000dB,1.13642122621678e+002°)
1.01653246841761e+004	(-2.05623135692284e+000dB,1.10361614132357e+002°)
1.04021055135759e+004	(-2.39651613109210e+000dB,1.06809024652407e+002°)
1.06444016770073e+004	(-2.79309361600055e+000dB,1.02954643100575e+002°)
1.08923416431030e+004	(-3.25827279034838e+000dB,9.87660717844946e+001°)
1.11460568729152e+004	(-3.80770467005725e+000dB,9.42086115918681e+001°)
1.14056818896168e+004	(-4.46148829824880e+000dB,8.92461061869525e+001°)
1.16713543498284e+004	(-5.24574542171188e+000dB,8.38425183483604e+001°)
1.19432151166049e+004	(-6.19494798135035e+000dB,7.79646885705682e+001°)
1.22214083341234e+004	(-7.35554034315826e+000dB,7.15871065665024e+001°)
1.25060815041100e+004	(-8.79197793119035e+000dB,6.47005047576671e+001°)
1.27973855640478e+004	(-1.05977251399889e+001dB,5.73290168324409e+001°)
1.30954749672050e+004	(-1.29176495976464e+001dB,4.95708073210308e+001°)
1.34005077645289e+004	(-1.60007044048003e+001dB,4.17192991559662e+001°)
1.37126456884462e+004	(-2.03515236274851e+001dB,3.47553508464736e+001°)
1.40320542386159e+004	(-2.73148030906782e+001dB,3.36649115440000e+001°)
1.43589027696791e+004	(-3.76149938529779e+001dB,9.56356053878468e+001°)
1.46933645810534e+004	(-3.07791776973274e+001dB,1.42439144802841e+002°)
1.50356170088181e+004	(-2.90283982845153e+001dB,1.28639427727524e+002°)
1.53858415197409e+004	(-3.05278590863369e+001dB,8.47017177220185e+001°)
1.57442238074931e+004	(-2.66042326638729e+001dB,1.14464560890783e+001°)
1.61109538911075e+004	(-1.96747912889846e+001dB,-2.59071254029925e+001°)
1.64862262157287e+004	(-1.45625293816103e+001dB,-4.86494883178966e+001°)
1.68702397557104e+004	(-1.07227844148977e+001dB,-6.89151475463843e+001°)
1.72631981201147e+004	(-7.77239258769463e+000dB,-9.13524350833769e+001°)
1.76653096606676e+004	(-5.88176891023333e+000dB,-1.20740256095511e+002°)
1.80767875822307e+004	(-6.53120435432156e+000dB,-1.61579706078500e+002°)
1.84978500558444e+004	(-1.27224260796423e+001dB,1.49644391156701e+002°)
1.89287203344058e+004	(-2.23573113534532e+001dB,1.92464771190785e+001°)
1.93696268710396e+004	(-1.26648567636464e+001dB,-4.36765544848128e+001°)
1.98208034402278e+004	(-8.80979797280432e+000dB,-6.28764885844193e+001°)
2.02824892617594e+004	(-6.69186174127529e+000dB,-7.52781030332568e+001°)
2.07549291275680e+004	(-5.30622722339847e+000dB,-8.46968788297453e+001°)
