Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
3.00000000000000e+003	(7.55387392498032e-001dB,1.78781724834373e+002°)
3.06987897684226e+003	(7.56238343385903e-001dB,1.78752062885486e+002°)
3.14138564415270e+003	(7.57131606443942e-001dB,1.78721614442914e+002°)
3.21455791571282e+003	(7.58069397955962e-001dB,1.78690353882708e+002°)
3.28943458842955e+003	(7.59054061498761e-001dB,1.78658254401399e+002°)
3.36605536290589e+003	(7.60088076364750e-001dB,1.78625287938934e+002°)
3.44446086449065e+003	(7.61174066650650e-001dB,1.78591425095181e+002°)
3.52469266481859e+003	(7.62314811074750e-001dB,1.78556635039407e+002°)
3.60679330385224e+003	(7.63513253592915e-001dB,1.78520885411985e+002°)
3.69080631243714e+003	(7.64772514891310e-001dB,1.78484142217589e+002°)
3.77677623538250e+003	(7.66095904842216e-001dB,1.78446369708968e+002°)
3.86474865507940e+003	(7.67486936019994e-001dB,1.78407530260341e+002°)
3.95477021566922e+003	(7.68949338385109e-001dB,1.78367584229306e+002°)
4.04688864777496e+003	(7.70487075257075e-001dB,1.78326489806047e+002°)
4.14115279380865e+003	(7.72104360712185e-001dB,1.78284202848439e+002°)
4.23761263386826e+003	(7.73805678557455e-001dB,1.78240676701518e+002°)
4.33631931223778e+003	(7.75595803052845e-001dB,1.78195861999532e+002°)
4.43732516450462e+003	(7.77479821573781e-001dB,1.78149706448628e+002°)
4.54068374530862e+003	(7.79463159431429e-001dB,1.78102154587895e+002°)
4.64644985673744e+003	(7.81551607097268e-001dB,1.78053147526243e+002°)
4.75467957738334e+003	(7.83751350109550e-001dB,1.78002622652212e+002°)
4.86543029207679e+003	(7.86069001978442e-001dB,1.77950513313414e+002°)
4.97876072231268e+003	(7.88511640448508e-001dB,1.77896748461865e+002°)
5.09473095738523e+003	(7.91086847528934e-001dB,1.77841252260867e+002°)
5.21340248624812e+003	(7.93802753758070e-001dB,1.77783943648548e+002°)
5.33483823011676e+003	(7.96668087238183e-001dB,1.77724735852353e+002°)
5.45910257582995e+003	(7.99692228054102e-001dB,1.77663535847960e+002°)
5.58626140998860e+003	(8.02885268781303e-001dB,1.77600243755082e+002°)
5.71638215388974e+003	(8.06258081897222e-001dB,1.77534752161377e+002°)
5.84953379927413e+003	(8.09822395035243e-001dB,1.77466945364338e+002°)
5.98578694490663e+003	(8.13590875170836e-001dB,1.77396698519293e+002°)
6.12521383400858e+003	(8.17577223004294e-001dB,1.77323876679702e+002°)
6.26788839256211e+003	(8.21796279013520e-001dB,1.77248333713543e+002°)
6.41388626850669e+003	(8.26264142898831e-001dB,1.77169911076697e+002°)
6.56328487184865e+003	(8.30998308436496e-001dB,1.77088436420883e+002°)
6.71616341570501e+003	(8.36017816112815e-001dB,1.77003722009478e+002°)
6.87260295830331e+003	(8.41343426335552e-001dB,1.76915562909623e+002°)
7.03268644595976e+003	(8.46997816532808e-001dB,1.76823734922852e+002°)
7.19649875705846e+003	(8.53005806069679e-001dB,1.76727992209072e+002°)
7.36412674705508e+003	(8.59394613669419e-001dB,1.76628064549559e+002°)
7.53565929452873e+003	(8.66194152944844e-001dB,1.76523654183343e+002°)
7.71118734830658e+003	(8.73437372778080e-001dB,1.76414432137371e+002°)
