Freq.	V(v01)
Step Information: Run=1  (Run: 1/100)
3.00000000000000e+003	(2.95653716417367e-002dB,1.73538308690894e+002°)
3.06987897684226e+003	(2.73486801675639e-002dB,1.73375066107582e+002°)
3.14138564415270e+003	(2.50059515454273e-002dB,1.73207060631925e+002°)
3.21455791571282e+003	(2.25289399972728e-002dB,1.73034106256218e+002°)
3.28943458842955e+003	(1.99087525550374e-002dB,1.72856006445022e+002°)
3.36605536290589e+003	(1.71357876588561e-002dB,1.72672553337127e+002°)
3.44446086449065e+003	(1.41996668660554e-002dB,1.72483526874358e+002°)
3.52469266481859e+003	(1.10891587791831e-002dB,1.72288693849473e+002°)
3.60679330385224e+003	(7.79209417310130e-003dB,1.72087806864471e+002°)
3.69080631243714e+003	(4.29527114830386e-003dB,1.71880603189578e+002°)
3.77677623538250e+003	(5.84348961890835e-004dB,1.71666803511957e+002°)
3.86474865507940e+003	(-3.35627101996877e-003dB,1.71446110561849e+002°)
3.95477021566922e+003	(-7.54357904447672e-003dB,1.71218207602259e+002°)
4.04688864777496e+003	(-1.19961074511271e-002dB,1.70982756766559e+002°)
4.14115279380865e+003	(-1.67341003228059e-002dB,1.70739397226293e+002°)
4.23761263386826e+003	(-2.17797051173734e-002dB,1.70487743169212e+002°)
4.33631931223778e+003	(-2.71571895555227e-002dB,1.70227381564811e+002°)
4.43732516450462e+003	(-3.28931875927763e-002dB,1.69957869691653e+002°)
4.54068374530862e+003	(-3.90169789601936e-002dB,1.69678732397189e+002°)
4.64644985673744e+003	(-4.55608075410312e-002dB,1.69389459056748e+002°)
4.75467957738334e+003	(-5.25602447875762e-002dB,1.69089500193687e+002°)
4.86543029207679e+003	(-6.00546055038519e-002dB,1.68778263717306e+002°)
4.97876072231268e+003	(-6.80874246690655e-002dB,1.68455110728873e+002°)
5.09473095738523e+003	(-7.67070056047295e-002dB,1.68119350838936e+002°)
5.21340248624812e+003	(-8.59670517571013e-002dB,1.67770236930691e+002°)
5.33483823011676e+003	(-9.59273967567639e-002dB,1.67406959294574e+002°)
5.45910257582995e+003	(-1.06654850327376e-001dB,1.67028639047980e+002°)
5.58626140998860e+003	(-1.18224181173968e-001dB,1.66634320741066e+002°)
5.71638215388974e+003	(-1.30719262340639e-001dB,1.66222964034505e+002°)
5.84953379927413e+003	(-1.44234409898734e-001dB,1.65793434317655e+002°)
5.98578694490663e+003	(-1.58875952454311e-001dB,1.65344492115400e+002°)
6.12521383400858e+003	(-1.74764077189095e-001dB,1.64874781108661e+002°)
6.26788839256211e+003	(-1.92035008382167e-001dB,1.64382814566710e+002°)
6.41388626850669e+003	(-2.10843587152592e-001dB,1.63866959958739e+002°)
6.56328487184865e+003	(-2.31366337215173e-001dB,1.63325421477015e+002°)
6.71616341570501e+003	(-2.53805121670181e-001dB,1.62756220164418e+002°)
